evaluation/num paths total,trainer/Log Pis Std,exploration/Returns Max,evaluation/path length Max,exploration/path length Min,trainer/Log Pis Min,exploration/Rewards Max,trainer/Q Targets Min,trainer/Policy Loss,evaluation/Num Paths,evaluation/Returns Mean,trainer/Log Pis Max,trainer/Q Targets Max,trainer/Policy log std Mean,trainer/Policy mu Std,Epoch,trainer/Q1 Predictions Mean,trainer/Q2 Predictions Max,exploration/path length Max,time/exploration sampling (s),trainer/Q2 Predictions Min,exploration/Rewards Min,exploration/num steps total,exploration/Rewards Std,evaluation/Returns Max,evaluation/path length Std,exploration/Num Paths,trainer/Q1 Predictions Std,time/epoch (s),trainer/Q2 Predictions Std,trainer/Q Targets Std,exploration/Returns Mean,time/training (s),evaluation/Rewards Max,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Rewards Mean,trainer/Policy mu Mean,evaluation/Actions Std,exploration/Actions Min,time/evaluation sampling (s),trainer/Policy log std Max,evaluation/Rewards Mean,trainer/Alpha,time/total (s),time/saving (s),evaluation/path length Min,trainer/Q2 Predictions Mean,evaluation/Average Returns,exploration/Actions Max,exploration/Average Returns,trainer/QF2 Loss,exploration/Returns Std,exploration/Actions Std,trainer/Policy log std Std,evaluation/Rewards Std,trainer/Q1 Predictions Max,evaluation/Actions Max,evaluation/Actions Mean,trainer/QF1 Loss,evaluation/Returns Std,evaluation/Actions Min,time/data storing (s),trainer/Q Targets Mean,trainer/Policy log std Min,evaluation/num steps total,exploration/num paths total,exploration/path length Mean,trainer/Policy mu Max,evaluation/path length Mean,exploration/path length Std,trainer/Policy mu Min,exploration/Returns Min,replay_buffer/size,exploration/Actions Mean,evaluation/Returns Min,time/logging (s),evaluation/Rewards Min,trainer/Log Pis Mean
165,1.5071864,-51.22090955117568,100,100,-4.688352,-0.014612720595819677,-44.856823,17.830832,15,-58.52155813892473,5.0511246,-15.352209,-0.7819803,0.7933742,10,-18.955112,-15.4155655,100,0.15453836300002877,-45.231167,-8.54534583422523,5700,1.0106329155285343,-14.220023797843456,0.0,5,7.50551,2.541408531003981,7.477823,7.454394,-67.86642791961891,2.030119362003461,-0.009742850994777594,-2.8277206420898438,-45.21839,-0.6786642791961891,0.034863487,0.24224065,-0.96418154,0.3469388700032141,-0.28660917,-0.5852155813892468,0.25088658928871155,28.71225904000312,0.0019620940001914278,100,-18.961319,-58.52155813892473,0.9977507,-67.86642791961891,0.5185,13.584545075951604,0.477679,0.121812224,1.336410836409852,-15.350562,0.98144174,0.07139334,0.4849089,92.97615049439564,-0.92297477,0.003011877000972163,-19.15088,-0.96840847,16500,57,100.0,2.3122952,100.0,0.0,-2.1912806,-86.12626783183084,5700,0.026631886,-401.13375506409704,0.004837964996113442,-10.279097579088281,-0.04538969
180,1.8142781,-52.841556035436845,100,100,-4.4666333,-0.01628709576806322,-77.20815,20.327902,15,-60.64981359905373,5.848322,-15.585438,-0.8674587,0.8700274,11,-21.415659,-15.683328,100,0.15724762700119754,-76.216125,-9.611237328077364,6200,1.1373918543017054,-8.20639793247451,0.0,5,12.105665,2.5343639609855018,12.090828,12.062168,-68.5165463544628,2.0166927029931685,-0.011823227146742357,-2.558647632598877,-76.248276,-0.6851654635446283,0.12972988,0.26484838,-0.98853856,0.3499059030000353,-0.30062598,-0.6064981359905373,0.21904949843883514,31.250805724987003,0.0017758879985194653,100,-21.398598,-60.64981359905373,0.9963189,-68.5165463544628,0.3735932,15.612619278390818,0.44646773,0.15848528,1.5219905716552118,-15.627329,0.9818914,0.05871277,0.37332934,83.33442118874345,-0.9704644,0.0038554459970328026,-21.595444,-1.1015934,18000,62,100.0,2.2649112,100.0,0.0,-2.2340627,-91.77323627852851,6200,0.013418676,-365.86328363155013,0.004886393995548133,-10.886873514373598,0.31467757
195,1.4991242,-39.46676500381653,100,100,-3.7051468,-0.021347365883951995,-70.10824,19.077343,15,-36.06027544539772,5.128092,-0.78895146,-0.94206923,0.8506084,12,-19.673613,-15.75932,100,0.15570323199790437,-68.71072,-8.181717176615507,6700,0.8445239015924146,-11.538628234578027,0.0,5,8.587493,2.5524419809953542,8.609112,9.041063,-55.220050013447654,2.0479286589979893,-0.048691551484159615,-2.7664365768432617,-68.42741,-0.5522005001344766,0.018129135,0.19438455,-0.85987216,0.3389478239987511,-0.3661595,-0.36060275445397716,0.1916482001543045,33.80756430698966,0.0019296960017527454,100,-19.681152,-36.06027544539772,0.9915778,-55.220050013447654,2.7408187,13.22409436296439,0.4341316,0.17683344,1.1722945197801387,-15.784998,0.9874782,0.029406073,2.7890952,19.006583220937777,-0.9781691,0.0030880790000082925,-19.761713,-1.1903031,19500,67,100.0,2.3103518,100.0,0.0,-2.3478594,-76.27840193098312,6700,0.035008524,-68.72762193779865,0.004844490998948459,-10.754587175298237,0.32523358
210,1.2493287,-34.63668397140181,100,100,-3.2182035,-0.01693523217811763,-50.514256,18.117092,15,-70.71656656289237,3.8118768,-0.483428,-1.0594182,0.82223326,13,-18.514986,-15.804199,100,0.15842002799763577,-48.10514,-8.840375910339171,7200,0.86183188279464,-8.224182684500661,0.0,5,5.9276943,2.5903603459810256,5.9084244,6.2101583,-49.819992729216516,2.070033505995525,-0.05306136269614659,-2.7531778812408447,-48.379993,-0.4981999272921653,0.00033438922,0.29918316,-0.9974759,0.35184309099713573,-0.42583865,-0.7071656656289238,0.1685817837715149,36.40267585397669,0.002022452994424384,100,-18.49601,-70.71656656289237,0.9923522,-49.819992729216516,2.6439517,14.693915317986685,0.41208738,0.18208851,1.472124244230312,-15.796965,0.9861034,0.034220386,2.6522477,124.94113188049946,-0.98587036,0.00293199899897445,-18.57993,-1.3305068,21000,72,100.0,2.3274302,100.0,0.0,-2.389805,-75.660960762129,7200,0.008889568,-390.9005519778802,0.0051092689973302186,-9.581399453532208,0.45334533
225,1.484361,-36.82459857795675,100,100,-2.225103,-0.019810420360372196,-60.201004,18.78613,15,-55.57433822390087,6.9362993,-0.57692826,-1.0749649,0.84111875,14,-18.909454,-15.978561,100,0.15045671099505853,-59.855457,-9.896562718407115,7700,1.0214495465969127,-5.268043194177303,0.0,5,6.857852,2.502087961001962,6.852849,7.328257,-53.30604104683181,1.9799922250022064,-0.027891921315640264,-2.4810309410095215,-59.557796,-0.533060410468318,0.16975097,0.26024422,-0.8426006,0.3616484410013072,-0.42863426,-0.5557433822390092,0.1481921523809433,38.909214912993775,0.001958843000466004,100,-18.902027,-55.57433822390087,0.99659806,-53.30604104683181,5.241217,18.3558120836576,0.38749525,0.2050642,1.5071490106131895,-16.006536,0.9891026,0.074946456,5.22227,91.85808656479672,-0.9852057,0.0030783649999648333,-18.659515,-1.3664715,22500,77,100.0,2.4198925,100.0,0.0,-2.2572384,-86.83592600708181,7700,0.035641816,-390.0747311983052,0.004953376002958976,-10.239710838253712,0.70034194
240,1.3851688,-32.57918465844266,100,100,-3.8114872,-0.02866342305322746,-52.289524,18.932476,15,-101.2736835406792,5.3033514,-15.950901,-1.1759546,0.8320358,15,-19.058556,-16.02312,100,0.1500049919995945,-51.99432,-7.144883086203362,8200,0.73324936626659,-9.61950622632822,0.0,5,6.933148,2.5549157060086145,6.97033,6.947378,-45.36772528481612,2.043076640999061,-0.06322535277536687,-2.9093682765960693,-52.128025,-0.45367725284816107,0.17833091,0.36047754,-0.99646944,0.3520115760038607,-0.41324893,-1.0127368354067916,0.1304120570421219,41.46820204899268,0.0019963049999205396,100,-19.0765,-101.2736835406792,0.9955815,-45.36772528481612,0.23120372,7.822459072171909,0.38087025,0.22033753,1.7727228480203367,-16.033564,0.990242,0.015674843,0.20028308,154.85256462828153,-0.9875227,0.002953114002593793,-19.108183,-1.4528677,24000,82,100.0,2.5163946,100.0,0.0,-2.5654001,-53.82616406226334,8200,-0.009993249,-523.2280833636422,0.004873078003583942,-10.028194944207536,0.5716014
255,1.477653,-45.865870125684516,100,100,-3.166366,-0.003909387378955375,-44.80829,18.579868,15,-30.34495452756516,6.1063523,-15.677121,-1.299425,0.81963384,16,-18.232368,-15.831245,100,0.1611918170019635,-47.463486,-9.104085340802197,8700,1.0011313883880903,-15.684486513123522,0.0,5,5.820514,2.729125454003224,5.798921,5.753673,-53.14785729711683,2.1695578079961706,-0.09893607689872252,-2.208467483520508,-47.62518,-0.5314785729711683,0.16423468,0.17723654,-0.9894753,0.3883667750051245,-0.44395655,-0.30344954527565166,0.11585608869791031,44.20186424998974,0.0020002680030302145,100,-18.239368,-30.34495452756516,0.9949875,-53.14785729711683,0.19016036,10.804057826679589,0.36898854,0.23687643,0.8309733484399636,-15.851374,0.98929584,0.019972024,0.18396775,13.196376089922905,-0.9807073,0.0031721979976282455,-18.250086,-1.5439862,25500,87,100.0,2.4900725,100.0,0.0,-2.592446,-74.43237830646017,8700,0.026328515,-57.86819082579441,0.004836587999307085,-8.778614543789768,0.97527486
270,1.4818722,-28.49959882218779,100,100,-4.9634495,-0.00993020701278911,-81.54793,18.429022,15,-81.98793657070978,6.163795,-0.483428,-1.3809808,0.78986704,17,-18.02535,-15.7342205,100,0.1489662120002322,-80.01681,-10.318326085522697,9200,0.9276855553557053,-11.137425285229659,0.0,5,7.372844,2.6354801450070227,7.404897,7.7711854,-42.55447899559334,2.1325226059998386,-0.03660025949350162,-2.5887157917022705,-79.941025,-0.42554478995593353,0.13633688,0.3187383,-0.97904503,0.3434965540000121,-0.572467,-0.8198793657070975,0.10334647446870804,46.84155898699828,0.002044032000412699,100,-18.020008,-81.98793657070978,0.99876094,-42.55447899559334,2.5693307,20.58916691128079,0.32165244,0.23052682,1.6166174850472455,-15.789414,0.9923982,0.118673645,2.5932636,126.92918133841604,-0.98536325,0.002919935002864804,-17.934048,-1.5737828,27000,92,100.0,2.9230306,100.0,0.0,-2.190229,-83.4043306242815,9200,0.018999824,-455.3338247812708,0.005530806003662292,-9.612672629971767,0.85930663
285,1.7842847,-23.595716223247454,100,100,-3.3143134,-0.0008475873388787561,-71.02578,19.19877,15,-28.606480606418483,7.913788,-15.452654,-1.3312256,0.9935959,18,-19.086386,-15.404862,100,0.1581663520046277,-66.585655,-10.870483786886298,9700,1.1019689397551726,-11.87618486810347,0.0,5,8.351183,2.7151578450066154,8.373108,8.590712,-47.1989542031047,2.1924744130010367,-0.02706192812634757,-2.41318678855896,-66.41001,-0.4719895420310471,0.049223643,0.19462913,-0.9980129,0.3538996259958367,-0.33712578,-0.28606480606418483,0.09180241823196411,49.56116451600974,0.0020906780046061613,100,-19.103693,-28.606480606418483,0.997675,-47.1989542031047,0.48259223,19.180965850138886,0.33785433,0.31174532,1.0059743421490275,-15.40186,0.99282885,0.026789354,0.47832745,13.13760095072677,-0.9844638,0.0029552359992521815,-19.291842,-1.6149589,28500,97,100.0,2.9456804,100.0,0.0,-2.8046753,-77.59013095392403,9700,0.024369732,-49.721539215640604,0.005571540001255926,-8.824920379748411,0.98940295
300,2.0526335,-23.29402574257697,100,100,-6.717659,-0.010761666950139996,-59.04658,19.366562,15,-20.81593844344472,7.7096596,-0.5665261,-1.506641,0.9594463,19,-18.858152,-15.214151,100,0.2127308790004463,-60.892487,-8.649852786096384,10200,0.8381146588167275,-4.732026357407736,0.0,5,9.015464,3.2144066539985943,9.002392,9.128429,-37.226009422527255,2.392172338004457,-0.03828122376660685,-1.441394329071045,-60.89477,-0.3722600942252725,0.10547155,0.17540123,-0.72487843,0.5989959680009633,-0.5394762,-0.20815938443444718,0.08235667645931244,52.781182059006824,0.002168940998672042,100,-18.853222,-20.81593844344472,0.99844456,-37.226009422527255,2.3306742,14.80465733449144,0.2999446,0.33004376,0.9173259067337849,-15.234619,0.9944255,0.023284921,2.3309395,17.542039379694998,-0.9881057,0.0036393629998201504,-18.842106,-1.744387,30000,102,100.0,2.9030108,100.0,0.0,-2.5528789,-62.99356255093279,10200,0.030116333,-59.203541370735195,0.004699164994235616,-10.518501869217207,1.4226334
