trainer/Policy Loss,exploration/Returns Max,exploration/Returns Min,trainer/QF1 Loss,exploration/Actions Mean,exploration/Rewards Std,trainer/Log Pis Std,evaluation/Returns Std,trainer/Q1 Predictions Mean,exploration/Actions Std,trainer/Q1 Predictions Max,trainer/QF2 Loss,trainer/Log Pis Mean,evaluation/path length Mean,trainer/Q1 Predictions Min,evaluation/Rewards Max,trainer/Q2 Predictions Std,time/logging (s),exploration/path length Max,exploration/Returns Std,trainer/Policy mu Max,Epoch,trainer/Policy log std Max,exploration/Actions Min,evaluation/Rewards Mean,exploration/Actions Max,evaluation/Returns Mean,evaluation/path length Max,exploration/num paths total,time/epoch (s),evaluation/num steps total,trainer/Q Targets Std,exploration/Num Paths,evaluation/Returns Max,time/saving (s),trainer/Q Targets Min,evaluation/Num Paths,trainer/Policy log std Std,evaluation/path length Std,evaluation/Rewards Min,exploration/Rewards Max,exploration/Rewards Min,evaluation/Actions Max,trainer/Alpha Loss,time/exploration sampling (s),trainer/Policy mu Mean,trainer/Policy log std Min,trainer/Q Targets Max,trainer/Policy log std Mean,evaluation/num paths total,time/total (s),trainer/Q Targets Mean,evaluation/Actions Min,trainer/Policy mu Min,time/data storing (s),exploration/num steps total,exploration/Returns Mean,exploration/path length Mean,exploration/Average Returns,exploration/Rewards Mean,trainer/Alpha,time/evaluation sampling (s),trainer/Policy mu Std,evaluation/path length Min,replay_buffer/size,exploration/path length Min,time/training (s),trainer/Q1 Predictions Std,evaluation/Rewards Std,evaluation/Average Returns,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Max,evaluation/Actions Mean,trainer/Log Pis Min,evaluation/Returns Min,exploration/path length Std,evaluation/Actions Std,trainer/Q2 Predictions Min,trainer/Log Pis Max
-1.2668127,-100.0,-100.0,0.99953276,0.038023937,0.0,0.32877734,9.597009508852938,-0.003918792,0.6285163,-0.0029353425,1.0109847,-1.2707397,100.0,-0.004824764,-0.6510283398799236,0.0005879259,0.003602134995162487,100,0.0,0.00072844216,0,0.0015174828,-0.9979453,-0.9680099683038236,0.9956748,-96.80099683038236,100,4,1.346776625025086,1000,0.000723182,2,-68.00996830382354,0.0028595860057976097,-1.0055759,10,0.00073552976,0.0,-1.0,-1.0,-1.0,0.0007652354,-0.0,0.06500561599386856,2.8126255e-05,-0.0006955393,-1.0,0.00023043908,10,1.7120918890286703,-1.0036846,-0.0006203062,-0.0006533116,0.0011522220156621188,400,-100.0,100.0,-100.0,-1.0,0.9997000694274902,0.23476472200127319,0.000364359,100,400,100,1.0393923440133221,0.00041159644,0.09612093952413966,-96.80099683038236,0.0017920207,0.0029581306,5.5943838e-05,-1.8176824,-100.0,0.0,0.0004200464,0.0006129783,-0.53479195
-0.1056899,-100.0,-100.0,0.008410447,-0.04174656,0.0,0.15519546,0.0,-1.2629033,0.5746424,-1.0754522,0.00893207,-1.372247,100.0,-1.5017611,-1.0,0.10911173,0.0033404220012016594,100,0.0,0.003425831,1,-0.12613311,-0.988973,-1.0,0.9671027,-100.0,100,6,1.2682701110024936,2000,0.017712733,2,-100.0,0.0023138689866755158,-1.3104737,10,0.010310046,0.0,-1.0,-1.0,-1.0,0.003617335,-0.20260411500930786,0.07125512600759976,-0.011716891,-0.17069028,-1.2387218,-0.14533031,20,2.9848709070065524,-1.2690938,-0.023612157,-0.024787132,0.0013243299908936024,600,-100.0,100.0,-100.0,-1.0,0.9414066076278687,0.22813160400255583,0.005869422,100,600,100,0.9619047600135673,0.106977396,0.0,-100.0,-1.2583855,-1.0589596,-0.0077257887,-2.3521738,-100.0,0.0,0.005501684,-1.4844645,-1.1017337
0.5257265,-91.17799344812357,-97.38715457304009,0.026303576,-0.015981449,0.15594998043721348,0.1992503,0.1597268580738344,-1.8855929,0.5906321,-1.7833636,0.024220485,-1.3644751,100.0,-2.067929,-0.9023251285744334,0.047596216,0.0033546230115462095,100,3.10458056245826,0.020799417,2,-0.10368459,-0.99417233,-0.9994675771397539,0.9947671,-99.94675771397539,100,8,1.2866926129790954,3000,0.15123217,2,-99.46757713975389,0.00238904298748821,-2.021215,10,0.014529062,0.0,-1.0,-0.16846899272007518,-1.0,0.021888135,-0.4041522145271301,0.0697718899755273,0.005217887,-0.16258042,-1.0,-0.12321127,30,4.275580054993043,-1.8510103,-0.011572298,-0.011261201,0.0011963169963564724,800,-94.28257401058184,100.0,-94.28257401058184,-0.9428257401058185,0.8865447044372559,0.24034362399834208,0.011621192,100,800,100,0.9696371160098352,0.052187085,0.00600987104782932,-99.94675771397539,-1.8807671,-1.8126861,0.005566895,-2.6575613,-100.0,0.0,0.009919425,-2.0793498,-1.0085204
1.2176216,-98.80126176597872,-99.64773664767348,0.033380523,-0.03022721,0.04839525360622517,0.14554751,0.0,-2.5740833,0.6058454,-2.4743106,0.033485238,-1.3665879,100.0,-2.900529,-1.0,0.072878875,0.003493093012366444,100,0.42323744084738024,0.003971544,3,-0.1104162,-0.9927715,-1.0,0.9844967,-100.0,100,10,1.31358285897295,4000,0.19021498,2,-100.0,0.0023497619840782136,-2.805688,10,0.0055684894,0.0,-1.0,-0.5338292449666292,-1.0,0.00409553,-0.6064233779907227,0.06984858700889163,-0.007762219,-0.13392374,-1.0,-0.12006568,40,5.593256456952076,-2.5716171,-0.021254983,-0.022037791,0.0013300319842528552,1000,-99.2244992068261,100.0,-99.2244992068261,-0.992244992068261,0.8349112868309021,0.24731599798542447,0.00942614,100,1000,100,0.9892453869979363,0.06673652,0.0,-100.0,-2.572936,-2.4495568,-0.007375924,-1.6265441,-100.0,0.0,0.0099731935,-2.8934193,-1.019545
2.0860548,-100.0,-100.0,0.05706417,-0.007366668,0.0,0.13488863,8.406579054526969,-3.430991,0.57064754,-3.2189581,0.057925414,-1.3605632,100.0,-3.7168498,-0.14231174315091547,0.0964166,0.003245630010496825,100,0.0,-0.0073503796,4,-0.11807331,-0.97660065,-0.9719780698182435,0.983611,-97.19780698182436,100,12,1.3108293320110533,5000,0.25480062,2,-71.97806981824344,0.0023147750180214643,-3.598583,10,0.00806347,0.0,-1.0,-1.0,-1.0,-0.008165348,-0.8069907426834106,0.06947958099772222,-0.01343529,-0.15055604,-1.0,-0.13260111,50,6.908253558940487,-3.3733523,-0.019575737,-0.020351298,0.0012045869952999055,1200,-100.0,100.0,-100.0,-1.0,0.7862851619720459,0.23937911199755035,0.0034465722,100,1200,100,0.9952056469919626,0.09099852,0.1298200759705937,-97.19780698182436,-3.4370675,-3.2087936,-0.013446065,-1.8318431,-100.0,0.0,0.0033061448,-3.6828032,-1.0714195
2.8686974,-85.75263903556905,-100.0,0.010744184,-0.0029476671,0.18015903467347547,0.17499354,0.0,-4.220668,0.5708647,-3.9731557,0.010034123,-1.3668237,100.0,-4.4448934,-1.0,0.1136302,0.003479439008515328,100,7.123680482215477,-0.00029064226,5,-0.1301742,-0.9780898,-1.0,0.98553395,-100.0,100,14,1.3213562360033393,6000,0.14548044,2,-100.0,0.002433404006296769,-4.4103584,10,0.004979172,0.0,-1.0,-0.19614234062992136,-1.0,-0.0035445504,-1.0105412006378174,0.07047641999088228,-0.013828334,-0.15233107,-3.6126256,-0.13714227,60,8.233658049924998,-4.1901603,-0.032293506,-0.034189537,0.0012566520017571747,1400,-92.87631951778452,100.0,-92.87631951778452,-0.9287631951778453,0.7404870986938477,0.23840233401278965,0.008685678,100,1400,100,1.005307986983098,0.10449539,0.0,-100.0,-4.2111464,-3.9296877,-0.012369291,-2.4191978,-100.0,0.0,0.00678888,-4.430998,-1.0644997
3.6307516,-100.0,-100.0,0.18260811,0.052364245,0.0,0.2121351,0.0,-5.001166,0.58038306,-4.3914075,0.19009857,-1.3908179,100.0,-5.298946,-1.0,0.2012702,0.0033880029805004597,100,0.0,0.029679324,6,-0.12936221,-0.9925858,-1.0,0.97396106,-100.0,100,16,1.3128082960029133,7000,0.42147171,2,-100.0,0.002308423980139196,-5.25527,10,0.0045734425,0.0,-1.0,-1.0,-1.0,0.027199902,-1.2212079763412476,0.07044731901260093,-0.0060092104,-0.15163736,-1.0,-0.1380108,70,9.550709936971543,-4.9684477,-0.024475923,-0.026030464,0.0011869450099766254,1600,-100.0,100.0,-100.0,-1.0,0.6973610520362854,0.2409482270013541,0.015887473,100,1600,100,0.994529378018342,0.18471895,0.0,-100.0,-5.0046372,-4.3433685,-0.0075762826,-3.1569314,-100.0,0.0,0.014791852,-5.312613,-1.1132247
4.472273,-100.0,-100.0,0.19878231,0.027321963,0.0,0.13216567,7.651155017498682,-5.816166,0.60372394,-5.3005137,0.19838114,-1.3622667,100.0,-6.317978,-0.3001294986305133,0.20796438,0.0034653249895200133,100,0.0,0.04689651,7,-0.13226387,-0.98813415,-0.9650110189039575,0.97858185,-96.50110189039574,100,18,1.3216343090170994,8000,0.5189523,2,-75.58777095727311,0.002835303981555626,-6.40963,10,0.0103434175,0.0,-1.0,-1.0,-1.0,0.03831725,-1.412622332572937,0.07022413500817493,0.007981752,-0.18512547,-1.0,-0.14825898,80,10.876407201983966,-5.787866,-0.0328128,-0.04596581,0.0012246000114828348,1800,-100.0,100.0,-100.0,-1.0,0.6567582488059998,0.2423418490216136,0.022462431,100,1800,100,1.0015430960047524,0.19805312,0.12200764610126988,-96.50110189039574,-5.822908,-5.291356,0.00476112,-1.8542303,-100.0,0.0,0.02332787,-6.299148,-1.0920949
5.099753,-98.56296458290677,-100.0,0.36491573,-0.03236323,0.05143077543919386,0.1550023,0.0,-6.481563,0.5868926,-5.904347,0.3638564,-1.3891636,100.0,-6.8662095,-1.0,0.23047183,0.003514092997647822,100,0.7185177085466137,0.03340524,8,-0.1224789,-0.9860178,-1.0,0.98096484,-100.0,100,20,1.345222276984714,9000,0.6203961,2,-100.0,0.0025102679792325944,-6.99051,10,0.020656941,0.0,-1.0,-0.5260138865162833,-1.0,0.030129198,-1.6270943880081177,0.06859884801087901,-0.025745569,-0.21265917,-1.0,-0.15904585,90,12.225618856929941,-6.5455503,-0.11048032,-0.10811301,0.0011795450118370354,2000,-99.28148229145339,100.0,-99.28148229145339,-0.9928148229145338,0.6185436248779297,0.2764976540056523,0.04048038,100,2000,100,0.9929218689794652,0.23442559,0.0,-100.0,-6.483043,-5.901456,-0.030471023,-2.4036002,-100.0,0.0,0.05166825,-6.865066,-1.1059535
6.10973,-100.0,-100.0,0.4387158,0.007738107,0.0,0.15923242,4.751924773751236,-7.4740334,0.58334506,-6.797925,0.44164878,-1.3618034,100.0,-8.02657,-0.3144896758278927,0.27858388,0.0030475380190182477,100,0.0,0.068090655,9,-0.124442354,-0.98731256,-0.9841602507541626,0.97615147,-98.41602507541626,100,22,1.3155417910020333,10000,0.7003125,2,-84.16025075416255,0.0019011260010302067,-7.9281216,10,0.012268202,0.0,-1.0,-1.0,-1.0,0.05975218,-1.815576434135437,0.07203127999673598,0.0141449515,-0.18443438,-1.0,-0.1438834,100,13.545448067918187,-7.423799,-0.09133058,-0.098437466,0.0011963190045207739,2200,-100.0,100.0,-100.0,-1.0,0.5825383067131042,0.24515757299377583,0.04120383,100,2200,100,0.9922079549869522,0.27372834,0.08917697328643505,-98.41602507541626,-7.4696794,-6.758946,0.0071359156,-1.8600185,-100.0,0.0,0.04787067,-7.9985223,-1.0536759
