exploration/Actions Mean,evaluation/Rewards Mean,evaluation/Average Returns,evaluation/Returns Min,trainer/Policy Loss,exploration/Rewards Max,trainer/Q Targets Std,time/training (s),trainer/Q2 Predictions Mean,exploration/Num Paths,time/evaluation sampling (s),exploration/num paths total,trainer/Policy mu Max,exploration/Average Returns,trainer/Q2 Predictions Max,Epoch,evaluation/path length Max,trainer/Policy log std Min,trainer/Q Targets Min,exploration/Returns Mean,trainer/Policy mu Mean,exploration/Actions Std,evaluation/path length Min,evaluation/Rewards Max,exploration/Returns Max,exploration/Rewards Min,evaluation/Rewards Std,exploration/Rewards Mean,trainer/Alpha Loss,evaluation/Actions Mean,trainer/Log Pis Min,trainer/Policy mu Std,trainer/Policy mu Min,evaluation/path length Mean,evaluation/Returns Max,trainer/Q Targets Mean,trainer/QF1 Loss,evaluation/Actions Max,trainer/Log Pis Mean,trainer/QF2 Loss,time/epoch (s),exploration/path length Mean,trainer/Log Pis Std,trainer/Q1 Predictions Std,exploration/num steps total,evaluation/num steps total,evaluation/Num Paths,exploration/path length Std,evaluation/Returns Mean,exploration/path length Min,exploration/Actions Min,trainer/Policy log std Std,evaluation/path length Std,exploration/Actions Max,trainer/Policy log std Max,trainer/Q1 Predictions Mean,time/total (s),evaluation/Returns Std,evaluation/num paths total,trainer/Q2 Predictions Min,trainer/Q1 Predictions Min,evaluation/Actions Min,replay_buffer/size,evaluation/Rewards Min,time/exploration sampling (s),time/saving (s),exploration/Rewards Std,trainer/Policy log std Mean,trainer/Log Pis Max,exploration/path length Max,evaluation/Actions Std,trainer/Q1 Predictions Max,time/logging (s),trainer/Q Targets Max,exploration/Returns Std,time/data storing (s),exploration/Returns Min,trainer/Alpha,trainer/Q2 Predictions Std
-0.018793777,-6.3422231543957315,-634.2223154395732,-1078.0586625656115,-1.3337692,-0.23726683960926134,3.2790418,2.3700600450101774,-0.00072245544,5,0.3615140409965534,7,0.00059197604,-636.5586139133378,0.0006599963,0,100,-0.000992758,-12.447429,-636.5586139133378,-7.674538e-05,0.6193894,100,-2.597709411223497,-364.16805811869574,-12.602737664054947,2.866578046795307,-6.365586139133379,-0.0,-0.0003172735,-1.8267999,0.00047901264,-0.0013482061,100.0,-260.1895714183975,-5.53493,41.40052,0.00056392775,-1.3344666,41.381462,2.917241872026352,100.0,0.3044572,0.0005802131,700,1500,15,0.0,-634.2223154395732,100,-0.9937075,0.0009390359,0.0,0.99671936,0.0019482258,0.0012089657,3.16328565008007,286.6537264692535,15,-0.00533823,-0.0011280549,-0.0015572765,700,-10.795640609394896,0.17383843800053,0.002847456024028361,3.096067020135867,0.0003673686,-0.563941,100,0.0005624443,0.0021042353,0.005668839003192261,-0.33545676,269.81587448108843,0.0033130529918707907,-1003.6606530974213,0.9997000694274902,0.0012071074
-0.085668564,-7.479502712987666,-747.9502712987666,-1196.4563885109776,8.185178,-0.18745220587052802,4.6039414,2.1087122969911434,-9.513724,5,0.47856235297513194,12,0.7109752,-715.2513060239633,-2.8265078,1,100,-0.3206658,-24.105755,-715.2513060239633,-0.0068834694,0.56521636,100,-0.330818828494385,-185.37888051679064,-11.747691250259455,4.136344645794344,-7.152513060239636,-0.4917181730270386,-0.12700966,-4.353312,0.30940893,-0.6317468,100.0,-209.326761703151,-11.460929,19.279427,0.5638663,-1.3053244,18.751877,2.801126296981238,100.0,0.59725904,4.702817,1200,3000,15,0.0,-747.9502712987666,100,-0.99528784,0.048680156,0.0,0.98814386,-0.12198462,-9.467124,5.970081075065536,347.0062939997421,30,-24.109667,-23.630024,-0.528004,1200,-11.964563885109754,0.20320546900620684,0.00225921900710091,3.8356121186511825,-0.21022359,-0.13148117,100,0.17366347,-2.7439907,0.005308449995936826,-4.544269,301.7410745776719,0.003078509005717933,-1090.7497644860466,0.8615218997001648,4.692734
0.020631844,-3.1627136747361715,-316.27136747361715,-398.3954379400668,18.517973,-0.7402335806584208,8.923381,2.116574789979495,-19.978146,5,0.3653844780055806,17,1.2537235,-388.32954056927304,-9.962812,2,100,-0.45348188,-45.47522,-388.32954056927304,-0.01614786,0.57062215,100,-1.2409607376597562,-352.094319674732,-11.572119889952697,0.8749416517104185,-3.883295405692731,-0.8026800751686096,-0.003539315,-3.0868263,0.56256723,-1.3169539,100.0,-257.67378186139547,-20.136019,2.2068596,0.84483254,-0.78700995,2.445579,2.6612342309381347,100.0,0.8352345,8.515511,1700,4500,15,0.0,-316.27136747361715,100,-0.9785506,0.071327604,0.0,0.99380535,-0.1693655,-20.002335,8.63624304102268,40.98784451283071,45,-47.442116,-47.333176,-0.7897548,1700,-10.491977141885807,0.16284046397777274,0.008026787982089445,1.6069766579273606,-0.29789722,1.7809249,100,0.120222874,-9.885374,0.005211740994127467,-2.2716208,28.492193564956587,0.003195969999069348,-434.4204312059396,0.7495607137680054,8.480095
0.015106909,-1.076015673081325,-107.6015673081325,-181.10240942686573,24.467852,-0.03788838216672298,11.479946,2.1367222819826566,-26.557192,5,0.37165491402265616,22,1.4898027,-128.86202163154036,-11.8453045,3,100,-0.61546767,-51.96046,-128.86202163154036,0.15347461,0.5275234,100,-0.37548186330261074,-90.75242181637319,-7.267050922466445,0.9012000382200914,-1.2886202163154035,-0.8539630770683289,-0.0030791766,-3.5417132,0.8700516,-1.6156988,100.0,-62.692655806889384,-26.773281,1.5189263,0.86919796,-0.075361244,1.6538475,2.7394057759956922,100.0,1.3376688,11.063251,2200,6000,15,0.0,-107.6015673081325,100,-0.9760067,0.047379073,0.0,0.9845426,-0.37002718,-26.574795,11.380028462968767,44.55085770942315,60,-52.644398,-52.459095,-0.92223746,2200,-9.508131834927676,0.2194965569942724,0.0021831079793628305,0.9101158913424205,-0.47518897,2.699863,100,0.14882131,-11.890955,0.004826570017030463,-11.623473,32.31864710494522,0.004522344999713823,-176.1956117653364,0.662525475025177,11.043155
0.01154907,-0.663958945655605,-66.39589456556051,-104.02133945519212,25.413647,-0.04556466920931543,15.155389,2.120556656009285,-27.388767,5,0.3486040979914833,27,1.5746372,-87.05569454263156,-11.936508,4,100,-0.78899974,-62.84244,-87.05569454263156,0.18298107,0.4730941,100,-0.2676494566730767,-73.84382485849689,-8.388485862837353,0.9387236065350263,-0.8705569454263157,-0.9700725674629211,-0.0026391973,-3.1043067,0.8904022,-1.819952,100.0,-47.940954087935076,-27.12247,6.142757,0.8914925,0.15545921,6.2259173,2.640619126963429,100.0,1.3503973,14.805886,2700,7500,15,0.0,-66.39589456556051,100,-0.96367264,0.116866514,0.0,0.99000525,-0.33511433,-27.335386,14.025078988925088,17.934867333939465,75,-65.6231,-65.41322,-0.962876,2700,-10.395337429949288,0.16136390398605727,0.0020197599951643497,0.8021356123626905,-0.58135736,3.138722,100,0.16209264,-12.016449,0.004971702001057565,-3.6456306,15.15558802926699,0.003103006980381906,-115.49793425767751,0.5908877849578857,14.796882
-0.011174878,-0.6759772594098746,-67.59772594098747,-109.20613486526933,22.922588,-0.023736474415700533,14.226499,2.160752652998781,-24.909626,5,0.359354258980602,32,1.8707865,-111.83792608457365,-12.153323,5,100,-0.85933536,-72.38887,-111.83792608457365,0.1551601,0.48165452,100,-0.41860547373684026,-86.5722498371112,-10.216831033030749,0.8033708989314872,-1.1183792608457366,-1.0742034912109375,-0.007261737,-3.9233844,0.9225473,-1.6641045,100.0,-42.17546625492007,-24.896395,3.7397568,0.94985515,0.32608438,4.14806,2.693359350960236,100.0,1.4479771,13.852124,3200,9000,15,0.0,-67.59772594098747,100,-0.98818976,0.107719205,0.0,0.9815703,-0.3805566,-24.837917,16.722806064935867,17.069942850187584,90,-70.27579,-70.11427,-0.9586577,3200,-10.142403407608723,0.16353175800759345,0.0019270519842393696,1.5514201727642039,-0.6603426,3.7402797,100,0.156171,-12.331325,0.004718269978184253,-2.713898,16.093243745301987,0.0030753590108361095,-133.4193916849793,0.5262585282325745,13.836831
-0.022481812,-0.7215087248190672,-72.1508724819067,-104.27898104628329,25.63395,-0.01288462020562534,21.090473,2.112621640000725,-28.072666,5,0.36182828500750475,37,1.9307398,-87.83047528060385,-12.7495575,6,100,-0.85413694,-90.64397,-87.83047528060385,0.1447539,0.47537744,100,-0.44527408237286753,-72.53013423198423,-10.030250362900878,1.2033118841671615,-0.8783047528060385,-1.44435453414917,-0.0017959619,-3.6531272,0.94976586,-1.9567932,100.0,-45.7782374370136,-27.816841,8.683596,0.9533414,0.12022131,9.107275,2.649671423016116,100.0,1.4790202,20.638018,3700,10500,15,0.0,-72.1508724819067,100,-0.9953139,0.098473504,0.0,0.97849,-0.38498253,-28.028084,19.376651627913816,20.734272667296956,105,-89.76508,-89.639984,-0.9723756,3700,-10.918903131576052,0.16453306301264092,0.0019505730015225708,1.0022650680261758,-0.6446879,4.1855154,100,0.19884881,-13.049758,0.005090502992970869,-0.87467325,16.164082598596412,0.0036473590007517487,-118.0451129128598,0.4636518359184265,20.649137
-0.0036284786,-0.6317861046951482,-63.178610469514794,-91.08292487004759,22.73537,-0.027706697087487315,14.893407,2.174318077013595,-23.948523,5,0.36068782801157795,42,1.988009,-87.70565451308623,-13.573738,7,100,-0.8289249,-73.03764,-87.70565451308623,0.15607576,0.4949351,100,-0.3162692572615891,-67.40045376020653,-9.583938951252945,1.026462165779468,-0.8770565451308622,-1.7915960550308228,0.0097095175,-3.366836,0.8903686,-2.0523021,100.0,-39.297417831654116,-24.006227,1.3104639,0.9627214,0.018049013,1.7786134,2.7032672610366717,100.0,1.5401,14.8462715,4200,12000,15,0.0,-63.178610469514794,100,-0.98539406,0.078630395,0.0,0.9805373,-0.4205375,-23.868572,22.08453241692041,16.0115822846921,120,-72.10639,-72.46602,-0.97459424,4200,-10.25127425183092,0.158521681005368,0.0020836770127061754,1.1221509612772098,-0.67514426,4.5397415,100,0.18863226,-13.921821,0.004685179999796674,-13.951039,14.325980508906529,0.002970817993627861,-109.81326728675892,0.40485459566116333,14.790579
-0.0023363424,-0.5895337280709503,-58.95337280709502,-89.68936261701775,22.792536,-0.018841799027590964,15.979538,2.209903631010093,-24.370123,5,0.43989348399918526,47,2.075873,-79.31458402424072,-14.600058,8,100,-0.804153,-86.04834,-79.31458402424072,0.07154791,0.48330852,100,-0.211330896056994,-66.2567684409113,-10.165771775205144,1.1688444942297933,-0.7931458402424073,-2.312678575515747,-0.0035043103,-3.3564825,0.8643698,-2.2571998,100.0,-35.56286013429109,-24.517132,0.59668016,0.9681976,-0.21241613,0.75871474,2.8245352860249113,100.0,1.3616017,15.817381,4700,13500,15,0.0,-58.95337280709502,100,-0.983925,0.07389291,0.0,0.9904524,-0.46634203,-24.327698,24.91386375494767,17.447486850345683,135,-82.74009,-82.495575,-0.97122765,4700,-9.375283383808393,0.16418472200166434,0.0021766510035376996,0.9226432322857125,-0.67280847,4.070281,100,0.21166071,-14.719824,0.004688262997660786,-14.9712925,18.79038390478803,0.003688535012770444,-116.65805137338039,0.35147708654403687,15.801186
0.004897523,-0.9039987573910018,-90.39987573910011,-526.9837067837171,23.71036,-0.029819836813350244,16.073969,2.183134380989941,-24.798244,5,0.36262023900053464,52,2.1954176,-82.23475297214242,-15.806506,9,100,-0.8923005,-87.22482,-82.23475297214242,0.0894038,0.4693445,100,-0.1775546679146052,-67.89311250025168,-10.587574134356792,1.5036590758506967,-0.8223475297214243,-2.482907295227051,-0.03269777,-3.941214,0.8556921,-2.242101,100.0,-31.20568730805781,-24.215794,12.14573,0.9737455,-0.081276745,12.1716,2.720527494966518,100.0,1.5062113,15.192625,5200,15000,15,0.0,-90.39987573910011,100,-0.99247986,0.103832595,0.0,0.9951142,-0.5087375,-24.81275,27.639134215918602,117.81181291434058,150,-86.61929,-86.25122,-0.97572047,5200,-11.409172597184115,0.16439171199453995,0.002007011993555352,1.0207450166605863,-0.71376574,4.6951065,100,0.25510862,-15.9485855,0.00523777399212122,-1.3754898,16.441637066071443,0.00313637699582614,-112.82031097834954,0.30322667956352234,15.178051
-0.009378479,-0.39762043755426035,-39.762043755426035,-75.23846676380178,25.34722,-0.026494496003611263,15.672238,2.1285399770131335,-26.591303,5,0.3577852349844761,57,2.2539563,-68.9176280361741,-15.708321,10,100,-0.9718235,-78.672356,-68.9176280361741,0.12117645,0.4508369,100,-0.04954502421609212,-49.638340392870965,-9.72130729917984,1.1618135517519461,-0.6891762803617411,-1.9564208984375,-0.0041705077,-3.4681127,0.97097087,-2.3517735,100.0,-12.067865208135228,-26.540955,3.2554617,0.97768646,0.53609955,3.3694477,2.662236243020743,100.0,1.7751077,15.731204,5700,16500,15,0.0,-39.762043755426035,100,-0.9938159,0.12070817,0.0,0.9481404,-0.47755635,-26.54139,30.305911087954883,21.332388019957328,165,-77.631676,-78.02751,-0.9856647,5700,-10.485015884355132,0.1644793940067757,0.001701135013718158,1.0073437145022954,-0.7873205,4.488462,100,0.195953,-15.675571,0.005824505002237856,-0.65505314,22.40291449978864,0.0039059970004018396,-97.62268017091269,0.26270514726638794,15.707843
-0.02963532,-0.390876695173825,-39.0876695173825,-79.93867459562699,23.075922,-0.020502861834648736,14.120712,2.145592843997292,-24.586475,5,0.3636259459890425,62,2.4507647,-70.38838149079623,-16.48492,11,100,-1.1258096,-86.46618,-70.38838149079623,0.10648932,0.45272207,100,-0.08011715883007807,-46.528833220302204,-9.404515041221845,0.8913943016944933,-0.7038838149079623,-2.7670998573303223,-0.0015904173,-3.2553148,0.8339236,-2.3627722,100.0,-21.568053007615088,-24.100307,12.617267,0.97734386,0.1263534,12.592192,2.6835170179838315,100.0,1.5346102,13.668751,6200,18000,15,0.0,-39.0876695173825,100,-0.99220705,0.1411577,0.0,0.9463081,-0.5668396,-24.569424,32.99430965501233,14.898701107336974,180,-86.54823,-86.0814,-0.98818755,6200,-10.70374289531229,0.16445651001413353,0.002160204981919378,1.0311406342141904,-0.8748535,4.393183,100,0.17904496,-16.590117,0.004639027989469469,-0.49328947,20.329581653536604,0.0030424850119743496,-101.31559457668644,0.228293776512146,13.669902
-0.0040771496,-0.3495887657385631,-34.95887657385631,-65.00833910059636,25.926804,-0.024397850735892648,18.17616,2.1493630320183,-26.759533,5,0.4155171310121659,67,2.5704193,-58.65924964117379,-16.472061,12,100,-1.222848,-94.0992,-58.65924964117379,0.035701007,0.41192415,100,-0.06113023722367586,-40.89116468238283,-8.52605282358968,1.1962429885658565,-0.5865924964117382,-2.084293842315674,-0.001794617,-2.0091314,1.0145794,-2.6708324,100.0,-6.9009923492790275,-27.161348,0.7991994,0.97948945,0.70765555,0.7163124,2.7396845230541658,100.0,1.6887519,18.1076,6700,19500,15,0.0,-34.95887657385631,100,-0.9971553,0.17592072,0.0,0.98688304,-0.4687007,-26.690767,35.73856786004035,18.19124862281168,195,-93.96109,-93.714035,-0.98607063,6700,-10.646408589913868,0.1638889079913497,0.0020694609847851098,0.8122917791960845,-0.9087004,5.5812035,100,0.19843027,-16.372744,0.005388786026742309,-16.878342,14.676675351484151,0.0034572050208225846,-82.73119541592499,0.1992744505405426,18.112785
