time/data storing (s),time/evaluation sampling (s),exploration/num steps total,trainer/Log Pis Std,evaluation/Actions Min,trainer/Q1 Predictions Min,exploration/num paths total,evaluation/Actions Std,evaluation/path length Max,evaluation/Rewards Min,time/exploration sampling (s),exploration/Rewards Max,time/epoch (s),evaluation/num steps total,exploration/path length Max,trainer/Policy log std Min,evaluation/path length Std,trainer/Q1 Predictions Mean,trainer/Alpha,exploration/Actions Min,trainer/Policy Loss,evaluation/Returns Max,evaluation/Rewards Std,time/logging (s),trainer/Q Targets Mean,evaluation/Average Returns,evaluation/Returns Min,evaluation/Num Paths,trainer/Alpha Loss,evaluation/num paths total,trainer/Q Targets Std,trainer/QF2 Loss,time/training (s),exploration/Actions Mean,evaluation/Actions Mean,time/saving (s),trainer/Log Pis Mean,trainer/Policy mu Max,evaluation/Actions Max,evaluation/Returns Std,time/total (s),trainer/Policy mu Std,exploration/Returns Min,trainer/Q2 Predictions Max,exploration/Actions Std,exploration/Average Returns,exploration/path length Mean,exploration/path length Min,trainer/Q1 Predictions Std,trainer/Q Targets Max,trainer/Q2 Predictions Std,trainer/Q Targets Min,trainer/QF1 Loss,evaluation/Rewards Max,trainer/Q1 Predictions Max,trainer/Policy log std Mean,evaluation/path length Mean,trainer/Policy mu Mean,trainer/Log Pis Max,exploration/Returns Max,exploration/Rewards Mean,evaluation/Returns Mean,Epoch,trainer/Policy log std Std,trainer/Q2 Predictions Mean,exploration/Actions Max,exploration/Returns Std,trainer/Policy mu Min,trainer/Policy log std Max,trainer/Log Pis Min,exploration/Num Paths,exploration/Returns Mean,evaluation/Rewards Mean,exploration/path length Std,exploration/Rewards Min,exploration/Rewards Std,replay_buffer/size,evaluation/path length Min,trainer/Q2 Predictions Min
0.0027899769993382506,0.29474621400004253,700,0.30757287,-0.0007567731,0.00015571725,7,0.000512949,100,-11.476404479017377,0.14450225900509395,-0.3499092131511659,2.366609460012114,1500,100,-0.0010756834,0.0,0.0020162386,0.9997000694274902,-0.9973413,-1.3276485,-180.098205303429,2.796678780007609,0.005044739998993464,-6.3827367,-646.6870108411053,-1146.285364047936,15,-0.0,15,2.6575572,47.855576,1.917120928002987,-0.013333187,0.0005489433,0.0024053420056588948,-1.3256469,0.0015530442,0.0016267442,279.6597121455684,2.5863643280026736,0.0004984509,-980.1188336945636,0.007928664,0.6446533,-702.4220791459926,100.0,100,0.0010662202,-0.7506465,0.0013359152,-11.441978,47.83202,-1.784411877105374,0.004878485,0.0005387375,100.0,0.00056131906,-0.5307119,-405.3666478023623,-7.0242207914599275,-646.6870108411053,0,0.0009437161,0.004134236,0.9977979,210.57897483476603,-0.00088123267,0.0022778446,-1.8050983,5,-702.4220791459926,-6.466870108411054,0.0,-12.18571753276045,3.0614099252876965,700,100,0.002483589
0.0028379710056469776,0.36111815000185743,1200,0.72917163,-0.4298742,-23.338652,12,0.16165674,100,-10.69145139929407,0.15240639500552788,-0.04334415657086828,2.468077808014641,3000,100,-0.30831164,0.0,-10.014856,0.8633291721343994,-0.9898679,8.4604,-126.21735594878605,1.1865668240718374,0.004837009000766557,-10.140345,-173.65532082475437,-296.6537577096989,15,-0.45867276191711426,30,5.6448216,0.43694293,1.944811221001146,0.12931629,0.22113918,0.002067061999696307,-1.1270552,0.82496387,0.6870736,38.58018999835186,5.059401117025118,0.3877265,-266.70193442202657,-4.4523487,0.58873075,-196.75338130009678,100.0,100,5.5091095,-1.2954121,5.526926,-22.804237,0.4477414,-0.08144783133662414,-4.4869475,-0.21323186,100.0,0.23113678,0.3231449,-144.69791576443663,-1.9675338130009674,-173.65532082475437,1,0.037193954,-10.046452,0.99089116,39.53587949488482,-0.5773066,-0.15331382,-2.8622103,5,-196.75338130009678,-1.7365532082475432,0.0,-9.61513840181065,1.299176616208289,1200,100,-23.253313
0.003074364001804497,0.33915214600710897,1700,1.0285412,-0.7909601,-40.236557,17,0.20609008,100,-10.180951767723554,0.1644230919991969,-0.11127628461879499,2.642430861000321,4500,100,-0.48101074,0.0,-13.950445,0.7518216371536255,-0.9848184,12.404893,-51.948272550419496,1.4081678041457455,0.0058928419966832735,-13.628605,-96.99326736749693,-445.8659628163985,15,-0.7932591438293457,45,9.426145,9.049955,2.1278576990007423,0.08350247,0.0596228,0.0020307179947849363,-0.78344315,1.3193986,0.86007303,94.53121700763543,7.706439464018331,0.5621601,-176.04995495251634,-7.0366135,0.5803727,-165.4698205203611,100.0,100,9.1159725,-5.8436537,9.133896,-42.095375,8.999972,-0.1311211225745304,-7.1531653,-0.28542945,100.0,0.18099222,1.6696632,-148.7012032214939,-1.654698205203611,-96.99326736749693,2,0.08838263,-13.957358,0.9903284,9.954658075616704,-1.14592,-0.14566654,-3.6954932,5,-165.4698205203611,-0.9699326736749692,0.0,-10.183403759500772,1.5676953213972387,1700,100,-40.397327
0.0031723799984320067,0.3772276599993347,2200,1.106606,-0.9277287,-57.23871,22,0.16567323,100,-9.98057840463023,0.16065094999794383,-0.03579211516536584,2.645623878001061,6000,100,-0.5982301,0.0,-16.496056,0.657097339630127,-0.9959436,14.673907,-17.04508663639775,1.0753176798278041,0.004052442003739998,-16.041784,-39.69983663785145,-75.79171782507707,15,-1.122005820274353,60,10.625092,33.171177,2.0989761289965827,0.022835096,0.022587616,0.0015443170050275512,-0.6736643,1.4851947,0.8994807,16.864960168661387,10.356307757021568,0.6777161,-133.4033612187979,-9.0026045,0.5603017,-109.44940946740444,100.0,100,11.253293,-8.351429,11.250666,-57.94737,33.210915,-0.04903484351953188,-8.984986,-0.3684525,100.0,0.1132322,2.3799922,-91.1485200088237,-1.0944940946740445,-39.69983663785145,3,0.09787791,-16.498297,0.9921095,16.081002457409614,-1.4785564,-0.20456874,-2.7158012,5,-109.44940946740444,-0.3969983663785146,0.0,-5.968894601547635,0.7469267370478264,2200,100,-57.107265
0.002863069996237755,0.34679797700664494,2700,1.1275045,-0.93518955,-72.32896,27,0.2252038,100,-9.926713474980218,0.16582308999932138,-0.029803376672306425,2.54921789799846,7500,100,-0.63825136,0.0,-17.000742,0.573363721370697,-0.9944452,15.38879,-18.219197654567793,1.2385124991268692,0.0047898100019665435,-16.93948,-55.8095234501798,-383.2199850217253,15,-1.5250778198242188,75,11.702551,1.9833747,2.0269884189983713,0.027052429,0.0039371084,0.001955531995918136,-0.74311006,1.7306402,0.94079125,88.90793961317993,12.90889822000463,0.6725992,-135.9508116179096,-10.870286,0.5613598,-110.67524598886489,100.0,100,11.661914,-2.0981922,11.65835,-68.72505,1.9951625,-0.03979987821848546,-10.943255,-0.39994788,100.0,0.116968215,3.2488866,-92.96339283748192,-1.1067524598886487,-55.8095234501798,4,0.09399924,-16.988266,0.9765313,18.635292167601207,-1.4698714,-0.20563933,-3.2464275,5,-110.67524598886489,-0.5580952345017978,0.0,-10.058107015717463,1.1439348176960975,2700,100,-72.17312
0.0031663990012020804,0.34590520599886077,3200,1.1865668,-0.9340392,-81.970795,32,0.17253996,100,-10.808366998596421,0.15780619300494436,-0.002965789153886069,2.591111732988793,9000,100,-0.67006326,0.0,-23.165823,0.4990723729133606,-0.9667333,20.95784,-18.07883768211614,1.0588845132485238,0.004794998996658251,-23.290848,-38.4424374615471,-77.48213776937212,15,-1.7043602466583252,90,18.829655,0.7813679,2.0773889899937785,0.010190185,0.02539854,0.002049945993348956,-0.45327172,1.8895017,0.9565494,19.186902715809158,15.50431038899842,0.7657964,-98.79976246986092,-12.347739,0.53040063,-84.52699512143815,100.0,100,18.882238,-12.000849,18.863451,-78.19421,0.7680508,-0.05485583399479634,-12.378337,-0.46407187,100.0,0.14868715,2.800634,-69.63058946267003,-0.8452699512143815,-38.4424374615471,5,0.10222389,-23.163359,0.987317,11.422921843621848,-1.4139868,-0.15292457,-2.8844757,5,-84.52699512143815,-0.384424374615471,0.0,-6.410737313884713,0.6767538126378477,3200,100,-82.1336
0.0036461879935814068,0.35846284800209105,3700,1.2428479,-0.88074917,-82.35739,37,0.18803361,100,-10.990521477079094,0.17702633300359594,-0.012073923029175699,2.612810705009906,10500,100,-0.67197293,0.0,-21.20724,0.4341948628425598,-0.95316654,19.622055,-29.00700340889496,1.2316634393496966,0.004774523004016373,-21.096807,-56.51339844497655,-86.56387451700903,15,-1.8476097583770752,105,15.542477,7.0242844,2.0669610500044655,0.036468767,0.030626511,0.0019397630021558143,-0.2153922,1.9144164,0.96008927,17.732063292687883,18.121702335010923,0.7960876,-125.7045996631321,-13.462052,0.501919,-88.96766797696814,100.0,100,14.852091,-0.22952297,14.83924,-83.03798,7.0550313,-0.26981380824790935,-13.398595,-0.5221892,100.0,0.06956864,2.9982367,-75.84130925100338,-0.8896766797696815,-56.51339844497655,6,0.09931261,-21.192192,0.99354905,18.777308717038707,-1.906101,-0.18791047,-4.1690793,5,-88.96766797696814,-0.5651339844497655,0.0,-10.367081555428856,1.0101960707299988,3700,100,-82.356125
0.0030808919982519,0.33105329499812797,4200,1.3686656,-0.95739645,-91.64036,42,0.16948767,100,-9.58803770964913,0.15966416500305058,-0.03517296059919463,2.5176344139981666,12000,100,-0.7546076,0.0,-21.232471,0.3776412308216095,-0.96554625,19.730762,-10.703943464768729,0.945526030033021,0.004924663997371681,-21.256874,-29.58794942546808,-63.1894768314283,15,-2.1187920570373535,120,14.083558,5.3513765,2.0168909710046137,0.0077520944,0.026600732,0.002020426996750757,-0.17638287,2.1767027,0.97537845,15.247442203671316,20.643773363000946,0.8030224,-83.87822510951504,-14.142534,0.4989636,-76.45886846140476,100.0,100,14.339195,-5.8436537,14.346487,-87.090744,5.5030217,-0.09058852952327709,-14.1802635,-0.6088551,100.0,0.1954967,3.2484112,-68.38838957906948,-0.7645886846140477,-29.58794942546808,7,0.09721511,-21.239756,0.9807127,6.171093236008475,-1.8630497,-0.25463325,-4.9733353,5,-76.45886846140476,-0.29587949425468096,0.0,-6.731678609069136,0.6928144584722857,4200,100,-91.723404
0.002885622001485899,0.3531997530008084,4700,1.5638493,-0.9449537,-82.57839,47,0.17229447,100,-10.213746059520801,0.16044547099591,-0.009415554850774076,2.5516246069892077,13500,100,-0.86044323,0.0,-21.845953,0.3284933567047119,-0.98107255,20.612799,-7.240087365578775,0.9409830935126333,0.00473794400022598,-21.721441,-22.23663982531551,-62.24716772826214,15,-2.3077847957611084,135,15.007716,5.22061,2.0283434159937315,0.038552903,0.021678425,0.0020124009970459156,-0.073550165,2.280683,0.9786963,15.88037095876836,23.199183334996633,0.8249684,-117.76627085136602,-15.163165,0.48376334,-87.2141755523281,100.0,100,14.419418,-0.21074422,14.409095,-84.02505,5.2428694,-0.003949452783075363,-15.189537,-0.6654753,100.0,0.24060017,3.9688818,-65.84624698097207,-0.8721417555232811,-22.23663982531551,8,0.12920511,-21.820425,0.99565214,18.638261572200758,-1.7734777,-0.22797263,-3.6580167,5,-87.2141755523281,-0.2223663982531551,0.0,-9.842041312201015,1.1302567299571509,4700,100,-82.465164
0.004008641000837088,0.3469847859960282,5200,1.3122216,-0.9366977,-82.38465,52,0.1601171,100,-9.925035700681228,0.16243163499893853,-0.038814190135398004,2.427305304998299,15000,100,-0.9536201,0.0,-21.699812,0.28588420152664185,-0.935498,20.49344,-28.857955024174352,0.718177290002314,0.004739588999655098,-21.66458,-39.13711243197363,-77.22493131059876,15,-2.7694008350372314,150,14.659335,6.071966,1.9071741950028809,0.045732986,0.01939067,0.0019664589999592863,-0.21217038,2.3758936,0.9810709,12.834751098642567,25.630337615002645,0.7716709,-98.74204242815244,-15.766408,0.4615996,-84.53927594863947,100.0,100,14.268458,-1.4702035,14.2603655,-85.655014,6.0860624,-0.0656748755184621,-15.739079,-0.773261,100.0,0.11461152,3.4767566,-60.03644109275871,-0.8453927594863945,-39.13711243197363,9,0.13793626,-21.718384,0.9973819,13.286258306537357,-1.4516997,-0.28043133,-4.2224607,5,-84.53927594863947,-0.3913711243197362,0.0,-9.605183849745448,1.2818450050534929,5200,100,-82.48756
