replay_buffer/size,exploration/Num Paths,trainer/Policy Loss,exploration/Returns Mean,exploration/Actions Min,time/logging (s),evaluation/path length Std,time/exploration sampling (s),exploration/Returns Std,evaluation/Rewards Mean,evaluation/Rewards Min,trainer/Q Targets Mean,evaluation/Average Returns,trainer/Alpha Loss,trainer/Log Pis Min,exploration/Rewards Max,exploration/Actions Std,exploration/num paths total,exploration/path length Mean,trainer/Policy log std Mean,evaluation/path length Mean,exploration/Returns Max,evaluation/Num Paths,trainer/Log Pis Std,time/epoch (s),time/saving (s),trainer/Alpha,time/training (s),evaluation/Returns Min,exploration/Rewards Std,evaluation/Actions Mean,exploration/path length Max,trainer/Q2 Predictions Mean,evaluation/Rewards Std,trainer/Policy mu Max,trainer/Q Targets Std,time/data storing (s),exploration/Rewards Mean,evaluation/num paths total,trainer/Q2 Predictions Std,trainer/Q1 Predictions Mean,exploration/path length Min,evaluation/path length Max,trainer/Q1 Predictions Std,trainer/Policy mu Std,trainer/Policy log std Min,trainer/QF1 Loss,evaluation/path length Min,evaluation/Actions Std,trainer/Policy log std Max,trainer/Log Pis Mean,trainer/Policy mu Min,evaluation/Returns Max,trainer/Q1 Predictions Max,trainer/QF2 Loss,trainer/Q Targets Min,evaluation/Rewards Max,trainer/Q2 Predictions Min,time/evaluation sampling (s),trainer/Policy mu Mean,trainer/Q Targets Max,exploration/Average Returns,trainer/Q2 Predictions Max,evaluation/Returns Std,evaluation/Returns Mean,exploration/Actions Max,evaluation/Actions Min,exploration/Returns Min,evaluation/Actions Max,Epoch,evaluation/num steps total,exploration/num steps total,exploration/Actions Mean,time/total (s),exploration/Rewards Min,trainer/Q1 Predictions Min,trainer/Policy log std Std,trainer/Log Pis Max,exploration/path length Std
5700,5,17.541271,-62.08048089323722,-0.9895063,0.004740963981021196,0.0,0.14468107599532232,16.638295070475714,-0.2153196013805298,-9.376767867010821,-18.885992,-21.531960138052984,-2.9286248683929443,-5.3930693,-0.011224038239249015,0.40585706,57,100.0,-0.88586134,100.0,-51.36440223278011,15,1.4822576,2.4598518799757585,0.0019823990005534142,0.25005805492401123,1.9783043729839846,-54.90068721812402,0.9094460960106315,0.01301883,100,-18.680387,0.8304612756871022,2.3115237,9.893269,0.002906387991970405,-0.6208048089323721,165,9.857075,-18.656462,100,100,9.843332,0.80162853,-1.1070579,0.43252444,100,0.15903251,-0.36953726,-0.11333117,-2.1118321,-6.652987040111276,-14.267468,0.4165886,-64.81746,-0.007442262966595207,-64.47833,0.3272366800229065,0.024609977,-13.937157,-62.08048089323722,-14.268935,15.419635089416445,-21.531960138052984,0.99315196,-0.96199936,-94.92212764211268,0.9820082,10,16500,5700,0.01737073,26.70587103292928,-9.875362190231629,-64.37596,0.16071673,5.649661,0.0
6200,5,20.268261,-59.853123092974144,-0.9834489,0.0047651350032538176,0.0,0.14551686198683456,12.729626935319992,-0.4815968441837687,-9.482739729181453,-21.425726,-48.159684418376855,-2.5355663299560547,-5.5451126,-0.017544702761727322,0.3821046,62,100.0,-0.9460814,100.0,-44.7584278647621,15,1.6292267,2.3906587100063916,0.0019344679894857109,0.21837487816810608,1.8949834300146904,-75.89097993233989,0.8235008749920404,0.035085816,100,-21.40589,0.9947183692799256,2.4277477,14.076029,0.0030290130234789103,-0.5985312309297415,180,14.011833,-21.40813,100,100,14.017853,0.904296,-1.2204984,0.5129968,100,0.18938799,-0.42391565,0.33327428,-1.9455942,-29.549400887041045,-14.743979,0.4861926,-76.42678,-0.023200030073655037,-75.77229,0.34042980198864825,0.21663769,-14.6835,-59.853123092974144,-14.775749,13.691218205469527,-48.159684418376855,0.9924019,-0.931696,-79.82210242709455,0.98541677,11,18000,6200,0.025251742,29.10075052193133,-7.803031478179624,-75.44062,0.21613525,4.4688983,0.0
6700,5,18.581415,-60.28745066374661,-0.9634151,0.004700196004705504,0.0,0.1500261559849605,15.842413539975967,-0.3760155726209879,-10.712936652128588,-19.039736,-37.601557262098794,-2.6278469562530518,-2.8355207,-0.002532734961865978,0.38705286,67,100.0,-1.0815145,100.0,-36.6805959384378,15,1.3048478,2.420530343952123,0.0015569589741062373,0.19150060415267944,1.938183644990204,-70.36757747878916,1.0214284956598856,0.037872937,100,-19.11885,1.101673125656112,2.416855,9.95347,0.0032244570029433817,-0.6028745066374662,195,9.852255,-19.119772,100,100,9.864267,0.73576003,-1.3158151,0.2901035,100,0.19386603,-0.49728104,0.40987736,-2.049875,-16.90202407354698,-15.072375,0.32944596,-64.189186,-0.016170983345767526,-63.4227,0.32283893099520355,0.17056166,-14.944173,-60.28745066374661,-15.112033,16.044184503558785,-37.601557262098794,0.99782646,-0.969898,-85.22836170263356,0.9858533,12,19500,6700,0.032042276,31.52555201688665,-9.49666522241302,-63.46423,0.20508401,5.7355747,0.0
7200,5,18.90842,-67.04299530820386,-0.9394388,0.004764015000546351,0.0,0.1473207089875359,13.236145405731774,-0.7062205376256642,-10.506651386791692,-19.470325,-70.62205376256635,-2.6123476028442383,-4.631621,-0.02556953174192344,0.3635359,72,100.0,-1.1046661,100.0,-43.54565583812311,15,1.4428053,2.4162637329427525,0.001935640990268439,0.16860394179821014,1.9137852949788794,-448.931679730528,1.196362379782117,0.07266286,100,-19.378155,1.5169632027217657,2.4935968,10.603505,0.002788424986647442,-0.6704299530820386,210,10.407176,-19.385273,100,100,10.389123,0.8227834,-1.4068773,2.6302254,100,0.2545792,-0.35580045,0.5323471,-2.3931878,-19.17971690543162,-15.071869,2.6985726,-76.62972,-0.010085852596515088,-76.73584,0.345669647998875,0.1126758,-0.3991817,-67.04299530820386,-15.079336,102.77730294248596,-70.62205376256635,0.9974983,-0.98506767,-81.32420979115786,0.98721546,13,21000,7200,0.034470465,33.94595683985972,-9.38726262421842,-76.54809,0.2636101,5.2551556,0.0
7700,5,17.662138,-41.798495939486585,-0.98803544,0.004752382985316217,0.0,0.14164114400045946,11.047223723807528,-0.35322293879996275,-10.040452178877693,-17.761082,-35.32229387999628,-2.607234001159668,-2.5704026,-0.01045442640474552,0.31757626,77,100.0,-1.2653455,100.0,-29.256182685476414,15,1.2928642,2.408034638996469,0.0019274440128356218,0.14877815544605255,1.91891766799381,-62.25906890568856,0.668628766243069,0.043846726,100,-17.754057,1.2193475819864676,2.5864568,6.3662066,0.0027503989986144006,-0.4179849593948659,225,6.306356,-17.756262,100,100,6.3099537,0.74022263,-1.5661535,2.4712863,100,0.20247921,-0.518912,0.6314146,-2.1472716,-13.415184061009453,-15.097947,2.4669957,-59.97979,-0.04736740629602303,-60.069103,0.3380456010054331,0.03894378,-0.25178978,-41.798495939486585,-15.123802,15.23995238834984,-35.32229387999628,0.9966337,-0.8161496,-61.95050053879957,0.9894741,14,22500,7700,0.01325819,36.35721230585477,-7.374549041930511,-59.8509,0.27718282,5.391699,0.0
8200,5,18.395575,-51.15054224463121,-0.99775296,0.00479062699014321,0.0,0.14972010400379077,8.951764858961152,-0.620455469313914,-8.957827111301873,-18.446772,-62.04554693139145,-2.442211389541626,-2.2931345,-0.022247442272886903,0.3341156,82,100.0,-1.3442237,100.0,-39.35773590798711,15,1.3034877,2.451722378988052,0.006212301988853142,0.13162265717983246,1.9561343420064077,-486.61715829537,0.9129435495018421,0.07793533,100,-18.218006,1.419749922278165,2.6199849,8.5664,0.003026980994036421,-0.511505422446312,240,8.460426,-18.216356,100,100,8.464506,0.74438506,-1.6412138,0.20149177,100,0.26245376,-0.4588529,0.79550207,-2.5855567,-18.10712987703891,-15.1964445,0.20766252,-77.64052,-0.05786967992516831,-77.17929,0.33183802300482057,0.1581586,-15.132098,-51.15054224463121,-15.205698,114.18520632044938,-62.04554693139145,0.9981327,-0.9812232,-63.04267229287227,0.99002874,15,24000,8200,0.021158539,38.81318819979788,-7.754789653654499,-77.14649,0.27201104,4.957131,0.0
8700,5,18.634926,-45.98667821589392,-0.99724275,0.0040226860146503896,0.0,0.14304160999017768,19.98890451402751,-0.5909553092367319,-9.549441520445251,-18.947824,-59.09553092367311,-2.3319687843322754,-3.8790996,-0.013946805819163124,0.31553894,87,100.0,-1.387293,100.0,-27.901123353133173,15,1.4950757,2.4178979780117515,0.0019177169888280332,0.11663240194320679,1.9270632260013372,-526.2719789052553,1.0613080064227955,0.06760662,100,-18.631031,1.5725723610653428,2.603781,9.925132,0.003200939012458548,-0.4598667821589393,255,9.518238,-18.634188,100,100,9.546076,0.7868711,-1.7390954,0.33083034,100,0.27627984,-0.5111692,0.91459966,-2.4709587,-7.645395388185788,-15.161948,0.36391073,-67.03774,-0.03426382390610017,-64.0277,0.33865180000429973,0.100333124,-15.197648,-45.98667821589392,-15.189144,125.5661769155007,-59.09553092367311,0.9990288,-0.98729086,-79.3119940175191,0.9905051,16,25500,8700,0.027730213,41.235246496798936,-10.014869510737514,-64.182434,0.32834688,6.506366,0.0
9200,5,17.656065,-39.62411541113045,-0.66462266,0.004735875001642853,0.0,0.1424189289973583,20.45862303126073,-0.22852383453237754,-10.504319730610867,-17.381203,-22.852383453237753,-2.4103729724884033,-3.9956634,-0.014026365896655568,0.29808664,92,100.0,-1.4764962,100.0,-25.834670958762583,15,1.316724,2.3846814039861783,0.001953912986209616,0.10393962264060974,1.9045630560140125,-57.3264836210524,0.9747223742397497,0.028890548,100,-17.343206,0.955017894506304,2.6190648,5.210595,0.002835721999872476,-0.39624115411130456,270,4.918841,-17.339602,100,100,4.9196935,0.74031395,-1.8142873,2.4351788,100,0.18504821,-0.5656105,0.935215,-2.4503663,-4.3934645046932985,-15.098184,2.4568896,-44.074627,-0.026333769958915947,-44.569736,0.32817390898708254,-0.040920395,-0.07172561,-39.62411541113045,-15.125902,15.37746821198309,-22.852383453237753,0.9943181,-0.9877884,-80.13341946792235,0.9909819,17,27000,9200,0.038144767,43.62329868384404,-11.157623977806255,-44.436264,0.3217843,5.7350683,0.0
9700,5,18.579674,-75.78256972115078,-0.98797154,0.004759825998917222,0.0,0.14259667601436377,42.12564442626179,-0.5374926030091816,-8.733807043156723,-17.87332,-53.7492603009181,-1.7305006980895996,-1.2479389,-0.010381354851466714,0.35176715,97,100.0,-1.5637643,100.0,-31.214832303007473,15,1.1960672,2.3802291350148153,0.002017900987993926,0.09355871379375458,1.8962580070074182,-503.43353956937483,1.4638584001699593,0.077574275,100,-17.891539,1.3983755559380533,2.8080933,7.7777247,0.003010685002664104,-0.7578256972115075,285,7.270678,-17.88924,100,100,7.252298,0.767143,-1.9296253,5.0988955,100,0.26850125,-0.5501488,1.2695076,-2.283855,-8.85894751214481,-14.910603,5.0449696,-60.115677,-0.015543080838190865,-59.01034,0.33158604000345804,0.18916662,-0.04934143,-75.78256972115078,-14.893839,120.5937299598114,-53.7492603009181,0.9972119,-0.9806175,-147.27374776678664,0.9928189,18,28500,9700,0.084828205,46.00769927279907,-7.8400582160189725,-58.988377,0.34975618,5.5976157,0.0
10200,5,17.722912,-29.586620560536165,-0.99355376,0.0048611940001137555,0.0,0.14431900600902736,7.0698852706440345,-0.22018919006247234,-9.78507817161816,-17.696308,-22.018919006247234,-1.8398098945617676,-2.3316073,-0.010648557746601483,0.25503117,102,100.0,-1.6751174,100.0,-22.33437135220341,15,1.1531243,2.401366665988462,0.0018677369807846844,0.08448632061481476,1.9146496500179637,-57.313249688521864,0.5554187491779708,0.021259723,100,-17.280243,0.9298331641974958,2.8389087,8.769894,0.0030690860003232956,-0.29586620560536175,300,8.117919,-17.27034,100,100,8.123527,0.66390646,-1.9964864,0.8329903,100,0.17392786,-0.47644386,1.2554265,-2.6001854,-5.182594028937507,-14.68,0.8294511,-73.50453,-0.046789976501909546,-68.76496,0.3325999929802492,0.024382994,-14.904402,-29.586620560536165,-14.691812,16.420659244844995,-22.018919006247234,0.9943405,-0.9906406,-40.78687059539734,0.9933211,19,30000,10200,0.017033461,48.41337762775947,-6.015214957764751,-68.77745,0.34377846,5.0347586,0.0
10700,5,18.250463,-30.830783963528678,-0.9974836,0.004761392978252843,0.0,0.14447276399005204,3.388954591613823,-0.28376281637486567,-10.073667552300975,-17.576471,-28.37628163748657,-1.6602482795715332,-7.366597,-0.019302926945724472,0.26890627,107,100.0,-1.6068823,100.0,-25.565540721892276,15,1.4894458,2.390565903944662,0.001931122998939827,0.07655221223831177,1.9005558589997236,-57.18547385842104,0.5565014511059154,0.030611435,100,-17.479918,1.0814242086976262,2.7738492,8.212877,0.0030660869961138815,-0.3083078396352868,315,7.67444,-17.492878,100,100,7.6807117,0.8314852,-2.020251,2.6208007,100,0.19419593,-0.44778267,1.353883,-2.9265203,-6.066128560460545,-14.657114,2.6134768,-64.74547,-0.02861891476956245,-62.823677,0.3357786779815797,0.076201715,-0.61165535,-30.830783963528678,-14.667099,13.399620851822936,-28.37628163748657,0.9930206,-0.9812455,-36.23963934385026,0.9944934,20,31500,10700,-0.0025276383,50.80820849267184,-5.23493394647494,-62.942806,0.37812823,5.9953966,0.0
11200,5,18.980082,-37.830860858889366,-0.8767614,0.004705833998741582,0.0,0.14574622601503506,17.04621283585794,-0.5872400611631637,-9.26969246346932,-17.587414,-58.72400611631631,-0.8693096041679382,-2.9246352,-0.006530808723665128,0.26498252,112,100.0,-1.7561871,100.0,-17.333785377889836,15,1.298201,2.3970953580283094,0.0015423739969264716,0.06983642280101776,1.9089752819854766,-576.3945933756885,0.9779492139316314,0.06163205,100,-17.819456,1.613110039315793,2.9338193,9.546985,0.002970070025185123,-0.37830860858889354,330,9.28657,-17.826653,100,100,9.28848,0.8164731,-2.1456792,4.17122,100,0.24187702,-0.55109394,1.6733682,-2.601358,-5.587127806510335,-14.336613,4.146586,-62.440044,-0.026806374883926273,-61.060753,0.33315557200694457,0.052448355,-0.16955519,-37.830860858889366,-14.373705,138.9463290047088,-58.72400611631631,0.99823254,-0.98774743,-62.81794508931841,0.9946313,21,33000,11200,0.037017647,53.20892964967061,-9.428545916423705,-61.006805,0.41479412,6.277913,0.0
11700,5,16.96087,-33.10290010299629,-0.99681664,0.004736989008961245,0.0,0.141822873003548,20.08085305223121,-0.18000811168487507,-7.259908628516332,-15.873203,-18.00081116848751,-1.2301323413848877,-1.8916994,-0.0060330265995077,0.24267842,117,100.0,-1.800086,100.0,-17.26787204400292,15,1.3397403,2.387677295017056,0.0019198539957869798,0.06437411904335022,1.9014789760112762,-31.14356039194188,0.92998170350982,0.017481562,100,-15.906024,0.6133624877112275,2.9561672,6.225678,0.0028839469887316227,-0.33102900102996285,345,5.7274055,-15.929613,100,100,5.7445693,0.73831666,-2.146449,4.167589,100,0.17208879,-0.53499514,1.551518,-2.6374743,-9.17685591075429,-13.993176,4.174767,-60.943928,-0.04812700063086437,-60.765995,0.33483465600875206,-0.012143817,-0.13936059,-33.10290010299629,-13.971568,6.358528028093178,-18.00081116848751,0.99612015,-0.99600095,-72.73616919447886,0.9939673,22,34500,11700,0.014243014,55.60077809973154,-10.12193049699447,-60.85827,0.3906308,7.145275,0.0
