exploration/Rewards Max,trainer/Q2 Predictions Mean,time/evaluation sampling (s),exploration/Actions Min,evaluation/Rewards Mean,trainer/Q1 Predictions Max,evaluation/path length Std,trainer/Q1 Predictions Min,evaluation/path length Min,evaluation/Actions Std,evaluation/Actions Max,trainer/QF2 Loss,trainer/Policy log std Std,evaluation/Rewards Max,exploration/Rewards Mean,exploration/Returns Mean,time/logging (s),trainer/Q2 Predictions Min,exploration/Actions Max,time/total (s),time/epoch (s),trainer/Policy mu Std,evaluation/path length Max,trainer/Q Targets Min,trainer/QF1 Loss,exploration/num paths total,trainer/Policy log std Min,exploration/num steps total,exploration/Actions Std,exploration/Num Paths,exploration/Returns Std,evaluation/Rewards Min,time/training (s),exploration/path length Min,trainer/Log Pis Std,trainer/Q2 Predictions Max,evaluation/num paths total,evaluation/Returns Mean,evaluation/Average Returns,trainer/Policy log std Max,evaluation/Actions Min,trainer/Policy mu Mean,trainer/Policy log std Mean,Epoch,time/exploration sampling (s),exploration/path length Std,replay_buffer/size,evaluation/Actions Mean,exploration/Average Returns,time/data storing (s),time/saving (s),trainer/Log Pis Mean,trainer/Policy mu Min,trainer/Policy Loss,trainer/Log Pis Min,trainer/Policy mu Max,evaluation/num steps total,exploration/Returns Min,evaluation/Returns Min,trainer/Alpha,trainer/Q1 Predictions Mean,exploration/Returns Max,trainer/Log Pis Max,exploration/Rewards Min,trainer/Q Targets Mean,trainer/Alpha Loss,evaluation/Returns Std,evaluation/Rewards Std,exploration/path length Max,evaluation/Returns Max,evaluation/path length Mean,trainer/Q2 Predictions Std,trainer/Q Targets Std,exploration/Actions Mean,evaluation/Num Paths,exploration/Rewards Std,trainer/Q Targets Max,exploration/path length Mean,trainer/Q1 Predictions Std
-0.11029935273687756,-0.00010092203,0.2960202519898303,-0.99397707,-6.676182364840467,0.0011592361,0.0,-0.0037318221,100,0.001243198,0.0022749545,51.699333,0.0005880198,-0.5149291868481782,-6.083019303712967,-608.3019303712966,0.0048147130000870675,-0.003751697,0.9951348,2.622135582991177,2.4068006020097528,0.0012913295,100,-11.891624,51.682922,7,-0.0030444334,700,0.61955214,5,258.1855079244122,-12.138999345465267,1.955104193999432,100,0.28782463,0.0019144675,15,-667.6182364840466,-667.6182364840466,-8.4535684e-05,-0.0015406229,0.00011982103,-0.0011547746,0,0.14569644100265577,0.0,700,0.00010171674,-608.3019303712966,0.0027994380216114223,0.0023655639961361885,-1.3213753,-0.0016880466,-1.3199991,-1.8204265,0.002547546,1500,-1005.2324251994522,-1213.7434325276076,0.9997000694274902,-0.0009851629,-381.31465545266605,-0.5457096,-11.88922250042751,-6.551692,-0.0,299.7423042922198,2.997597138811336,100,-55.639443900557204,100.0,0.0011321352,2.9622025,3.0832292e-05,15,3.084624966313504,-1.0293194,100.0,0.0011919265
-0.106923808020189,-10.215855,0.35718391300179064,-0.9865888,-2.003422327862699,-4.7173944,0.0,-24.494856,100,0.190119,0.73190373,0.52765393,0.048628658,-0.17839767721402308,-1.9865063155822675,-198.6506315582267,0.004553417005809024,-24.601122,0.99421954,5.0749652280064765,2.44775860698428,0.36285952,100,-23.391409,0.585632,12,-0.3297052,1200,0.5872437,5,38.32192356204225,-11.001349055689031,1.932306709990371,100,0.6586371,-4.5179167,30,-200.34223278626985,-200.34223278626985,-0.14491458,-0.47076443,0.21522067,-0.19388957,1,0.14892728999257088,0.0,1200,0.16028559,-198.6506315582267,0.0027580139867495745,0.002029263006988913,-1.0344732,-0.54741573,8.810752,-3.7350178,0.9244164,3000,-256.0091255464984,-354.2467611457063,0.8631771802902222,-10.278526,-155.2007054440315,0.3943143,-8.235605388919488,-10.210982,-0.4456311762332916,63.107403376253075,1.352132986558523,100,-125.91584978077798,100.0,5.556942,5.6321206,0.11229846,15,1.1523359652749128,-2.4806955,100.0,5.501174
-0.02657072986560368,-16.28399,0.3333727619901765,-0.9918216,-0.6745927032608132,-7.1559777,0.0,-44.542435,100,0.16084887,0.9290532,0.64968175,0.092740275,-0.19900729420874727,-1.518707280890697,-151.87072808906973,0.004858022992266342,-44.383465,0.9984243,7.540874609025195,2.4617012219969183,0.66520256,100,-43.054935,0.63586175,17,-0.51597416,1700,0.58469176,5,23.541156142108427,-10.917106885408772,1.9694192890019622,100,1.0862815,-7.136617,45,-67.45927032608132,-67.45927032608132,-0.16464375,-0.78414917,0.2217258,-0.33014625,2,0.14924510501441546,0.0,1700,0.032178443,-151.87072808906973,0.0028087199898436666,0.0019973230082541704,-0.5191394,-1.2882415,14.351934,-3.8058205,1.5036032,4500,-176.95142707124305,-102.61470239347076,0.7529311776161194,-16.289892,-117.87364750472163,2.1977177,-11.109837796117173,-16.331928,-0.7142429351806641,21.326007666039107,1.2492152565990347,100,-35.27861704143969,100.0,10.511587,10.66392,0.054892015,15,1.475296708104207,-6.576096,100.0,10.497092
-0.07995987863687842,-16.882591,0.38400428599561565,-0.99464476,-0.24441621558742185,-8.63852,0.0,-54.607895,100,0.1502912,0.9255625,3.1571946,0.1014947,-0.01840976824776022,-1.1400112410890524,-114.0011241089052,0.0047775790153536946,-54.472725,0.99066335,10.191997351066675,2.646956023032544,0.6985071,100,-55.95742,3.1086962,22,-0.5737037,2200,0.5494567,5,30.28652783937409,-10.076130126217443,2.096569134009769,100,1.2765938,-8.53224,60,-24.441621558742188,-24.441621558742188,-0.2188494,-0.9088195,0.16344681,-0.4105113,3,0.1566645080165472,0.0,2200,0.018273234,-114.0011241089052,0.0029511319880839437,0.0019893840071745217,-0.6154058,-1.5854985,14.909203,-4.736964,1.61943,6000,-149.9722484950995,-68.30288604678996,0.6600123047828674,-16.865023,-81.41700753192829,2.3217018,-10.4385166181719,-16.669518,-1.0860044956207275,18.762881190514634,0.9596365627673621,100,-6.147379306267334,100.0,12.445191,12.772757,0.040195078,15,1.2553616900092879,-0.7922644,100.0,12.463516
-0.04397770757201871,-19.866264,0.3630075599940028,-0.98666096,-0.23292627790155246,-9.958685,0.0,-65.62428,100,0.14296706,0.9489668,2.5006208,0.10712656,-0.05940314213276331,-0.9640764724106677,-96.4076472410668,0.004801467002835125,-65.81068,0.9857499,12.865464350092225,2.6692550870066043,0.8172249,100,-67.38527,2.4659529,27,-0.66653764,2700,0.5375144,5,15.883297527287278,-8.809213538936385,2.148447101993952,100,1.282501,-9.915351,75,-23.292627790155247,-23.292627790155247,-0.2734119,-0.92935705,0.24008729,-0.46086028,4,0.14813409800990485,0.0,2700,0.018880092,-96.4076472410668,0.0028750869969371706,0.0019897730089724064,-0.25418517,-1.5637484,17.944506,-3.10485,1.8601427,7500,-120.15564062901466,-54.48053079359387,0.5776405334472656,-19.854479,-80.96841577553445,3.190292,-8.41529473120338,-20.153175,-1.2364996671676636,15.953849452713278,0.8391315398286996,100,-7.581882677110854,100.0,14.915864,15.259168,0.030223431,15,0.9670409330637121,-2.2971563,100.0,14.928207
-0.050541719800019584,-20.430672,0.3404004990006797,-0.97024953,-0.44939684249878215,-11.498168,0.0,-68.456314,100,0.18338844,0.96793514,0.53784543,0.11222559,-0.03613524911593625,-1.0273268012596586,-102.73268012596586,0.0045483379799406976,-68.59332,0.9913827,15.361048966064118,2.4913124649901874,0.8302465,100,-69.68144,0.5648814,32,-0.6638625,3200,0.5414232,5,11.851759214708139,-11.184753648651037,1.988984449999407,100,1.3828133,-11.494982,90,-44.939684249878205,-44.939684249878205,-0.2701367,-0.9332889,0.10262506,-0.4888917,5,0.15221902300254442,0.0,3200,0.023109106,-102.73268012596586,0.003166092006722465,0.0019940630008932203,-0.373516,-1.7959857,18.371868,-2.730085,2.0522294,9000,-118.40565846483166,-80.04046065386079,0.5036564469337463,-20.428602,-82.612273376411,4.0966077,-8.994383997013689,-20.50431,-1.6272516250610352,19.060447669544455,1.186362307819919,100,-19.155854546881557,100.0,15.029459,15.174848,0.04592099,15,1.1061965493073869,-11.10354,100.0,15.032696
-0.037753185610368695,-19.433468,0.33832489798078313,-0.96675855,-0.6711192829153574,-12.507112,0.0,-76.6917,100,0.23196104,0.9750409,9.453043,0.1098542,-0.06756410571923543,-0.7872626996637866,-78.72626996637865,0.004797411005711183,-76.78721,0.97586006,17.864126224041684,2.498728182981722,0.7851024,100,-78.43376,9.473451,37,-0.75051486,3700,0.5017132,5,7.4907761109339885,-10.440869995978025,1.9968039020022843,100,1.3862145,-12.518211,105,-67.11192829153576,-67.11192829153576,-0.3360903,-0.94972,0.13370202,-0.57000095,6,0.15287802298553288,0.0,3700,0.047922637,-78.72626996637865,0.003799764992436394,0.002124184014974162,-0.09099295,-1.5410564,17.786383,-3.638249,2.1577973,10500,-90.74400711040889,-479.30363493257425,0.43764835596084595,-19.45369,-71.36452057308281,3.2776284,-5.356926466655079,-19.372557,-1.7272909879684448,111.0319877701721,1.4245784042761664,100,-19.249406651747275,100.0,13.43811,13.455876,0.0057201767,15,0.5752018069209238,-7.1787167,100.0,13.448499
-0.04139819050510364,-18.022324,0.3350598480028566,-0.9926948,-0.2619777745746524,-13.597931,0.0,-66.30432,100,0.16345893,0.970983,6.1252613,0.08711266,-0.026727913244540442,-0.7681794171644372,-76.8179417164437,0.004066497000167146,-66.23696,0.995767,20.34248825305258,2.474121846986236,0.7209626,100,-69.93907,6.095604,42,-0.724226,4200,0.49228257,5,6.05308663206992,-9.87836168062194,1.9791457450191956,100,1.2829403,-13.556857,120,-26.19777745746524,-26.19777745746524,-0.3499353,-0.93913114,0.109037034,-0.60970783,7,0.15044399799080566,0.0,4200,0.026716309,-76.8179417164437,0.003264206985477358,0.002141551987733692,-0.33074838,-1.6803998,16.686264,-3.1714718,2.1370494,12000,-87.00102878935485,-61.825047807525515,0.3794091045856476,-18.006588,-70.18994847417223,3.7935927,-5.8254853477168576,-17.60444,-2.25817608833313,16.552685981057138,0.8933854022948453,100,-9.720092823064158,100.0,9.810687,10.205519,0.0009503484,15,0.6236585097332485,-0.47892258,100.0,9.825894
-0.03160999758132856,-18.264088,0.3457615730003454,-0.9594894,-0.45556695063993613,-14.36669,0.0,-82.84936,100,0.17561416,0.9836438,0.5432952,0.090703204,-0.16463719766309753,-0.8004169679045676,-80.04169679045674,0.00482015500892885,-83.024216,0.99674165,22.843618694023462,2.496875884011388,0.7173911,100,-80.08919,0.5337253,47,-0.78488374,4700,0.48708582,5,22.30779696855713,-10.078992349145201,1.9913193160027731,100,1.3321047,-14.372421,135,-45.55669506399362,-45.55669506399362,-0.4147948,-0.9472845,0.15662669,-0.67076033,8,0.1498175589949824,0.0,4700,0.02674412,-80.04169679045674,0.0031413469987455755,0.0020159340056125075,-0.2702758,-1.7737808,16.923689,-4.5313196,2.4547913,13500,-111.02859445847004,-74.61372644451517,0.3288668394088745,-18.261442,-53.414358669524056,3.8481765,-9.75216024748981,-18.37293,-2.524160385131836,15.262974374932972,0.9508842828751496,100,-28.202243306463185,100.0,10.518863,10.282813,0.029477641,15,1.0754800675927656,-14.070531,100.0,10.494497
-0.027370587226290776,-20.06415,0.3401494130084757,-0.96742123,-0.40981049028546096,-15.164575,0.0,-71.94852,100,0.19341432,0.9819749,0.22779585,0.09617752,-0.014576115670702435,-0.6746157504497259,-67.46157504497259,0.004324648005422205,-71.94127,0.9879447,25.30830733597395,2.4603775249852333,0.7608596,100,-72.05458,0.23045014,52,-0.85764724,5200,0.47319826,5,12.521059345753965,-10.628855113600265,1.963615080981981,100,1.4047629,-15.111911,150,-40.981049028546096,-40.981049028546096,-0.39637363,-0.96042025,0.11761359,-0.7385396,9,0.14708515600068495,0.0,5200,0.03403992,-67.46157504497259,0.0030945400067139417,0.002108686981955543,-0.1082515,-1.7167367,19.07078,-2.258411,2.3714633,15000,-89.36277192394783,-71.33991433729999,0.28543752431869507,-20.078716,-56.96906641243908,4.305426,-9.337874169394304,-20.218742,-2.6425936222076416,18.75704311499085,1.159693971857823,100,-17.76744661686424,100.0,12.179606,12.167793,0.014802427,15,0.861519385691929,-14.955609,100.0,12.204667
