trainer/Q2 Predictions Min,trainer/Q1 Predictions Std,evaluation/Actions Min,trainer/Q2 Predictions Std,time/training (s),trainer/Policy log std Min,evaluation/Num Paths,evaluation/Rewards Std,evaluation/path length Max,exploration/Actions Mean,trainer/Q1 Predictions Mean,exploration/Returns Min,trainer/Log Pis Min,evaluation/path length Std,evaluation/Average Returns,trainer/Q2 Predictions Mean,evaluation/num paths total,trainer/Policy log std Std,exploration/path length Max,evaluation/num steps total,evaluation/Returns Max,exploration/Average Returns,evaluation/Returns Mean,exploration/path length Min,exploration/Num Paths,exploration/Returns Std,trainer/Alpha,evaluation/Rewards Max,exploration/Rewards Std,time/epoch (s),exploration/Actions Std,exploration/num paths total,evaluation/Rewards Mean,time/exploration sampling (s),time/logging (s),evaluation/Actions Std,exploration/Actions Min,trainer/Q2 Predictions Max,exploration/path length Mean,evaluation/Returns Min,trainer/Policy mu Mean,evaluation/Actions Mean,trainer/Log Pis Std,time/total (s),exploration/Returns Mean,trainer/Policy Loss,trainer/Policy log std Max,evaluation/path length Mean,Epoch,time/evaluation sampling (s),exploration/Rewards Max,exploration/num steps total,trainer/Policy log std Mean,time/saving (s),trainer/Q Targets Min,trainer/QF1 Loss,exploration/Actions Max,trainer/Policy mu Min,evaluation/Actions Max,trainer/Q1 Predictions Max,trainer/QF2 Loss,trainer/Log Pis Mean,trainer/Q Targets Mean,trainer/Policy mu Std,time/data storing (s),evaluation/path length Min,trainer/Policy mu Max,evaluation/Returns Std,evaluation/Rewards Min,exploration/Rewards Min,trainer/Q Targets Std,trainer/Log Pis Max,exploration/path length Std,trainer/Alpha Loss,trainer/Q Targets Max,replay_buffer/size,exploration/Returns Max,exploration/Rewards Mean,trainer/Q1 Predictions Min
-126.10223,30.31857,-0.95569426,30.316206,2.1743518600123934,-1.161714,15,1.3490590252462722,100,-0.01772425,-62.722363,-442.0051851800305,-4.376397,0.0,-296.98524369447495,-62.693153,165,0.14531367,100,16500,-158.73588374892677,-223.96617229729,-296.98524369447495,100,5,109.35193120722622,0.2579767405986786,-1.4353645211002546,1.3892199208532348,2.7035522499936633,0.40657133,57,-2.9698524369447497,0.1591478280024603,0.005174481018912047,0.16171674,-0.9848547,-25.221012,100.0,-444.75731038503824,-0.21521573,-0.0086191995,1.2914408,29.69501458707964,-223.96617229729,61.621716,-0.47787827,100.0,10,0.3591699449752923,-0.33849108683057855,5700,-0.8670145,0.002427864004857838,-130.4674,2.4961636,0.9410507,-2.1525054,0.9654328,-25.470745,2.5207937,0.0932282,-63.999577,0.7834936,0.00328027197974734,100,2.0682492,118.78939656387928,-9.354223526663985,-7.704466034785008,30.844507,4.1368284,0.0,-2.58296275138855,-26.045763,5700,-157.1004076225781,-2.2396617229729,-125.79496
-138.15086,34.231533,-0.98181444,34.165924,2.149368509009946,-1.2522433,15,2.0185925982314554,100,-0.03065668,-68.01703,-529.0938739995854,-6.8579273,0.0,-284.41269660714863,-68.053795,180,0.17273252,100,18000,-82.67007124269954,-290.68731412813526,-284.41269660714863,100,5,164.24062947178206,0.22678720951080322,-0.37626335386019516,1.9127484987550387,2.6820488910598215,0.4098694,62,-2.844126966071486,0.16069874999811873,0.0049941400066018105,0.152546,-0.99380064,-27.067032,100.0,-525.9718587868895,-0.1786565,-0.0014712677,1.4191543,32.38142867514398,-290.68731412813526,67.30116,-0.47302616,100.0,11,0.36184162300196476,-0.20017577417413213,6200,-0.9134107,0.0020727820228785276,-140.67613,90.69476,0.9695895,-2.4918265,0.98246366,-27.38369,91.45138,0.21832523,-66.978355,0.81741583,0.0030730870203115046,100,2.3511312,191.07446764296057,-10.275617775200278,-10.027113638847254,36.210777,4.6646557,0.0,-2.6430795192718506,-1.5123346,6200,-94.13107186414712,-2.9068731412813524,-137.93881
-132.46928,33.041374,-0.97649765,33.097324,2.160215612995671,-1.5050082,15,1.1295346399931117,100,-0.0005114689,-70.636566,-471.16318381556187,-3.5701747,0.0,-269.30676786275166,-70.64449,195,0.19907574,100,19500,-151.0478237793838,-294.12606182269553,-269.30676786275166,100,5,132.30535002263875,0.19973716139793396,-1.3581723708430293,1.6228229715560971,2.694420704996446,0.380799,67,-2.693067678627517,0.1612409150111489,0.005006930994568393,0.14101619,-0.98555416,-28.952812,100.0,-451.5117973513811,-0.17450693,-0.008715305,1.4795828,35.079923857119866,-294.12606182269553,69.60763,-0.59630805,100.0,12,0.36286050800117664,-0.4138034305487479,6700,-0.995721,0.0018511319940444082,-136.15935,191.3127,0.9977388,-2.1218297,0.9799917,-29.00011,191.72311,0.33946812,-69.19614,0.86409265,0.003245605999836698,100,2.4764538,96.5057319215268,-10.03955998314052,-9.637580296210439,35.378498,4.606495,0.0,-2.6742775440216064,-3.3729029,6700,-152.96001948606866,-2.9412606182269547,-132.09132
-148.38834,32.544685,-0.96490175,32.52721,2.229704502009554,-1.6058856,15,1.3626870066070815,100,-0.0060565327,-70.50158,-351.50617180015695,-3.9000936,0.0,-238.0175645853838,-70.47763,210,0.24025829,100,21000,-138.24084598262266,-234.01519420296557,-238.0175645853838,100,5,68.17014987098938,0.1763218194246292,-0.9345245873668141,0.9744865336369717,2.841233318002196,0.3583835,72,-2.380175645853838,0.18910101597430184,0.005253561015706509,0.13496342,-0.98557514,-30.128077,100.0,-513.3696270223904,-0.226657,-0.0039063278,1.774076,37.92596249713097,-234.01519420296557,69.907005,-0.5276889,100.0,13,0.4120485960156657,-0.8180704149147995,7200,-1.0915387,0.002064673986751586,-148.71413,26.747217,0.9859504,-2.2600465,0.98315525,-30.440996,27.424511,0.80673736,-70.06177,0.91859114,0.0030609690002165735,100,2.3547132,127.57830766360169,-8.58072045817053,-8.864339143622368,33.19312,5.804027,0.0,-2.070554256439209,-6.242088,7200,-140.80835193727378,-2.3401519420296553,-148.49226
-148.02286,34.242493,-0.98342925,34.248188,2.1399543329898734,-1.6887867,15,1.3264900422375852,100,-0.027217356,-75.28869,-504.79393539587215,-2.5593917,0.0,-248.74538585694356,-75.25063,225,0.24132183,100,22500,-125.72624447406518,-256.44060007668133,-248.74538585694356,100,5,147.76809289895198,0.1560046374797821,-0.47850015771131643,1.5914565885250627,2.6804502600280102,0.32273978,77,-2.487453858569437,0.16339712400804274,0.0051624340121634305,0.15958105,-0.9876252,-32.089027,100.0,-514.4000724683732,-0.35434547,-0.005611932,1.4723601,40.61095800212934,-256.44060007668133,74.674286,-0.4305274,100.0,14,0.36649170401506126,-0.630429278737466,7700,-1.1150719,0.0021508189965970814,-151.30223,298.44897,0.7629758,-2.4520528,0.9906161,-32.204098,298.16,0.6459444,-73.140335,0.8184743,0.0032938460062723607,100,2.131564,113.38556291271416,-9.628241770263843,-7.72006211124337,36.292953,4.2201195,0.0,-2.5153236389160156,-4.5131984,7700,-133.83410213007573,-2.564406000766813,-147.96828
-153.14688,37.666565,-0.9833569,37.635124,2.1881582270143554,-1.7362819,15,1.546645166259884,100,0.0076790224,-78.55159,-521.0471376582516,-1.9024107,0.0,-229.37482711860585,-78.60184,240,0.2881667,100,24000,-150.80240369602362,-270.2132550468169,-229.37482711860585,100,5,156.3495931982299,0.13778458535671234,-0.9641877492705434,1.7075301108995626,2.730375694023678,0.33381727,82,-2.293748271186059,0.17043166101211682,0.004759294010000303,0.17778526,-0.99065506,-33.60197,100.0,-533.9954676982503,-0.22666426,-0.0027888785,1.307465,43.34602818317944,-270.2132550468169,78.34902,-0.42730373,100.0,15,0.36188214499270543,-0.647400745417208,8200,-1.186653,0.0019395769922994077,-155.84354,2.5068274,0.9945998,-2.4441679,0.99348176,-33.473503,2.4265597,0.8634726,-79.66904,0.86980265,0.0032047900022007525,100,2.7947023,129.69400016787375,-10.991314359596497,-8.495397816506284,38.34657,5.7331524,0.0,-2.252401828765869,-33.54199,8200,-117.99611222609283,-2.702132550468169,-153.26836
-160.14404,36.389866,-0.990635,36.43007,2.1500318390026223,-1.876177,15,1.7442781089585708,100,0.024583338,-83.56028,-567.4600366420414,-4.7450695,0.0,-347.20178812278016,-83.50888,255,0.29606462,100,25500,-141.02714151132506,-476.4787671718241,-347.20178812278016,100,5,146.20352032279416,0.12199557572603226,-0.8589469706130869,1.5584813991570168,2.706006526015699,0.31495902,87,-3.4720178812278015,0.17449956299969926,0.005195898993406445,0.15964355,-0.92703694,-35.6467,100.0,-552.9474053585077,-0.23248677,-0.0003084445,1.6766369,46.056438454193994,-476.4787671718241,83.16232,-0.394933,100.0,16,0.37103951402241364,-1.170928541493379,8700,-1.2753689,0.0021273659949656576,-162.57756,139.0348,0.9908292,-2.4728956,0.9897076,-35.6089,139.23029,0.8081175,-83.025314,0.87565327,0.00311234500259161,100,2.3706224,163.6217866957621,-9.361212094416022,-11.180393731618683,38.233356,4.565029,0.0,-2.507152795791626,-3.7807665,8700,-184.78333100663176,-4.764787671718241,-160.43652
-159.48375,40.34167,-0.99062574,40.34749,2.182053327007452,-1.9325329,15,1.967820641470433,100,-0.046117947,-84.02536,-615.2259820060933,-1.9933921,0.0,-360.0030999036837,-84.03369,270,0.32796392,100,27000,-107.56243219586914,-236.17115249539393,-360.0030999036837,100,5,190.2097066232231,0.10854555666446686,-1.00565909327964,2.17381693187246,2.715608783008065,0.3202577,92,-3.600030999036838,0.16307495700311847,0.004649848997360095,0.15965152,-0.9962803,-36.244556,100.0,-642.5126027835224,-0.33028728,-0.010133305,1.4470059,48.777061330212746,-236.17115249539393,84.32951,-0.58227396,100.0,17,0.36047505799797364,-0.4523628338272654,9200,-1.2947154,0.0022013220004737377,-161.20525,1.2415181,0.8439843,-2.7567513,0.99410886,-36.386654,1.2911987,1.3254727,-84.821144,0.89677674,0.0031542700016871095,100,2.736147,187.37253398503555,-9.870792265146594,-9.719971036380802,40.36923,7.1373734,0.0,-1.4976824522018433,-36.91357,9200,-126.61726689145752,-2.361711524953939,-159.66911
-149.7583,41.222485,-0.99489015,41.209538,2.191879486985272,-1.9713415,15,1.9613902047815452,100,-0.008115623,-85.66911,-649.6239888835375,-1.5479479,0.0,-296.72689388053885,-85.73212,285,0.30968383,100,28500,-116.5946729645511,-239.5967197509227,-296.72689388053885,100,5,205.128373561457,0.09606064110994339,-1.0930112683067068,2.1508307665888178,2.7487533929524943,0.31698477,97,-2.9672689388053883,0.17809161698096432,0.005001297016860917,0.1734278,-0.98563826,-38.253105,100.0,-666.037176516681,-0.10950672,-0.021071149,1.571769,51.53051515016705,-239.5967197509227,85.78072,-0.4352255,100.0,18,0.3681916859932244,-0.3998006412875838,9700,-1.2659471,0.0020770839764736593,-151.64865,248.92094,0.99398947,-2.8036437,0.9854966,-37.9153,246.79756,0.98213035,-84.162834,0.92707217,0.00351222199969925,100,2.8675048,178.97891966214294,-9.716994094042096,-7.121021512914563,42.901546,6.1163077,0.0,-2.3843798637390137,-4.4624677,9700,-126.67693964417664,-2.3959671975092274,-149.1042
-166.47624,42.573505,-0.99364805,42.520664,2.2006392699840944,-2.126274,15,2.5167379678189774,100,-0.012496115,-88.5504,-757.6255714268003,-2.7288725,0.0,-306.70233580439464,-88.57618,300,0.37023875,100,30000,-104.2285261468678,-431.04441709387993,-306.70233580439464,100,5,274.55749720060675,0.08516694605350494,-0.26322172150511775,2.85700050562949,2.736559925979236,0.27372068,102,-3.0670233580439468,0.16416369398939423,0.004779775015776977,0.16798154,-0.9989487,-40.601185,100.0,-752.1737043718513,-0.28524005,-0.0056727002,1.5709895,54.27154764212901,-431.04441709387993,88.85728,-0.5127805,100.0,19,0.36146482499316335,-0.5303956270441594,10200,-1.325532,0.0020266069914214313,-169.56906,166.70445,0.97633946,-2.5579607,0.9921582,-40.704693,164.71336,1.3437648,-87.91754,0.99807864,0.0034857550053857267,100,2.8458889,241.18492534018597,-9.050856917195263,-8.619671522614459,43.39618,7.314759,0.0,-1.6162720918655396,-5.7990484,10200,-130.916369017228,-4.3104441709388,-167.20918
