trainer/Log Pis Std,trainer/Alpha,exploration/Rewards Std,trainer/Q1 Predictions Max,exploration/Returns Max,evaluation/Returns Std,exploration/num paths total,evaluation/path length Mean,exploration/Returns Min,trainer/Policy mu Mean,trainer/Q2 Predictions Std,evaluation/Actions Max,trainer/Alpha Loss,time/data storing (s),evaluation/Returns Mean,trainer/Q2 Predictions Mean,trainer/Q Targets Std,exploration/path length Min,evaluation/Returns Min,trainer/Log Pis Min,evaluation/Returns Max,evaluation/Actions Std,trainer/Log Pis Mean,trainer/Policy log std Min,time/epoch (s),trainer/Policy log std Max,trainer/Policy log std Mean,exploration/Returns Std,trainer/Q Targets Max,evaluation/Num Paths,evaluation/Rewards Min,exploration/path length Max,evaluation/Rewards Mean,time/total (s),evaluation/Average Returns,trainer/QF1 Loss,Epoch,trainer/Q2 Predictions Min,evaluation/num paths total,trainer/Policy mu Max,exploration/Num Paths,evaluation/path length Min,evaluation/Actions Mean,exploration/path length Mean,trainer/Q1 Predictions Min,exploration/num steps total,exploration/Actions Mean,time/logging (s),trainer/Policy Loss,exploration/Average Returns,exploration/Rewards Min,trainer/Q1 Predictions Std,exploration/Actions Max,evaluation/path length Max,time/saving (s),trainer/Policy mu Std,trainer/QF2 Loss,exploration/path length Std,trainer/Q Targets Min,time/evaluation sampling (s),exploration/Rewards Mean,evaluation/num steps total,trainer/Log Pis Max,trainer/Policy log std Std,trainer/Q Targets Mean,exploration/Rewards Max,exploration/Returns Mean,evaluation/Rewards Std,evaluation/Rewards Max,trainer/Policy mu Min,exploration/Actions Std,evaluation/path length Std,evaluation/Actions Min,exploration/Actions Min,replay_buffer/size,time/exploration sampling (s),trainer/Q2 Predictions Max,trainer/Q1 Predictions Mean,time/training (s)
1.362396,0.2612481713294983,1.1201582766320974,-24.641438,-59.89896961458021,90.10061280158355,57,100.0,-283.2543852522374,0.110507146,26.13681,0.98379403,-2.277818202972412,0.0029933399928268045,-235.48907949024206,-55.950226,26.187916,100,-399.7387320244192,-3.5998821,-78.04673174888768,0.15826045,0.30269778,-1.298321,2.675166916946182,-0.53783256,-0.9884147,91.6967112737854,-24.216822,15,-11.164907880121493,100,-2.3548907949024205,28.93751570591121,-235.48907949024206,1.2096994,10,-104.18842,165,2.3547723,5,100,-0.010762706,100.0,-103.85942,5700,-0.00227841,0.005042631994001567,55.143898,-145.2830731444254,-6.4570501157510725,26.070011,0.9666754,100,0.0020186019828543067,0.7511059,1.1264164,0.0,-104.83258,0.35552073101280257,-1.452830731444254,16500,4.966112,0.22167335,-55.975903,-0.03815365270437217,-145.2830731444254,1.151238620766889,-0.4014013403420502,-2.413438,0.36730906,0.0,-0.9659879,-0.98200595,5700,0.15796757498173974,-24.646955,-55.90871,2.151624036981957
1.0805072,0.2287197709083557,1.1032903713360613,-24.20821,-64.50872063952374,150.83346258837776,62,100.0,-292.71019339874687,0.014523161,25.994446,0.9767862,-2.439724922180176,0.0030450090125668794,-298.95269342602535,-58.402256,26.484709,100,-568.8476692737794,-3.6539514,-41.6008846304017,0.15769006,0.345943,-1.4074898,3.129179982992355,-0.459008,-1.0618129,78.75549001563549,-24.266687,15,-9.896877338658664,100,-2.989526934260253,32.07139215193456,-298.95269342602535,1.9253204,11,-110.54505,180,2.378551,5,100,-0.015717207,100.0,-110.32376,6200,-0.017339317,0.006335434998618439,57.808575,-212.18674574780488,-10.684095080681736,25.947788,0.9817623,100,0.0027347290015313774,0.73099244,1.7263072,0.0,-112.610695,0.34688284498406574,-2.1218674574780487,18000,4.275328,0.23914574,-59.417145,-0.05382076954624413,-212.18674574780488,1.6905047382177993,-0.3833471116520812,-2.1052911,0.34007457,0.0,-0.9843082,-0.9792245,6200,0.15411874698475003,-24.276508,-58.354027,2.6160632180108223
1.7577112,0.20092737674713135,1.2276239722320574,-24.709835,-48.69788391067514,190.1868978296063,67,100.0,-304.9154992931338,0.12473443,29.683802,0.98507804,-2.2656075954437256,0.003852966008707881,-282.7359295164461,-66.5678,30.241634,100,-584.0782568580373,-4.1791215,-36.65686314113077,0.17140509,0.5880192,-1.6190329,3.6797456229978707,-0.4750015,-1.1252146,114.86754652634696,-2.0275376,15,-9.886049251967588,100,-2.8273592951644604,35.7565996289195,-282.7359295164461,6.8664627,12,-135.30942,195,2.5528643,5,100,0.0093349395,100.0,-135.69673,6700,-0.0033595925,0.005411848018411547,65.53743,-196.40228240027548,-5.8394609764494545,29.64691,0.87238085,100,0.0021940529986750335,0.92021793,6.892696,0.0,-135.54771,0.4040782199881505,-1.964022824002755,19500,5.6281033,0.28666565,-66.5248,-0.014948127737697943,-196.40228240027548,2.0422231331931084,-0.2885449020246754,-2.4811563,0.31934592,0.0,-0.95111793,-0.9810387,6700,0.17248512199148536,-24.807304,-66.53543,3.0917234139924403
1.2511084,0.17704766988754272,1.9632215758860416,-24.66136,-71.86315945928634,195.25900698938392,72,100.0,-602.4333187628389,0.007940532,31.304188,0.9847715,-2.3261289596557617,0.003940573980798945,-335.90185609328967,-62.793667,32.280773,100,-604.1754000645421,-3.522695,-54.152735409658,0.16461278,0.65625787,-1.719188,2.985520149959484,-0.5601154,-1.215762,180.71209237978837,-2.283253,15,-10.208516406142849,100,-3.359018560932897,38.746984250843525,-335.90185609328967,51.326344,13,-127.53389,210,2.575152,5,100,0.015871001,100.0,-126.617355,7200,0.0239662,0.004810742975678295,62.10519,-269.79542992491463,-9.74403077632708,31.22546,0.99861205,100,0.002179163013352081,0.7852094,51.17685,0.0,-129.0602,0.46725267099100165,-2.697954299249147,21000,3.8253698,0.29226834,-62.500553,-0.11475036032412442,-269.79542992491463,2.061420754683369,-0.46011135993245433,-2.4345434,0.3240034,0.0,-0.98021835,-0.8549593,7200,0.1968371419934556,-24.754772,-62.770576,2.3104998570051976
1.4490238,0.1556752622127533,1.3550236271170217,-24.804886,-46.38788120846395,102.89586330204249,77,100.0,-336.0334890358732,-0.090302184,32.991943,0.9814726,-2.597961187362671,0.0030544849869329482,-224.60438592534487,-72.310905,33.359776,100,-310.6427142051105,-4.6401,-17.544080786953156,0.16550158,0.6030379,-1.793492,2.636323423968861,-0.48552895,-1.2215637,109.8926584407027,-6.5496025,15,-9.699776288488373,100,-2.246043859253449,41.389077817759244,-224.60438592534487,143.65437,14,-129.7442,225,2.4735715,5,100,-0.0022176025,100.0,-129.5912,7700,-0.025021426,0.005119045003084466,71.63591,-231.89432816088976,-10.499894067236607,32.972176,0.9455608,100,0.0020678169967141002,0.80616474,144.30746,0.0,-131.03084,0.3654682699998375,-2.3189432816088975,22500,4.752754,0.34115434,-71.16785,-0.038672478008145286,-231.89432816088976,1.2178283873736235,-0.11556176281037679,-2.2914157,0.35047585,0.0,-0.97833747,-0.98705494,7700,0.1596130149846431,-24.887693,-72.271484,2.1010007919976488
1.540202,0.13692936301231384,1.7337514994388354,-23.649227,-201.94525264396034,142.21960959565692,82,100.0,-550.4964350660517,-0.09626617,38.617264,0.97760206,-2.290220260620117,0.00407822901615873,-234.10027701286296,-79.31744,39.78797,100,-544.5212587506145,-4.439329,-43.54140968771019,0.17134523,0.84800446,-1.8772677,2.9138186600175686,-0.60307896,-1.2671747,143.19521598595423,-0.55162376,15,-10.497090632286357,100,-2.34100277012863,44.30723691676394,-234.10027701286296,169.03864,15,-137.18628,240,2.3527167,5,100,-0.0071288785,100.0,-135.86426,8200,0.007835298,0.004850333003560081,78.77337,-368.85296148248284,-11.049342812076306,38.588833,0.9877459,100,0.001951935002580285,0.8476947,167.75035,0.0,-140.24066,0.35106645899941213,-3.688529614824829,24000,5.397559,0.332678,-78.73456,-1.1397549735969794,-368.85296148248284,1.633365736076497,-0.25801264118204587,-2.6677177,0.35905257,0.0,-0.9902604,-0.9793609,8200,0.20227648300351575,-23.895775,-79.29539,2.3495952209923416
1.5290371,0.1206865906715393,1.1159598947123255,-24.44936,-121.92670954227292,131.2306631635834,87,100.0,-313.4232720286671,0.08215836,37.09106,0.9927939,-1.9620568752288818,0.0029264460026752204,-241.3332425310941,-79.62776,38.738968,100,-524.8734742778385,-3.256262,-49.74527688548176,0.17930453,1.0720088,-2.0699778,2.6492388879996724,-0.40929657,-1.3446506,70.22527817352955,-5.1401277,15,-10.871347406718106,100,-2.4133324253109407,46.960868885711534,-241.3332425310941,46.279346,16,-142.79057,255,2.658792,5,100,0.012984021,100.0,-143.37032,8700,0.002290505,0.005711352976504713,79.03035,-185.60994563869883,-9.684893915321181,37.10696,0.99283826,100,0.002415758994175121,0.84697986,46.589928,0.0,-144.77661,0.35739716701209545,-1.8560994563869886,25500,5.328106,0.40061566,-80.240974,-0.47791489159012557,-185.60994563869883,1.5388100688666926,-0.3904185484471834,-2.7961326,0.304395,0.0,-0.9840229,-0.99135584,8700,0.1562083050084766,-24.667587,-79.649635,2.1245798580057453
1.219885,0.10722089558839798,1.3545043814749922,-23.762768,-72.2811800469686,106.8317744746923,92,100.0,-184.33843227242343,-0.0036320924,33.94559,0.9917279,-2.0515129566192627,0.002932800998678431,-180.24640810698511,-73.247345,35.534702,100,-367.8297554149517,-2.6635356,-29.413675370187484,0.16123676,1.0811317,-2.1272542,2.6620049179473426,-0.52191395,-1.4850348,40.368763369289965,-2.5121498,15,-10.607153939113,100,-1.8024640810698513,49.62816224471317,-180.24640810698511,82.27486,17,-144.7361,270,2.8674648,5,100,0.0014063254,100.0,-144.40424,9200,0.021086112,0.004808611993212253,73.4775,-133.22353721058172,-10.610842266938132,34.008755,0.9946008,100,0.0019285269954707474,0.8036927,82.31051,0.0,-146.90616,0.3601612429774832,-1.332235372105817,27000,5.6311374,0.35725325,-72.50374,-0.01589680381617769,-133.22353721058172,1.3096847496004531,-0.1672465909266552,-2.6892447,0.29609922,0.0,-0.9871693,-0.99905896,9200,0.1507934439869132,-23.803812,-73.23206,2.141380290995585
1.3256137,0.09670228511095047,0.8469488199926128,-24.375202,-72.65241752042124,86.57078271004522,97,100.0,-159.686096660506,0.06284569,34.858894,0.99206585,-2.2328803539276123,0.004170653002802283,-145.8703914041577,-70.098625,35.131905,100,-289.545437789052,-3.876731,-36.3742134531272,0.17284812,1.0441049,-2.1867049,2.625786884018453,-0.42678565,-1.6051973,35.22982138512254,-23.859232,15,-10.640071685734314,100,-1.458703914041577,52.25826968374895,-145.8703914041577,0.7797263,18,-149.48111,285,2.267232,5,100,-0.0074394904,100.0,-149.58363,9700,-0.016020125,0.0051604910113383085,70.372215,-122.790817133946,-7.9128355392379195,34.85026,0.9785118,100,0.0022880230098962784,0.636209,0.7336805,0.0,-149.83615,0.3368181330151856,-1.2279081713394602,28500,5.532629,0.37361297,-70.05967,-0.0881739490330834,-122.790817133946,1.2266500929921265,-0.05200704141765624,-2.4997554,0.27454656,0.0,-0.9920199,-0.99809194,9700,0.22273489998769946,-24.374723,-70.14766,2.054614683991531
1.2488067,0.08834892511367798,0.9421019491567688,-23.619764,-42.446741918520125,93.87897666268623,102,100.0,-295.3847421367009,-0.024710169,41.746372,0.9844718,-1.0549529790878296,0.0031983669905457646,-169.8404580762181,-81.956955,42.870926,100,-313.78889928137517,-1.3823138,-34.458704464399005,0.15810813,1.5652022,-2.3496385,2.4442837659735233,-0.2876606,-1.5389998,84.68626567979967,-10.531036,15,-9.46923609976449,100,-1.6984045807621813,54.70679906566511,-169.8404580762181,112.12391,19,-165.92816,300,2.574438,5,100,-0.008712914,100.0,-165.80742,10200,0.004621602,0.004797976987902075,82.21393,-202.6387876475374,-5.987189782301378,41.71338,0.9664051,100,0.0020440230146050453,0.9182115,113.60785,0.0,-169.77592,0.34549533799872734,-2.0263878764753747,30000,6.07013,0.49969703,-81.62769,-0.05704067421752437,-202.6387876475374,1.1485463011835066,-0.20603492623701467,-2.8459737,0.26867515,0.0,-0.99430984,-0.9847916,10200,0.15355686499970034,-23.551426,-81.92257,1.9351911959820427
