exploration/Actions Max,trainer/Q2 Predictions Mean,trainer/Q Targets Mean,trainer/Log Pis Std,evaluation/Actions Std,exploration/Returns Min,trainer/Policy log std Std,time/data storing (s),evaluation/Average Returns,trainer/Q1 Predictions Mean,trainer/QF1 Loss,trainer/Q1 Predictions Std,evaluation/num steps total,exploration/num paths total,evaluation/path length Min,Epoch,trainer/Q2 Predictions Max,evaluation/num paths total,trainer/Q Targets Std,trainer/Alpha Loss,exploration/num steps total,trainer/QF2 Loss,evaluation/path length Std,trainer/Log Pis Min,trainer/Q1 Predictions Max,trainer/Policy log std Mean,trainer/Q1 Predictions Min,trainer/Q2 Predictions Min,evaluation/path length Mean,trainer/Policy mu Min,exploration/path length Min,evaluation/Rewards Max,evaluation/Returns Std,exploration/Actions Mean,trainer/Log Pis Mean,exploration/Returns Std,time/saving (s),exploration/path length Max,trainer/Policy log std Min,exploration/Rewards Std,evaluation/Num Paths,exploration/Actions Min,evaluation/path length Max,time/exploration sampling (s),exploration/Rewards Min,exploration/Average Returns,time/epoch (s),evaluation/Actions Min,trainer/Q Targets Max,trainer/Policy mu Std,exploration/path length Mean,evaluation/Rewards Std,exploration/Returns Mean,time/training (s),exploration/Rewards Mean,evaluation/Returns Max,trainer/Log Pis Max,evaluation/Returns Mean,trainer/Q Targets Min,exploration/Num Paths,trainer/Policy Loss,evaluation/Returns Min,evaluation/Actions Max,exploration/Rewards Max,exploration/Returns Max,evaluation/Rewards Min,trainer/Policy mu Mean,time/evaluation sampling (s),trainer/Q2 Predictions Std,exploration/Actions Std,evaluation/Rewards Mean,exploration/path length Std,replay_buffer/size,time/logging (s),evaluation/Actions Mean,trainer/Alpha,trainer/Policy mu Max,trainer/Policy log std Max,time/total (s)
0.99778295,-0.0023657228,-6.916394,0.2860396,0.0005188354,-926.4583245885774,0.0011124612,0.003153099001792725,-550.1402265090672,0.0010771401,56.664345,0.0011391151,1500,7,100,0,0.00035608606,15,2.9695177,-0.0,700,56.628895,0.0,-1.9571235,0.00379972,0.0007951705,-0.0005499318,-0.0048635104,100.0,-5.959955e-05,100,-3.3234052988097735,197.57246913902353,-0.0028257603,-1.3671414,230.0465411792022,0.0024179859974537976,100,-0.00088851945,3.0097840720773656,15,-0.9985784,100,0.15856271999655291,-12.17170531932403,-683.4081403410034,2.647702025991748,4.432953e-05,-0.29452837,0.00054108666,100.0,1.9759314452329824,-683.4081403410034,2.155393514993193,-6.834081403410035,-338.3707900392101,-0.54718137,-550.1402265090672,-11.421923,5,-1.3648276,-965.9228207106015,0.001792933,-0.13077382688760178,-329.945356862281,-9.691910591211014,0.00086599943,0.323227188004239,0.0015680968,0.62303525,-5.501402265090673,0.0,700,0.00494751799851656,0.00072687777,0.9997000694274902,0.002124825,0.0027058204,2.86751406599069
0.9822638,-10.575113,-10.919744,0.69259745,0.22054285,-380.3789573226064,0.050803248,0.0031380469954456203,-185.87469071003142,-10.663617,0.77364576,5.6494823,3000,12,100,1,-4.1313124,30,5.746461,-0.45500704646110535,1200,0.85455376,0.0,-3.3771553,-3.942086,-0.21043347,-22.357409,-22.425663,100.0,-0.9681663,100,-0.11946369735352545,33.26597435265062,-0.117692225,-1.1038063,74.58427477621274,0.0022927190002519637,100,-0.36163524,1.4970383469734112,15,-0.9964721,100,0.16628501399827655,-9.700198644162821,-254.21695956498343,2.74081742400449,-0.689371,-3.2005863,0.38251817,100.0,0.8788292516140158,-254.21695956498343,2.1743176840027445,-2.5421695956498342,-140.75321211577054,0.2531706,-185.87469071003142,-22.841352,5,9.129695,-262.2380310613869,0.4576903,-0.07414231692715813,-160.50609081673892,-9.04151312041139,-0.21508123,0.39073031300358707,5.706862,0.58541435,-1.8587469071003138,0.0,1200,0.004053647004184313,-0.09924054,0.8634023666381836,0.6506087,-0.13661847,5.613458677988092
0.9819302,-15.624234,-15.687458,0.9985782,0.14186808,-169.5030939124047,0.084805705,0.0031183969986159354,-41.931520276561585,-15.616167,0.55535877,9.865584,4500,17,100,2,-6.89077,45,10.054464,-0.8221514821052551,1700,0.58221,0.0,-4.1913877,-6.9034443,-0.3112085,-47.48396,-47.275024,100.0,-1.3756465,100,-0.014856372874692964,22.05071764346748,-0.04857829,-0.90516984,11.565078889096986,0.011232331999053713,100,-0.54809916,1.5676614880220978,15,-0.9950058,100,0.16248744299809914,-10.097375249969886,-154.34855251676632,2.7351589310055715,-0.88042676,-6.3497114,0.6305942,100.0,1.1068174414482106,-154.34855251676632,2.1925215820010635,-1.5434855251676627,-16.276845068689923,1.740104,-41.931520276561585,-46.016613,5,13.904934,-83.22788457662655,0.8141287,-0.07516444067253568,-134.90253315659692,-10.219254990107784,-0.1291976,0.3604805130016757,9.852306,0.57279414,-0.41931520276561574,0.0,1700,0.005318664007063489,-0.025963565,0.7533262968063354,1.4388354,-0.16874138,8.353153205986018
0.9912991,-17.427746,-17.598442,1.20007,0.1661217,-143.98604523167157,0.110484496,0.0035186410023015924,-58.00266603083255,-17.404097,0.70559764,12.428418,6000,22,100,3,-8.16239,60,12.411182,-1.0619628429412842,2200,0.7052164,0.0,-4.294495,-8.098986,-0.39979148,-63.720875,-63.54498,100.0,-1.7354124,100,-0.2617003473484463,19.072254040466454,-0.038764503,-0.5726323,15.164226503819139,0.002763316995697096,100,-0.57662374,1.1803857767369759,15,-0.98681986,100,0.16829421599686611,-9.74311779092767,-124.76207531377136,2.801749646991084,-0.9347616,-7.8269825,0.71074456,100.0,1.1014160339795693,-124.76207531377136,2.2654573269974208,-1.2476207531377133,-33.645301454056884,2.1859548,-58.00266603083255,-62.078674,5,15.4167385,-87.91366495573351,0.87075484,-0.04404909084061605,-103.54725283444421,-9.949567237223343,-0.27421117,0.35682419200020377,12.392023,0.5539623,-0.5800266603083256,0.0,2200,0.004891953998594545,-0.031676114,0.6616352796554565,1.6456059,-0.22200511,11.159374792987364
0.98785585,-21.415783,-21.379297,1.335589,0.15894294,-121.62257581872473,0.112387605,0.003111584999714978,-40.77411035214929,-21.393267,0.65010405,16.169695,7500,27,100,4,-10.126049,75,16.515812,-1.2350467443466187,2700,0.63596255,0.0,-4.01087,-10.189911,-0.47787,-72.76329,-72.559456,100.0,-1.798357,100,-0.02581618363616943,16.06300732011077,-0.0172776,-0.27596697,17.479831867536774,0.001967846001207363,100,-0.6433057,1.0889373969799192,15,-0.99475926,100,0.15784020300634438,-9.548806355408061,-98.09400825971585,2.700340359006077,-0.9446275,-9.700246,0.8185261,100.0,0.9020205290755414,-98.09400825971585,2.181507271998271,-0.9809400825971583,-23.262598117635946,3.79817,-40.77411035214929,-72.12935,5,19.53423,-77.01489979135403,0.9180429,-0.020518791342206934,-75.74811982559332,-9.903391495191995,-0.24298257,0.35146433000045363,16.179508,0.53286046,-0.4077411035214929,0.0,2700,0.0044491230000858195,-0.019681452,0.5810585618019104,1.8381094,-0.25569516,13.864031329991121
0.98701674,-19.299177,-19.494978,1.503361,0.15565777,-125.2072355452159,0.12152066,0.004022902001452167,-42.713960486012446,-19.302605,2.2669237,13.981509,9000,32,100,5,-11.172715,90,14.340573,-1.5410887002944946,3200,2.2792726,0.0,-4.1153584,-11.184575,-0.53471345,-75.63207,-75.752205,100.0,-2.002094,100,-0.17322591327175882,12.508594407204047,-0.018095875,-0.27765378,16.340938118264646,0.002134172995283734,100,-0.7185859,1.0057951952717405,15,-0.97784567,100,0.16466463899996597,-10.105182625510428,-93.39854988793097,2.7561754119960824,-0.9645426,-0.5602839,0.78906244,100.0,0.7972644243106394,-93.39854988793097,2.1974724709943985,-0.9339854988793097,-28.02219539890383,4.3904595,-42.713960486012446,-77.58444,5,17.524185,-79.2206963043561,0.92616975,-0.03660013937080309,-79.77818909367862,-9.631671926667,-0.21454895,0.3831096930007334,13.995293,0.5156168,-0.4271396048601245,0.0,3200,0.004771534004248679,-0.020267544,0.5082024335861206,1.951933,-0.27005294,16.624684647984395
0.9922029,-18.258217,-17.986626,1.4668008,0.18745135,-121.61946224374735,0.123551734,0.0030358750009327196,-45.362664648773844,-18.27429,14.868038,11.483847,10500,37,100,6,-12.23229,105,11.111563,-2.0246331691741943,3700,14.872722,0.0,-4.848747,-12.265823,-0.59820145,-66.626495,-66.70424,100.0,-1.9780564,100,-0.16781548553011513,17.678458360984937,-0.018247383,-0.48535642,15.659771696537211,0.002032276999671012,100,-0.7781688,1.0772072760633224,15,-0.9894828,100,0.16847327999857953,-10.188500164812716,-91.50503548351054,2.713971800993022,-0.9592579,-8.016726,0.7166715,100.0,1.1389914887867956,-91.50503548351054,2.173394327001006,-0.9150503548351054,-19.628252322527544,3.6088524,-45.362664648773844,-68.462524,5,16.728043,-76.78505381097848,0.95669526,-0.029393456671353693,-79.1257803700344,-11.038208489119146,-0.12621075,0.3621946029961691,11.486543,0.5035051,-0.4536266464877388,0.0,3700,0.004841438996663783,-0.009533434,0.4426848590373993,1.6501516,-0.29898745,19.342949121972197
0.98705816,-17.198566,-17.162151,1.0539944,0.17995133,-103.10930871672673,0.1290907,0.0029607699980260804,-55.6820187141776,-17.199316,3.1732476,8.473045,12000,42,100,7,-13.215872,120,8.573546,-2.309144973754883,4200,3.1429029,0.0,-2.878498,-13.213115,-0.64895445,-54.915554,-54.864357,100.0,-2.0713575,100,-0.14037930760057354,11.64939262119348,-0.027953157,-0.41895366,13.885419949666543,0.0020355770029709674,100,-0.8130839,0.6848353969732338,15,-0.9856245,100,0.16886271799739916,-6.559915714122385,-79.40188660525232,2.7211512709982344,-0.97267526,-2.2021365,0.66742617,100.0,0.9628044896707015,-79.40188660525232,2.1852087899969774,-0.7940188660525233,-39.473298639602206,3.3072352,-55.6820187141776,-55.049747,5,15.809244,-71.14734459006915,0.9541348,-0.0408685338208939,-62.91664740337289,-8.960209233689914,-0.11724718,0.35706009100249503,8.456208,0.4741046,-0.5568201871417758,0.0,4200,0.00502332500036573,-0.014796809,0.3848571479320526,2.0743842,-0.31596047,22.068415085974266
0.9695776,-21.374605,-21.502226,1.6021374,0.17932013,-111.31205023536295,0.13805561,0.0029247999991639517,-45.445406523528746,-21.369658,4.5673842,13.432731,13500,47,100,8,-14.003447,135,14.162805,-2.194896936416626,4700,4.449003,0.0,-4.6598034,-14.059967,-0.6715669,-67.815186,-67.954834,100.0,-2.27584,100,-0.1888877575505375,13.60469612417847,-0.013431284,0.00015222073,17.993524284672485,0.0020399679997353815,100,-0.8690612,0.9310520444944812,15,-0.99848247,100,0.16596555599971907,-9.874782384099532,-79.17259628340143,2.6725904580016504,-0.9751343,-0.9856859,0.81870145,100.0,0.9733588824447228,-79.17259628340143,2.1451963290019194,-0.7917259628340141,-25.998469138744138,4.3423414,-45.445406523528746,-69.596405,5,19.981726,-74.07007836221368,0.97418624,-0.024355561647225094,-60.84333981987003,-10.478113349130686,-0.21865827,0.35164492599869845,13.452283,0.4663968,-0.4544540652352873,0.0,4700,0.004818879002414178,-0.020551547,0.3335999548435211,2.1265645,-0.3419456,24.744589426991297
0.9462316,-21.442055,-21.896257,1.3933145,0.15980467,-72.75926670551917,0.14779069,0.003478076003375463,-28.829575337692255,-21.45227,1.2437934,14.180008,15000,52,100,9,-14.703315,150,14.792381,-2.552630662918091,5200,1.23285,0.0,-3.1604726,-14.784814,-0.780051,-74.25675,-74.41494,100.0,-2.3394675,100,-0.09499475405725771,14.486583833587499,-0.012911638,-0.057513095,4.376627196086846,0.002010158001212403,100,-0.97859645,0.5341735803189702,15,-0.98524565,100,0.1660921380025684,-6.224522666921878,-64.25507450991759,2.6760606840034598,-0.97445804,-14.559612,0.8286242,100.0,0.7973604708588028,-64.25507450991759,2.135602148999169,-0.6425507450991761,-14.285138206349995,5.125242,-28.829575337692255,-80.48277,5,20.187708,-66.01510309019336,0.9749298,-0.02731001116676516,-60.497215026588506,-10.181178273409927,-0.07583489,0.36409640200145077,14.193836,0.44577447,-0.28829575337692254,0.0,5200,0.004781760995683726,-0.015946828,0.28911828994750977,2.0631938,-0.380731,27.42521859898261
