exploration/Rewards Min,trainer/Q2 Predictions Std,exploration/Returns Min,evaluation/Returns Max,trainer/Policy log std Std,evaluation/num steps total,trainer/Q1 Predictions Mean,evaluation/Rewards Std,evaluation/Actions Max,exploration/path length Std,trainer/Policy mu Std,time/epoch (s),trainer/Log Pis Mean,exploration/Actions Std,time/training (s),evaluation/Returns Min,evaluation/path length Min,trainer/Q Targets Mean,trainer/Q Targets Max,trainer/Q1 Predictions Max,trainer/Q Targets Std,replay_buffer/size,trainer/Log Pis Std,trainer/Q2 Predictions Mean,trainer/QF2 Loss,exploration/Returns Mean,exploration/num paths total,time/exploration sampling (s),trainer/Policy log std Max,exploration/Actions Mean,evaluation/Num Paths,trainer/QF1 Loss,trainer/Policy mu Min,time/data storing (s),exploration/Returns Std,trainer/Policy log std Min,exploration/Rewards Std,trainer/Log Pis Min,exploration/path length Min,evaluation/Returns Std,evaluation/num paths total,evaluation/path length Mean,trainer/Log Pis Max,exploration/Average Returns,trainer/Q1 Predictions Std,time/saving (s),exploration/path length Mean,exploration/Num Paths,exploration/Rewards Mean,exploration/Actions Max,trainer/Q1 Predictions Min,time/total (s),trainer/Policy mu Mean,trainer/Q2 Predictions Min,trainer/Policy log std Mean,Epoch,time/evaluation sampling (s),evaluation/Actions Min,trainer/Policy Loss,trainer/Alpha Loss,trainer/Policy mu Max,evaluation/Returns Mean,trainer/Alpha,exploration/Rewards Max,trainer/Q Targets Min,evaluation/Average Returns,evaluation/Actions Mean,exploration/Actions Min,time/logging (s),exploration/Returns Max,evaluation/Rewards Max,exploration/num steps total,trainer/Q2 Predictions Max,evaluation/Rewards Min,evaluation/Rewards Mean,exploration/path length Max,evaluation/path length Max,evaluation/path length Std,evaluation/Actions Std
-13.604773372641525,0.0014424078,-1067.2763104056369,-73.81421141300328,0.0005567479,1500,0.0015815818,2.8009007571626414,7.713225e-05,0.0,0.0004461097,2.4152241470001172,-1.376572,0.6294461,1.976885966003465,-1013.6438068931403,100,-7.7563257,-1.3877711,0.0055974275,2.850311,700,0.31311318,-0.00056892773,68.279335,-793.4788838111738,7,0.14027786099904915,0.0001839847,0.0035599966,15,68.29956,-0.0020733736,0.0026836039978661574,200.00833002421678,-0.0017197115,2.6401672477916462,-1.8256555,100,280.08379784965143,15,100.0,-0.5841811,-793.4788838111738,0.002504353,0.0023961370025062934,100.0,5,-7.9347888381117375,0.9943986,-0.003363172,2.6304933139908826,-0.00069115293,-0.004134259,-0.00079062895,0,0.2880923970005824,-0.0015102745,-1.3757623,-0.0,5.802384e-05,-621.6700437798273,0.9997000694274902,-1.0954974369983626,-13.519435,-621.6700437798273,-0.0007232808,-0.9952942,0.0048881819966482,-464.06697517870475,-0.690933195433594,700,0.002205496,-10.155324158239576,-6.216700437798272,100,100,0.0,0.0003581725
-5.788593053437275,6.662625,-295.47630168349616,-176.65827376362228,0.049694277,3000,-12.632556,1.5858090508412437,0.673083,0.0,0.36459962,2.8524788270078716,-0.7780247,0.56702554,2.3386824400004116,-651.4520478132339,100,-12.759992,-2.2778676,-4.001202,6.752017,1200,0.73970985,-12.637915,2.0538726,-214.08803104765084,12,0.14980640100111486,-0.15355873,0.16482042,15,1.9933732,-0.3351228,0.003427594005188439,44.42604063500729,-0.32548183,0.894512935014179,-2.747552,100,135.29401368777638,30,100.0,0.77276134,-214.08803104765084,6.684052,0.0019893600037903525,100.0,5,-2.140880310476508,0.9976071,-24.78163,5.487902870998369,0.39617512,-24.740627,-0.227421,1,0.35278910199849633,-0.2989691,10.978005,-0.4042058289051056,0.93977386,-286.2650174594954,0.8643543124198914,-0.3755269403565003,-25.923586,-286.2650174594954,0.32584587,-0.97845817,0.005783929998870008,-172.5224965307043,-0.13335142162012997,1200,-4.0433717,-9.410689687596248,-2.862650174594955,100,100,0.0,0.25274384
-8.691427305610155,10.729304,-199.189472067605,-160.60145136445198,0.08161786,4500,-16.333311,1.0849773059127747,0.87168735,0.0,0.55980825,2.6632020819961326,-0.82341254,0.5736035,2.102793607999047,-340.405404096026,100,-16.415636,-7.5568514,-8.204208,10.830585,1700,1.0418684,-16.331985,0.70858634,-173.99828221916184,17,0.16864495099434862,-0.15255576,0.09745807,15,0.7648083,-0.91482186,0.002924444997915998,16.32234011575525,-0.45927328,0.8765061542986241,-3.3908,100,45.02510177423026,45,100.0,2.3292394,-173.99828221916184,10.726321,0.0020004389953101054,100.0,5,-1.7399828221916183,0.9895487,-51.634007,8.155533041994204,0.24120024,-51.55659,-0.2595961,2,0.3825353230058681,-0.66813886,14.446066,-0.8015360832214355,1.3157936,-199.65681638748853,0.7526485919952393,-0.17229160655418235,-48.562965,-199.65681638748853,0.039754283,-0.98912436,0.004303316003642976,-152.89915339760665,-0.2937587191075869,1700,-8.12186,-10.398146938453356,-1.996568163874886,100,100,0.0,0.2140091
-8.162904911217401,14.666523,-148.44994468513107,-44.55524836712932,0.10484922,6000,-21.636475,1.9431227998381484,0.9488089,0.0,0.7094283,2.542089151997061,-0.53884155,0.5661058,2.0320151889973204,-765.9037606774066,100,-21.40843,-9.907227,-10.813505,14.623486,2200,1.3263716,-21.591318,15.171083,-120.9705654689839,22,0.15796637700259453,-0.18257174,0.03858113,15,15.210895,-1.285045,0.00290099999983795,16.396795086933018,-0.59085435,0.9599616356185935,-5.4329786,100,176.02056387753598,60,100.0,2.9855728,-120.9705654689839,14.609352,0.0024248519985121675,100.0,5,-1.2097056546898393,0.98839027,-69.97729,10.701942696992774,0.2781116,-69.970474,-0.33775994,3,0.34113501499814447,-0.8340407,19.830462,-1.0616134405136108,1.5464766,-109.29837687480774,0.6580898761749268,-0.02520890772002934,-65.80985,-109.29837687480774,0.06986645,-0.9951765,0.005646719000651501,-97.22965543990622,-0.23908781525884085,2200,-10.688223,-9.227308185960592,-1.0929837687480781,100,100,0.0,0.23393433
-10.35582342082089,15.838388,-146.34848346611184,-33.60187527232723,0.09313815,7500,-23.51377,0.7467575263955433,0.95673215,0.0,0.7759764,2.5613054529821966,-0.2376206,0.5407775,2.0432977479940746,-78.21235666520718,100,-23.7463,-12.116102,-12.549335,16.059366,2700,1.4432918,-23.556564,0.70767176,-114.36340418882517,27,0.16180167899437947,-0.26118225,0.044314165,15,0.80815667,-1.4014025,0.0029104419954819605,22.324132847101662,-0.5969229,1.0688850581721938,-3.760468,100,12.476223896321262,75,100.0,3.4292529,-114.36340418882517,15.799013,0.0018648219993337989,100.0,5,-1.1436340418882516,0.9943606,-71.22064,13.268154629979108,0.30628052,-71.458534,-0.41273278,4,0.347068164999655,-0.8299144,21.639885,-1.2350763082504272,1.6972432,-48.45863102039535,0.5756707191467285,-0.021332326083204244,-72.28348,-48.45863102039535,0.022712646,-0.9768653,0.004362596999271773,-88.290620618579,-0.14243694754959796,2700,-12.55424,-8.609036813724822,-0.48458631020395343,100,100,0.0,0.1460227
-11.736482709967484,10.454271,-141.8330770775285,-37.59022542955736,0.103015386,9000,-20.78923,1.7247285739632567,0.97993565,0.0,0.7821302,2.5741099800070515,-0.3168583,0.54598236,2.047422806004761,-663.2380736415142,100,-20.643845,-1.852475,-14.538897,11.080237,3200,1.5320174,-20.738575,2.9987965,-103.59093167020504,32,0.16591195200453512,-0.29111025,0.0428947,15,2.9786472,-1.5414535,0.0028733369981637225,27.856049963611284,-0.6564375,1.2928084375751818,-3.8197799,100,152.58882028677976,90,100.0,3.9837897,-103.59093167020504,10.4751,0.0019737339971470647,100.0,5,-1.0359093167020506,0.995006,-58.33594,15.846594352988177,0.11802967,-58.41982,-0.4633465,5,0.35174752400052967,-0.88977605,19.14232,-1.5909793376922607,1.8609711,-94.38997319104568,0.5031006336212158,-0.03175065803018916,-62.00164,-94.38997319104568,0.0647,-0.977403,0.004180627001915127,-76.94221634090576,-0.2747335817056483,3200,-14.556585,-10.00629715659866,-0.9438997319104566,100,100,0.0,0.23447286
-9.491494539549485,17.935383,-133.2479850223549,-55.55717994630213,0.11577722,10500,-26.681286,0.9548584560296519,0.9631514,0.0,0.9347441,2.5480280720003066,-0.044614837,0.5143854,2.0368851859966526,-105.29795868763443,100,-26.050512,-7.9171033,-15.588235,18.042177,3700,1.6958888,-26.652891,37.561504,-98.63283782843664,37,0.15963531500165118,-0.30207968,0.024906918,15,38.647964,-1.8201815,0.0030658340037916787,19.305154176209072,-0.7261334,0.9704841324219974,-4.4928937,100,16.874363797994743,105,100.0,4.0247006,-98.63283782843664,17.96347,0.001961392001248896,100.0,5,-0.9863283782843667,0.9954213,-89.522514,18.398962957980984,0.14437094,-89.61663,-0.5385582,6,0.34137260999705177,-0.93880373,24.88628,-1.6801211833953857,1.9544816,-75.9148560255218,0.4395560622215271,-0.018493978238525662,-91.91352,-75.9148560255218,0.024896922,-0.9861283,0.005107734999910463,-77.52119691428679,-0.10057192814043724,3700,-15.4774885,-9.69069189330955,-0.7591485602552179,100,100,0.0,0.16606969
-9.256324900226868,12.457287,-113.35911359565775,-28.89270208614694,0.1084168,12000,-23.00727,0.9949809619531553,0.98139554,0.0,0.8469049,2.7449825020084972,-0.07639981,0.51841617,2.2410278570023365,-81.49298913237504,100,-23.162006,-16.430027,-16.697351,12.382788,4200,1.4795403,-23.008974,0.5953587,-92.9624372087383,42,0.15754925200599246,-0.39889887,0.03653388,15,0.66763604,-1.733593,0.00297823800065089,15.255447820097377,-0.76116276,1.1330128297422963,-4.00987,100,14.22854379791166,120,100.0,5.1006002,-92.9624372087383,12.467649,0.0015842790016904473,100.0,5,-0.9296243720873831,0.990569,-76.01537,21.14784289099771,0.20851669,-75.98595,-0.632919,7,0.3368870979975327,-0.8911998,21.40237,-1.991939663887024,2.1092098,-47.90654223195258,0.3830491304397583,-0.06089034807090203,-75.53107,-47.90654223195258,0.031097354,-0.97023475,0.004955778000294231,-67.53386506747614,-0.24353884475203433,4200,-16.537687,-10.317301939108571,-0.4790654223195259,100,100,0.0,0.17946827
-9.403417829617496,12.288676,-113.17858799027701,-32.08070700787182,0.11054342,13500,-24.801653,1.0735983613304791,0.98129874,0.0,0.940751,2.5407027619949076,0.37008485,0.48199162,2.0351609400022426,-81.04621807028104,100,-24.84009,-1.852475,-17.61621,12.954517,4700,1.7348664,-24.78971,3.8182921,-79.92829526196451,47,0.15887037300126394,-0.4626187,0.021650704,15,3.8844292,-1.8429288,0.0031875809945631772,17.31856589836878,-0.83935654,0.9065295730782237,-2.513887,100,15.532820770709435,135,100.0,5.165883,-79.92829526196451,12.271493,0.001954425999429077,100.0,5,-0.799282952619645,0.9917153,-84.36006,23.692982225991727,0.21178775,-84.67801,-0.6648024,8,0.33662584999547107,-0.8567408,23.56593,-1.7867764234542847,2.1357255,-54.903737805917416,0.3340359628200531,-0.030624269499008264,-88.54519,-54.903737805917416,0.041317165,-0.9731978,0.004903592001937795,-62.40698428559526,-0.2272484033672244,4700,-17.42987,-10.78993633193343,-0.5490373780591742,100,100,0.0,0.18755527
-12.161981491663274,10.693138,-131.20184509754537,-39.68834028081646,0.11958847,15000,-22.854982,0.874990946727142,0.971562,0.0,0.7785834,2.5555083340004785,-0.09389349,0.47766545,2.0381752489993232,-81.18440574620564,100,-22.74655,-0.1360007,-18.370678,10.860939,5200,1.5279093,-22.847132,3.7609174,-81.94888226971646,52,0.1575767350004753,-0.5047998,0.0153281,15,3.8717446,-1.7821786,0.0028344419988570735,25.28560336309322,-0.8945832,1.0284154522977218,-2.993276,100,11.909759568422576,150,100.0,5.3105717,-81.94888226971646,10.711734,0.001985454000532627,100.0,5,-0.8194888226971648,0.9959676,-77.741,26.252782157986076,0.036657676,-77.70844,-0.733612,9,0.35011409100116,-0.9462474,21.671213,-2.5873687267303467,2.2042234,-56.60362092832665,0.290558785200119,-0.04126116034104545,-78.30703,-56.60362092832665,0.024990117,-0.97014785,0.004822363000130281,-62.95392856180222,-0.3288485610608102,5200,-18.228077,-9.031520437726563,-0.5660362092832666,100,100,0.0,0.17835227
