replay_buffer/size,trainer/Q1 Predictions Max,evaluation/Actions Mean,exploration/Returns Min,evaluation/num paths total,trainer/Log Pis Mean,trainer/Alpha,trainer/Q1 Predictions Std,time/epoch (s),trainer/Policy log std Mean,time/evaluation sampling (s),exploration/path length Mean,exploration/path length Std,exploration/Actions Min,exploration/Returns Mean,trainer/Log Pis Max,evaluation/Rewards Std,trainer/Q1 Predictions Min,time/training (s),time/exploration sampling (s),trainer/Policy mu Min,evaluation/Returns Max,trainer/Policy mu Std,trainer/Q2 Predictions Min,evaluation/path length Max,trainer/Q1 Predictions Mean,exploration/Actions Std,exploration/Rewards Max,exploration/Num Paths,trainer/QF1 Loss,exploration/Returns Std,trainer/Policy log std Std,trainer/Policy log std Max,exploration/Actions Mean,evaluation/num steps total,evaluation/Rewards Mean,exploration/num steps total,exploration/Returns Max,evaluation/Rewards Min,exploration/Rewards Min,evaluation/Rewards Max,trainer/Q2 Predictions Mean,exploration/path length Max,exploration/Actions Max,evaluation/Num Paths,Epoch,evaluation/Average Returns,time/total (s),exploration/Average Returns,evaluation/path length Mean,trainer/Q2 Predictions Max,trainer/Policy mu Mean,trainer/Q Targets Mean,evaluation/Actions Std,evaluation/Returns Min,trainer/Alpha Loss,evaluation/Returns Std,trainer/Policy log std Min,exploration/Rewards Mean,exploration/path length Min,evaluation/Returns Mean,trainer/Policy mu Max,exploration/Rewards Std,trainer/Policy Loss,time/saving (s),time/logging (s),trainer/Q2 Predictions Std,evaluation/Actions Max,trainer/Log Pis Min,time/data storing (s),evaluation/Actions Min,evaluation/path length Std,trainer/Q Targets Min,trainer/Q Targets Max,trainer/Log Pis Std,exploration/num paths total,trainer/Q Targets Std,evaluation/path length Min,trainer/QF2 Loss
5700,-31.192696,0.018933075,-379.2878176533105,165,0.35391402,0.25908467173576355,15.231831,2.577304802980507,-0.68656915,0.35472408597706817,100.0,0.0,-0.9717757,-205.01592456329817,4.873998,1.1031531598142794,-94.82444,2.063077920000069,0.14973657298833132,-1.9791442,-118.75536980088611,0.96110994,-94.88105,100,-65.735115,0.43387756,-0.0711895425390371,5,1.6141616,93.13158973373773,0.12651709,-0.45835268,0.022231907,16500,-2.2624267385152206,5700,-117.44503502817177,-11.055623650967817,-8.21098228236078,-0.50719508118383,-65.70199,100,0.9910957,15,10,-226.24267385152203,28.397203728207387,-205.01592456329817,100.0,-31.17278,0.013080817,-66.54385,0.15551445,-378.31965724006983,-2.2227909564971924,88.70480856353173,-0.9944102,-2.0501592456329822,100,-226.24267385152203,2.1445856,1.186684125267037,64.768234,0.001981218985747546,0.004695703013567254,15.198291,0.9688716,-3.3168519,0.0030893020157236606,-0.9654462,0.0,-94.890755,-30.536568,1.5856767,57,15.655234,100,1.9066874
6200,-29.344683,0.0022273483,-512.331217759981,180,0.5492262,0.228579580783844,15.676351,2.46596810297342,-0.7795136,0.32041287497850135,100.0,0.0,-0.99598086,-314.6893715395602,5.3333607,1.4706209283291471,-100.4505,1.9936605789989699,0.14233557501574978,-2.0301309,-117.11965590825537,0.9824129,-100.57267,100,-71.65824,0.4560473,-0.8085243908300971,5,54.287834,122.57732984458436,0.16579275,-0.44321635,-0.0050521,18000,-2.7889950139504567,6200,-174.5819601957338,-10.129198901699885,-11.46854924410687,-0.9887103008840421,-71.6971,100,0.9722303,15,11,-278.8995013950458,30.8671795122209,-314.6893715395602,100.0,-29.57235,0.06864106,-71.780785,0.15587342,-541.1147979506036,-2.1407837867736816,134.92456174329575,-1.195558,-3.1468937153956014,100,-278.8995013950458,2.2154415,1.4425187385762863,70.75979,0.0019941469945479184,0.004783855983987451,15.602216,0.96683854,-2.8528075,0.002781071001663804,-0.9791625,0.0,-101.12153,-3.5673559,1.5886214,62,17.248072,100,54.384254
6700,-29.76642,0.0020560569,-561.8307765215916,195,0.55832076,0.2013426274061203,21.264519,2.388973166991491,-0.8458186,0.33204879800905474,100.0,0.0,-0.9829093,-336.3447163232765,5.9560847,1.758672271532146,-123.625435,1.9068183690251317,0.14054486699751578,-2.1851432,-102.8385910389078,1.0162781,-122.66927,100,-69.7652,0.39964148,-0.47632009702792094,5,118.03792,185.871549869982,0.21067925,-0.41559035,0.014972253,19500,-3.39357656073595,6700,-121.78787026927193,-10.49849201431848,-9.127036078857238,-0.9285589431237454,-69.76902,100,0.9917305,15,12,-339.357656073595,33.26041396919754,-336.3447163232765,100.0,-30.08977,0.13881618,-69.116684,0.17466661,-557.8472359517026,-2.310265302658081,165.7050902057604,-1.290114,-3.363447163232765,100,-339.357656073595,2.5100722,2.0150989703744155,68.60869,0.0017125149897765368,0.004833458981011063,21.249441,0.9793003,-7.239347,0.0030151589890010655,-0.9895388,0.0,-124.629585,-1.2278029,1.8611828,67,24.485603,100,117.6994
7200,-31.647427,0.0046991236,-480.95669223519803,210,0.8846991,0.17752450704574585,19.954803,2.651416564040119,-0.9331677,0.3381138389813714,100.0,0.0,-0.99267864,-221.25835478203572,5.8334327,1.4362069629674794,-103.63239,2.1296412230003625,0.1738952830201015,-2.2879996,-111.01198301709327,0.9382689,-103.57097,100,-74.040794,0.36520934,-0.39126336325833966,5,265.69672,133.33021237523286,0.23469175,-0.47538084,0.009239537,21000,-2.9104224606516174,7200,-127.31920847570296,-9.8749505283019,-9.005236330463497,-0.903804765312976,-74.04734,100,0.9911784,15,13,-291.0422460651619,35.91597886226373,-221.25835478203572,100.0,-32.002316,-0.093861885,-70.74696,0.18024594,-519.2405859829032,-1.92769455909729,123.35677150608156,-1.4111657,-2.212583547820356,100,-291.0422460651619,2.4185343,1.569942982940805,73.76966,0.0019456290174275637,0.0047685350000392646,19.91178,0.98432165,-3.0670657,0.003052055020816624,-0.99183273,0.0,-104.83478,-1.7470262,1.5313212,72,24.831322,100,265.41367
7700,-29.895222,0.012579614,-228.28386874596197,225,0.7993419,0.1569323092699051,23.321604,2.4233254209393635,-1.015488,0.3337543689995073,100.0,0.0,-0.99650455,-179.29024533276444,4.858016,1.4373924115501011,-123.955124,1.9348635429923888,0.14480225098668598,-2.3845413,-134.22006191447483,1.0417668,-123.60912,100,-73.94661,0.33913112,-0.4436040677067123,5,141.48582,41.095890674023536,0.27003062,-0.46967152,-0.0010957099,22500,-2.5681566999363565,7700,-119.56002709950111,-10.059999483442207,-10.30493529254744,-0.5290557579646191,-73.98787,100,0.9908146,15,14,-256.81566999363565,38.34349713820848,-179.29024533276444,100.0,-30.137615,0.23806067,-72.2346,0.16648673,-550.4246705786369,-2.223261833190918,125.53450547445692,-1.4672974,-1.7929024533276443,100,-256.81566999363565,2.739994,1.1061686155957633,72.95222,0.0019618480000644922,0.004800765978870913,23.266342,0.9852916,-6.3926635,0.0031426439818460494,-0.9898253,0.0,-124.30699,-1.2200743,1.9385139,77,27.230072,100,142.06877
8200,-31.462854,0.0032411448,-584.6521200263761,240,0.8992512,0.13931721448898315,25.714256,2.40684871096164,-1.0277197,0.33123293399694376,100.0,0.0,-0.9935757,-418.1815231111861,5.8131714,1.7797762574434084,-118.35122,1.9219156010076404,0.14389115700032562,-2.6751919,-55.922970890874325,1.063944,-118.32764,100,-79.12167,0.3825977,-0.967743901547218,5,2.6270404,165.51442334007692,0.2961863,-0.48432562,0.006705578,24000,-2.4789906560680612,8200,-158.36891451010393,-9.795991429277008,-8.519973237851252,-0.31248492931447625,-79.058174,100,0.9940849,15,15,-247.89906560680603,40.754602195171174,-418.1815231111861,100.0,-31.249416,0.045960017,-79.60261,0.17885901,-581.3550341437542,-2.169316530227661,162.8446122062458,-1.5940524,-4.1818152311118615,100,-247.89906560680603,2.7682943,1.761316014299426,78.3129,0.001969840988749638,0.0048301029892172664,25.723486,0.9927398,-3.6849222,0.0030090749787632376,-0.9940577,0.0,-118.33842,-31.63026,1.7732344,82,26.087183,100,2.880636
8700,-31.242023,-0.002372469,-463.64307872250544,255,0.80128706,0.12285039573907852,27.176725,2.4208629289933015,-1.0825677,0.3401929719839245,100.0,0.0,-0.9979106,-235.61325664696642,4.6399016,2.0044533469915597,-121.406,1.9296760539873503,0.14113132300553843,-2.8502426,-26.34066399715302,0.9388928,-121.46754,100,-85.195244,0.3301661,-0.7219778903199742,5,136.95457,115.06928218819215,0.32761994,-0.4211006,0.0040079746,25500,-2.793922897804562,8700,-161.78555253737997,-10.775093410705033,-9.321305965464534,-0.14672614875106724,-85.25111,100,0.9975727,15,16,-279.39228978045617,43.17970364316716,-235.61325664696642,100.0,-31.964764,0.22843948,-85.09517,0.1953875,-609.9170384136056,-2.513169050216675,183.78150161558463,-1.7036302,-2.356132566469664,100,-279.39228978045617,2.967627,1.309631471878505,84.94977,0.0020594230154529214,0.004727772000478581,27.123356,0.99525607,-3.9406378,0.0030753850005567074,-0.9934398,0.0,-123.5213,-4.6777573,1.6333568,87,28.62195,100,136.92401
9200,-31.883533,0.007670688,-656.6063461242954,270,1.1936847,0.10955139994621277,31.133621,2.4061821649374906,-1.1828218,0.3357446760055609,100.0,0.0,-0.9516219,-451.30279369789406,6.463604,1.7953456907287044,-132.04988,1.9211423349916004,0.14003099099500105,-3.1350312,-66.27756365359639,1.0023066,-131.56696,100,-84.14786,0.3672066,-1.1498737959723382,5,4.0534663,135.96599476354913,0.34206885,-0.56763166,0.007401928,27000,-3.051503841193686,9200,-235.5703350879792,-9.602087047348956,-7.203683360878538,-0.29920700289387725,-84.11206,100,0.99574554,15,17,-305.1503841193687,45.590095292107435,-451.30279369789406,100.0,-32.168056,0.34682992,-85.73958,0.17077689,-635.2388358987384,-1.7829219102859497,168.76936702656764,-1.8018265,-4.513027936978941,100,-305.1503841193687,2.8222308,1.412517548162507,84.07941,0.0015919159923214465,0.0047322079772129655,31.110525,0.99136496,-6.803632,0.0029400389757938683,-0.9923279,0.0,-133.63681,-32.921726,1.7975757,92,31.821604,100,4.2628574
9700,-34.169018,0.011521914,-560.5414294754313,285,1.290403,0.0980534553527832,29.82942,2.4063812759995926,-1.3130252,0.336314701999072,100.0,0.0,-0.99818337,-205.478334009409,7.2533355,1.708122961136291,-151.2202,1.916622914985055,0.14438806800171733,-2.7278547,-71.05268756356453,0.9587663,-152.16785,100,-83.78599,0.29167336,-0.2843401950213194,5,360.67828,178.2575928946984,0.3741996,-0.5672039,-0.0013252125,28500,-2.9679458945115695,9700,-100.59451878230357,-8.663580883042908,-9.075512302256866,-0.6226444240615396,-83.81605,100,0.9955581,15,18,-296.7945894511569,48.00019260216504,-205.478334009409,100.0,-33.8423,-0.015965967,-81.49899,0.1559578,-560.7021598773327,-1.6476970911026,160.91320882975887,-1.8369842,-2.0547833400940902,100,-296.7945894511569,2.9240186,1.9956386167505067,83.8585,0.0015364139981102198,0.0047215230006258935,29.883709,0.9911818,-3.4347503,0.0027976540150120854,-0.98196477,0.0,-153.64604,-3.5923843,1.7668713,97,33.595123,100,361.22406
10200,-33.144943,0.0051656407,-155.70369054886794,300,1.2749425,0.08762534707784653,31.323084,2.4136803630099166,-1.3126404,0.33680386198102497,100.0,0.0,-0.99751484,-120.12053212891041,5.7817574,1.7297331153055158,-136.95506,1.9246728839934804,0.14244152401806787,-2.6510627,-108.48141728402452,0.9928189,-136.55757,100,-82.300354,0.2743398,-0.15491470226413437,5,1.2710305,28.655045266424533,0.38314766,-0.36222595,0.016550539,30000,-2.646667857310542,10200,-69.11415383946438,-10.059539192807446,-7.488936644078479,-0.20786575864182238,-82.330605,100,0.9969256,15,19,-264.6667857310542,50.41811144017265,-120.12053212891041,100.0,-33.258865,0.12956724,-82.94691,0.16596024,-538.4885764686381,-1.7651296854019165,157.35284785261055,-1.9445403,-1.2012053212891045,100,-264.6667857310542,2.773509,0.6633675832354146,82.466576,0.001950916019268334,0.004749915999127552,31.231415,0.997059,-3.6754434,0.003061260998947546,-0.9961016,0.0,-136.94846,-33.887554,1.6732492,102,31.520233,100,1.1678622
