trainer/Log Pis Min,evaluation/Actions Mean,exploration/Rewards Mean,trainer/Policy log std Mean,evaluation/Returns Min,exploration/path length Mean,exploration/Average Returns,evaluation/Num Paths,exploration/path length Max,trainer/Q2 Predictions Max,exploration/path length Min,time/data storing (s),trainer/Policy log std Max,exploration/Num Paths,trainer/Policy Loss,trainer/Policy mu Mean,exploration/Rewards Max,evaluation/Rewards Min,exploration/path length Std,trainer/Q1 Predictions Max,exploration/Actions Std,trainer/Q Targets Std,exploration/num steps total,trainer/Q Targets Min,trainer/Policy mu Std,exploration/Rewards Std,exploration/Returns Max,evaluation/path length Std,trainer/Log Pis Max,evaluation/path length Mean,evaluation/Actions Std,evaluation/Returns Max,Epoch,exploration/Actions Mean,trainer/Q Targets Max,time/epoch (s),exploration/Rewards Min,trainer/Log Pis Mean,trainer/Log Pis Std,time/training (s),trainer/Policy log std Min,trainer/QF2 Loss,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,time/exploration sampling (s),trainer/QF1 Loss,exploration/Returns Mean,evaluation/Actions Max,evaluation/Returns Std,exploration/Actions Max,trainer/Policy mu Max,exploration/Actions Min,evaluation/Rewards Mean,trainer/Policy mu Min,evaluation/Returns Mean,trainer/Alpha,evaluation/Average Returns,trainer/Q1 Predictions Std,time/total (s),evaluation/Rewards Max,trainer/Q1 Predictions Mean,evaluation/Actions Min,exploration/Returns Min,trainer/Q1 Predictions Min,trainer/Q2 Predictions Min,trainer/Q Targets Mean,evaluation/num steps total,time/saving (s),evaluation/path length Max,trainer/Policy log std Std,time/logging (s),evaluation/path length Min,evaluation/Rewards Std,replay_buffer/size,evaluation/num paths total,exploration/Returns Std,time/evaluation sampling (s),trainer/Alpha Loss,exploration/num paths total
-2.7061687,0.03198587,-0.6486558924261008,-0.793994,-67.46072466271058,100.0,-64.86558924261007,15,100,-15.654627,100,0.0030304350002552383,-0.41449326,5,19.15729,0.19709297,-0.01245932790503414,-10.157130571950546,0.0,-15.622895,0.45808288,10.059757,5700,-74.80803,0.79845506,0.7498743483106856,-51.57626062358851,0.0,4.7370915,100.0,0.18651618,-13.923778661367722,10,0.036037866,-1.5683641,2.6299731700055418,-7.317508809459338,0.18728223,1.4632246,2.1082972930016695,-0.96833444,2.7106655,-19.997826,9.986519,0.16005497900187038,2.7604358,-64.86558924261007,0.9879056,17.761813873805128,0.98771334,2.4787648,-0.9366317,-0.3719755012240656,-1.7147461,-37.19755012240656,0.2487637996673584,-37.19755012240656,10.013397,28.493168086977676,-0.05132572898062388,-20.00546,-0.9447485,-78.59130490265531,-78.187805,-78.03858,-19.817015,16500,0.002659470002981834,100,0.13237149,0.005683180999767501,100,1.1115858883312357,5700,165,9.649237870252913,0.35024781199899735,-2.521450996398926,57
-2.999895,0.031523805,-0.5731892761640445,-0.88560534,-52.96684117389598,100.0,-57.31892761640445,15,100,-15.970722,100,0.003748089002328925,-0.38003266,5,17.829424,0.057922088,-0.01737094217719504,-9.08421218829272,0.0,-15.933273,0.44373965,7.6084976,6200,-69.07013,0.6800252,0.7017026896023498,-46.92856978845927,0.0,5.0299582,100.0,0.18037765,-8.109001834372114,11,0.022001736,-15.740289,2.7017765540076653,-6.547000092589917,-0.030359231,1.1506457,2.1387797520001186,-1.0495416,0.20353076,-18.613987,7.5506787,0.17477971900370903,0.1996245,-57.31892761640445,0.98659533,13.24666655483226,0.9792471,2.374398,-0.95913374,-0.24810006246385305,-2.0085554,-24.810006246385303,0.2168034464120865,-24.810006246385303,7.5337367,31.19976093997684,-0.058395642436935014,-18.59673,-0.9504232,-67.36599026300291,-68.046104,-67.896454,-18.767643,18000,0.001998466999793891,100,0.13901657,0.005049901999882422,100,0.9286205254886153,6200,180,8.690874695944176,0.3774206250018324,-3.1033828258514404,62
-3.7277968,0.027532263,-0.6988002722730969,-0.96885526,-62.01358063406791,100.0,-69.88002722730968,15,100,-16.079859,100,0.0031664319976698607,-0.35099915,5,18.753088,0.103554554,-0.028209159369066938,-10.36166980057856,0.0,-16.039268,0.42984834,8.117504,6700,-63.66784,0.75838333,1.3229577667930008,-41.36401802013066,0.0,5.018409,100.0,0.17398278,-8.46071887413331,12,0.047437515,-16.190956,2.5906611739992513,-11.348281395039495,0.0059877755,1.3756809,2.063769118998607,-1.1854144,0.21939467,-19.52639,8.056196,0.15978857600566698,0.229881,-69.88002722730968,0.9839071,12.181773266774291,0.99652004,2.5006852,-0.87473255,-0.23712215440936693,-1.8844321,-23.71221544093669,0.1896575391292572,-23.71221544093669,8.056417,33.79488851799397,-0.03755203495528504,-19.519012,-0.965478,-96.68534296485812,-61.977818,-61.937813,-19.778593,19500,0.001984693000849802,100,0.18280976,0.004762340999150183,100,0.8215359842752303,6700,195,22.091668701797154,0.35719001299730735,-3.314579963684082,67
-3.720253,0.050551716,-0.6041544402795859,-1.0974367,-65.7075965070573,100.0,-60.41544402795861,15,100,-16.309027,100,0.0030440059999818914,-0.37216288,5,18.78586,0.03260798,-0.01956398423807291,-11.212864869138224,0.0,-16.30291,0.39511746,8.664948,7200,-65.01564,0.67551893,1.0612245648166894,-44.119676672125735,0.0,6.416622,100.0,0.20425045,-12.583963475333768,13,0.04237701,-16.211695,2.559675583994249,-9.613690830254843,0.31981984,1.2260988,2.043796735997603,-1.324414,0.34118506,-19.311792,8.709479,0.15669634799996857,0.35854343,-60.41544402795861,0.9901097,16.086947410218954,0.9983868,2.6050556,-0.9461671,-0.3561740922971762,-1.6568849,-35.61740922971762,0.16657422482967377,-35.61740922971762,8.730559,36.3582519319898,-0.07184568949807539,-19.306234,-0.5527349,-82.40599764187836,-63.73028,-63.70851,-19.453106,21000,0.0020245179985067807,100,0.20270467,0.004640574996301439,100,1.2364037586245207,7200,210,13.184444986546964,0.3494734010018874,-3.010998487472534,72
-2.1396298,0.020748189,-0.5490859499537561,-1.1492007,-53.068628127019686,100.0,-54.90859499537561,15,100,-16.390068,100,0.0030102509990683757,-0.35682327,5,20.028255,0.21659067,-0.015043198058054716,-10.527022399178822,0.0,-16.377567,0.37674803,8.665859,7700,-70.96442,0.79506344,0.9776264343176663,-41.303402677597674,0.0,6.020941,100.0,0.16394433,-6.657451558048623,14,0.027943619,-0.7596787,2.5924318580000545,-8.063178173427662,0.71036917,1.3773533,2.0734412489982788,-1.4339327,2.8077486,-19.890312,8.446928,0.1599129800015362,2.8055274,-54.90859499537561,0.9864995,11.625142174402232,0.9982202,2.7940536,-0.93918616,-0.18367711189112274,-1.8736389,-18.367711189112278,0.14716815948486328,-18.367711189112278,8.4600115,38.95524025798659,-0.04071264426178855,-19.875635,-0.9638304,-64.2230579888009,-70.518936,-70.096565,-19.819359,22500,0.001981683999474626,100,0.24232262,0.00490254900068976,100,0.7194707597335939,7700,225,7.862771944160607,0.3491831450010068,-2.4708564281463623,77
-4.8153243,0.030525278,-0.4999484948619703,-1.1843263,-48.06780463785953,100.0,-49.99484948619704,15,100,-16.31967,100,0.0029789070031256415,-0.4377318,5,20.267595,0.18302235,-0.006962469839186593,-8.741247624800184,0.0,-16.315453,0.37578428,10.953631,8200,-72.26077,0.81764585,0.8830407144163803,-36.316894903185315,0.0,5.1878304,100.0,0.17618354,-14.6876015154239,15,0.02808268,-0.39330873,2.5923880910122534,-8.473205552262847,0.687485,1.4654202,2.0677435630059335,-1.481978,5.610801,-20.7315,10.799552,0.15373585400084266,5.656546,-49.99484948619704,0.99135834,11.489979058691933,0.99702156,2.6884632,-0.95458233,-0.3010138180448607,-1.913512,-30.10138180448607,0.13034459948539734,-30.10138180448607,10.770573,41.552063667993934,-0.09046140891299198,-20.719343,-0.91499853,-73.4346687927797,-70.89448,-71.2041,-20.500662,24000,0.010940257998299785,100,0.2448351,0.00455269400117686,100,0.8473710962862676,8200,240,14.336491576137048,0.35243681500287494,-2.674030065536499,82
-4.886384,0.039390214,-0.40959802042346166,-1.2856408,-65.1314190496662,100.0,-40.95980204234616,15,100,-16.39493,100,0.0030754860054003075,-0.5522093,5,17.843447,0.06002612,-0.020467763401085585,-10.050265920285945,0.0,-16.390203,0.34561816,4.1268725,8700,-51.02741,0.6943425,0.6909882036842394,-31.31103498246081,0.0,5.666425,100.0,0.20430446,-14.390519648507986,16,0.020193988,-16.289837,2.556342660012888,-8.640566232912777,0.39913967,1.528605,2.0405047940002987,-1.5677707,0.103834026,-17.823805,4.1576753,0.15565952000179095,0.10876374,-40.95980204234616,0.99095356,17.223142614723596,0.984266,2.4652526,-0.9692765,-0.4075167714103492,-1.619753,-40.751677141034904,0.11530859023332596,-40.751677141034904,4.1334014,44.11276384399389,-0.07963336960922957,-17.816933,-0.96716875,-65.4830588533413,-51.9766,-52.05949,-17.933508,25500,0.0019870370015269145,100,0.18636754,0.004986788000678644,100,1.2429301963957506,8700,255,12.62792855699158,0.35012903500319226,-3.4576663970947266,87
-3.1335127,0.039693065,-0.5578853723645064,-1.3277938,-67.57340097581674,100.0,-55.78853723645064,15,100,-16.364544,100,0.0029687980058952235,-0.4503066,5,19.924807,0.24640405,-0.01502760319109504,-9.387237799444142,0.0,-16.359346,0.36202672,9.33809,9200,-78.14204,0.86357,1.2029606644488664,-32.449501573981344,0.0,6.5652356,100.0,0.18923026,-20.35659145510621,17,0.05062305,-16.167545,2.5802336240158184,-10.498398532093672,0.9759376,1.5982708,2.0674334860013914,-1.675184,0.24960805,-19.768757,9.129903,0.1546006220014533,0.23893806,-55.78853723645064,0.99458516,13.743267301068135,0.99673307,2.956655,-0.8647128,-0.3886191586731778,-1.9372839,-38.861915867317784,0.10209553688764572,-38.861915867317784,9.146079,46.697304791014176,-0.08287416470639788,-19.770948,-0.9507245,-76.33768806434846,-78.91165,-78.84116,-19.881432,27000,0.0023838180059101433,100,0.26044503,0.0046025480041862465,100,0.9558911926677874,9200,270,17.202106662027397,0.348244351996982,-2.336505651473999,92
-3.210833,0.022253431,-0.4460172621208978,-1.4539021,-56.47242328187107,100.0,-44.601726212089794,15,100,-16.137445,100,0.002883952998672612,-0.4590828,5,18.72595,0.15771063,-0.010482547833655837,-9.302783045530845,0.0,-16.13787,0.32265532,7.3970547,9700,-78.35632,0.7224828,0.8859754043671405,-30.364369246369964,0.0,4.918544,100.0,0.17053364,-10.525653041967994,18,0.03066475,-16.07046,2.5916842590013403,-7.492088980508899,0.9188236,1.2353715,2.0983395439980086,-1.7784002,0.21936202,-18.417177,7.7222815,0.14754462800192414,0.24724633,-44.601726212089794,0.9931652,14.624719737582904,0.99846965,2.9428473,-0.9811657,-0.23431279965861615,-2.109902,-23.431279965861616,0.09106090664863586,-23.431279965861616,7.7426662,49.292758509014675,-0.022085316419926775,-18.432789,-0.982216,-55.79716122414285,-82.62096,-82.27605,-18.468744,28500,0.001964711002074182,100,0.26106706,0.00505960600276012,100,0.8040245122967618,9700,285,8.548057564171389,0.3358918169979006,-2.5904979705810547,97
-3.5467935,0.038484354,-0.4222501781127444,-1.5086327,-62.04527472419088,100.0,-42.22501781127444,15,100,-15.931262,100,0.0030019740006537177,-0.5741842,5,19.624987,0.09204899,-0.011182736715378639,-10.352522519315638,0.0,-15.895695,0.29823136,8.98686,10200,-62.257153,0.83256584,0.9507813404565774,-28.99921268115366,0.0,7.451154,100.0,0.19767545,-20.55963363178349,19,0.017331935,-16.060099,2.544862963994092,-9.994331933323233,1.3773246,1.643502,2.020372323000629,-1.8560932,0.16766322,-19.30037,8.967505,0.1561413339950377,0.15566996,-42.22501781127444,0.99320275,14.093834651098309,0.9979118,2.769149,-0.9901433,-0.37276983868242997,-2.2711153,-37.27698386824298,0.08106833696365356,-37.27698386824298,8.979802,51.84209310300503,-0.09063553514104719,-19.29878,-0.9741684,-78.24151582552008,-61.149628,-60.773636,-19.577757,30000,0.0020005019978270866,100,0.30197546,0.00479499399807537,100,1.0299112655116456,10200,300,18.921814474704046,0.358551837001869,-1.5643081665039062,102
-4.5500307,0.02753768,-0.3621232254679539,-1.6140339,-52.18005075138604,100.0,-36.212322546795384,15,100,-15.925462,100,0.0031208960062940605,-0.3639621,5,19.639332,0.19055733,-0.007636620450582133,-9.87486212339075,0.0,-15.9061,0.27479765,8.538466,10700,-71.256775,0.8404452,0.8812374217425587,-24.877232955124107,0.0,6.1509953,100.0,0.19403394,-11.872312172619198,20,0.016446479,-15.849044,2.6089049440051895,-9.993803069069882,1.5495667,1.4746941,2.114446997002233,-2.0,0.22411117,-18.822605,8.463413,0.14979146100085927,0.21246375,-36.212322546795384,0.9924564,10.870593905826626,0.9976778,3.1167564,-0.98695344,-0.26407416036549536,-1.9422896,-26.407416036549527,0.07292874902486801,-26.407416036549527,8.445632,54.45546592401661,-0.0394887093684023,-18.813017,-0.9832393,-69.13425801379931,-69.233315,-69.28174,-18.914194,31500,0.00199084599444177,100,0.3442268,0.004774392997205723,100,0.8303828171596521,10700,315,16.71373188764811,0.3347803510041558,-1.179270625114441,107
-1.0529332,0.030481765,-0.466115980666475,-1.6684188,-61.26021732353681,100.0,-46.61159806664751,15,100,-15.720945,100,0.0030857289966661483,-0.4340095,5,20.042936,0.2583984,-0.010403454969196006,-10.272784180122144,0.0,-15.74562,0.28828162,9.054042,11200,-69.20563,0.8614494,1.3220286731390078,-19.210066212880292,0.0,6.739321,100.0,0.20643239,-7.633766416425612,21,0.056572694,-15.661106,2.5727466919997823,-10.415914266777909,1.8141114,1.2123806,2.0629426989980857,-2.0,0.09549682,-19.031605,8.954568,0.15665938799793366,0.07879364,-46.61159806664751,0.996834,16.03038267971443,0.99981165,3.1146035,-0.6563066,-0.2840905540902126,-2.148757,-28.40905540902126,0.0666474997997284,-28.40905540902126,9.001371,57.032456549022754,-0.044562495079799556,-19.050539,-0.98841345,-68.4091790241404,-68.76642,-68.49006,-19.123697,33000,0.0020264560007490218,100,0.3619231,0.0047602500053471886,100,1.0977685247156541,11200,330,18.626794713817485,0.34327217000100063,-0.5034210681915283,112
-4.164978,0.027398486,-0.3570340765370868,-1.7386044,-57.035582708471395,100.0,-35.703407653708666,15,100,-15.432216,100,0.0030293880045064725,-0.54978865,5,19.436705,0.13864993,-0.00549478079035415,-10.50242646002696,0.0,-15.437704,0.26556334,10.765304,11700,-78.93687,0.81886214,0.7939388287131003,-29.022573756376445,0.0,8.555671,100.0,0.18708046,-10.490885835726806,22,0.03931421,-0.44226938,2.563532860011037,-7.468578059767456,1.5716982,1.568992,2.046207712002797,-2.0,3.0751052,-18.489239,10.517849,0.15855125100642908,3.0564072,-35.703407653708666,0.99598044,16.471291533861915,0.998891,3.1790714,-0.775813,-0.28499599745220233,-2.4431827,-28.499599745220227,0.061255186796188354,-28.499599745220227,10.556164,59.60022664803546,-0.015440884222268737,-18.493698,-0.98500276,-43.73176597028518,-82.20002,-82.16672,-18.42583,34500,0.00206381399766542,100,0.35285068,0.0036601070023607463,100,0.977048075875323,11700,345,6.445272696815353,0.3500205879972782,-1.1960450410842896,117
-5.2353716,0.06837924,-0.7190642185889455,-1.6886888,-432.7109432985466,100.0,-71.90642185889456,15,100,-15.070213,100,0.0031079409964149818,-0.33451286,5,19.953876,0.13645722,-0.009398966856700608,-10.683059147077321,0.0,-15.063801,0.31530976,11.231003,12200,-79.66961,0.9777514,1.7049763365693864,-23.972493453013044,0.0,8.653355,100.0,0.24977271,-14.344229315642849,23,0.065194316,-0.27875456,2.549098503011919,-7.043092279957367,1.8226906,1.9264207,2.04095116800454,-2.0,3.0763335,-19.069906,11.078546,0.1549204040056793,3.0497477,-71.90642185889456,0.9970529,101.18815726032857,0.99993557,3.3346314,-0.9973191,-0.5810257539615802,-2.5749903,-58.102575396158045,0.05613672360777855,-58.102575396158045,11.071988,62.153274960044655,-0.05740940502100724,-19.069712,-0.8970389,-248.3234196643884,-83.066246,-83.217255,-19.228268,36000,0.0017027389985742047,100,0.43200988,0.004174012006842531,100,1.357800732847463,12200,360,88.31146186728532,0.3442422389998683,-0.5106115937232971,122
