evaluation/Returns Max,trainer/Q1 Predictions Mean,exploration/Actions Min,replay_buffer/size,trainer/Q2 Predictions Min,time/total (s),trainer/Policy log std Min,evaluation/Rewards Max,time/training (s),exploration/Rewards Mean,evaluation/Returns Min,trainer/Q Targets Mean,trainer/Log Pis Min,evaluation/Actions Std,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Actions Mean,exploration/Rewards Min,evaluation/Returns Mean,evaluation/Rewards Min,trainer/Log Pis Mean,time/exploration sampling (s),evaluation/Actions Mean,trainer/Policy log std Std,exploration/num steps total,exploration/path length Max,exploration/Actions Max,evaluation/path length Max,trainer/Policy mu Min,trainer/Policy mu Max,trainer/Q1 Predictions Std,exploration/Returns Mean,time/logging (s),time/data storing (s),evaluation/path length Min,trainer/QF1 Loss,time/evaluation sampling (s),trainer/QF2 Loss,evaluation/Average Returns,trainer/Policy Loss,exploration/Returns Std,exploration/path length Min,exploration/Actions Std,evaluation/num paths total,trainer/Policy log std Mean,exploration/path length Std,evaluation/Rewards Mean,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Policy mu Mean,exploration/Returns Min,exploration/num paths total,exploration/Average Returns,trainer/Q Targets Max,evaluation/Actions Max,trainer/Log Pis Max,exploration/Returns Max,trainer/Alpha,exploration/path length Mean,Epoch,time/epoch (s),trainer/Q2 Predictions Std,evaluation/Returns Std,trainer/Q2 Predictions Mean,trainer/Policy log std Max,exploration/Rewards Max,evaluation/path length Mean,exploration/Num Paths,evaluation/Num Paths,trainer/Q Targets Min,evaluation/path length Std,time/saving (s),evaluation/Actions Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,exploration/Rewards Std,trainer/Policy mu Std,trainer/Log Pis Std,evaluation/Rewards Std
-20.319706879189237,-21.755806,-0.9972562,5700,-80.1512,31.642787809032598,-0.8845915,-0.06557649712827489,2.1879243629955454,-0.6932052760827437,-75.6890173380594,-21.704096,-4.3315916,0.18400197,-2.699563503265381,-80.31554,-0.03308732,-10.043622825209354,-39.00971908750835,-10.31974377041833,0.055686712,0.16368173900264082,-0.02954367,0.10056907,5700,100,0.9652604,100,-2.4188452,2.1016686,12.786928,-69.32052760827438,0.0050241229982930236,0.003156391001539305,100,2.9198172,0.35737232999963453,2.9802368,-39.00971908750835,20.603386,17.645543853711505,100,0.44654876,165,-0.7468298,0.0,-0.3900971908750836,16500,-16.05482,-0.124098875,-104.28047455540651,57,-69.32052760827438,-0.23532686,0.96154505,4.104492,-58.174659873858076,0.24939598143100739,100.0,10,2.7191036160002113,12.755662,17.943255376417017,-21.7372,-0.4962474,-0.008327304684772881,100.0,5,15,-80.87269,0.0,0.0019446700025582686,-0.9868141,13.049989,-15.979563,0.9784207210675006,0.88328004,1.5309455,1.0172915176175967
-13.001843597936457,-20.187931,-0.9972484,6200,-63.140224,34.36149791003845,-0.91964084,-0.02249621306864113,2.18424928800232,-0.6937597859378482,-65.72968856173043,-20.261646,-6.1665034,0.19628829,-2.8651907444000244,-63.184204,-0.021820221,-10.715399531731537,-33.86959036819646,-10.970617498729288,0.124158695,0.162665397998353,-0.03291383,0.08991767,6200,100,0.99504185,100,-2.5156088,2.0139427,8.775637,-69.37597859378482,0.005625382997095585,0.0030754670005990192,100,0.22125125,0.35667964599997504,0.23042023,-33.86959036819646,19.561852,17.104098532781695,100,0.4584823,180,-0.8153499,0.0,-0.33869590368196456,18000,-16.674988,-0.11234423,-98.27225758578604,62,-69.37597859378482,-16.421902,0.97322,5.079446,-49.157637085060536,0.21703796088695526,100.0,11,2.714276258004247,8.77927,18.09312447886448,-20.169895,-0.55458325,-0.04353957910327997,100.0,5,15,-62.8603,0.0,0.0019810760059044696,-0.9878473,8.706771,-16.63054,1.0988255898295132,0.7996954,1.5776217,1.17069833650966
-25.15731452254256,-21.076698,-0.99313974,6700,-73.7877,37.09721165204246,-0.98721045,-0.06865933605236367,2.183639297996706,-0.5966430522208565,-55.6172284046977,-20.937634,-4.5789056,0.19967788,-3.2179758548736572,-73.873604,-0.032881383,-7.861240260893448,-38.36665784998293,-9.12248905682483,0.06730434,0.17137225400074385,-0.0351701,0.119642556,6700,100,0.97356176,100,-2.580251,2.0533059,9.536323,-59.664305222085645,0.004930446004436817,0.002974274000735022,100,6.0824404,0.3657795720064314,6.178068,-38.36665784998293,20.318485,10.551557347637695,100,0.44977072,195,-0.85082626,0.0,-0.3836665784998293,19500,-17.054731,-0.17496513,-80.39773316310892,67,-59.664305222085645,-0.1058044,0.97340596,4.7309656,-52.207067043433604,0.18913422524929047,100.0,12,2.731268905008619,9.520085,10.342953588552913,-21.134544,-0.45648256,-0.011379706803300164,100.0,5,15,-75.89002,0.0,0.0025730609995662235,-0.9887234,10.107789,-16.9075,0.7572416855456747,0.8783111,1.5457456,0.9851799761608562
-18.618301745866113,-21.268686,-0.9988369,7200,-76.44205,39.80720688404108,-1.1346585,-0.03536934433663187,2.1585260670035495,-0.6617079991321922,-72.04835452910956,-21.506292,-3.6694162,0.19689818,-3.015352249145508,-76.39722,-0.0235662,-11.322905978061506,-37.028117889239475,-10.13135051669665,0.3233069,0.1697602200001711,-0.034807865,0.13209236,7200,100,0.982043,100,-2.7121663,2.3207786,11.25866,-66.17079991321924,0.005369733000406995,0.003637888999946881,100,0.2351359,0.3664641590003157,0.24264576,-37.028117889239475,20.793371,22.946326726876176,100,0.42090383,210,-0.9576517,0.0,-0.3702811788923947,21000,-17.30314,-0.011172316,-99.81087951969845,72,-66.17079991321924,-17.23169,0.96904486,6.196436,-44.561975500077466,0.16552186012268066,100.0,13,2.7057475640103803,11.261619,15.457835547834264,-21.286253,-0.5729151,-0.0102000270834897,100.0,5,15,-78.90808,0.0,0.001989496005990077,-0.99072546,11.542335,-17.229229,1.2084488342141184,0.8400187,1.5900979,1.0072057880365073
-2.13795830022551,-21.76921,-0.99282825,7700,-88.94819,42.59210397204879,-1.2375064,-0.00896544998432435,2.2474499000018113,-0.49116047671462604,-53.64585604393199,-21.92143,-2.8270447,0.20257542,-2.945324659347534,-89.04774,-0.025609143,-6.581700627066143,-25.22442746462032,-10.475336546160625,0.47313985,0.1664260320030735,-0.036667302,0.15961617,7700,100,0.9763145,100,-2.78529,2.3126602,12.082939,-49.1160476714626,0.0047304800027632155,0.004024640998977702,100,0.28953603,0.3567278400005307,0.31290329,-25.22442746462032,21.16941,8.923377586878033,100,0.40801945,225,-1.0472225,0.0,-0.2522442746462032,22500,-17.405867,-0.09529055,-62.3066613937528,77,-49.1160476714626,-17.280628,0.9548604,6.865469,-38.68246045237714,0.14525558054447174,100.0,14,2.780927851010347,12.097167,16.000364101349838,-21.760073,-0.5265926,-0.03288980229135043,100.0,5,15,-85.53678,0.0,0.001568958003190346,-0.99128616,11.907808,-17.378922,0.6848182214600178,0.8528001,1.461372,1.1317613419824268
-4.24020845270643,-21.615715,-0.9956322,8200,-89.15586,45.29196491606854,-1.2513196,-0.011833041641276482,2.183381986003951,-0.47615161639669756,-550.3890520968515,-21.832117,-6.0062222,0.26862237,-2.839663505554199,-89.26487,-0.037381425,-6.628405719914616,-61.40315537893143,-10.977051220010553,0.61878884,0.1514561800067895,-0.006946298,0.18317157,8200,100,0.84449184,100,-2.853372,2.4910657,10.683085,-47.61516163966978,0.005392243001551833,0.0031110869967960753,100,3.603245,0.34963245099788764,3.6128588,-61.40315537893143,21.096882,5.535603564584104,100,0.40951067,240,-1.0491656,0.0,-0.6140315537893141,24000,-17.205807,-0.10195413,-55.055355896419194,82,-47.61516163966978,-0.22198218,0.9872866,5.9253936,-40.86505671222588,0.12794266641139984,100.0,15,2.695375878007326,10.646331,131.63185383624915,-21.6252,-0.55177456,-0.028701318424674785,100.0,5,15,-83.905365,0.0,0.0024019310003495775,-0.9911544,10.487245,-17.142054,0.6594045822718374,0.9766723,1.8466899,1.6682090306404977
-13.750915491524358,-20.411383,-0.9969249,8700,-71.98124,47.922093657056394,-1.3286802,-0.07157232448193,2.096172840996587,-0.5834916972036224,-63.06714364580311,-20.099577,-3.686382,0.19236773,-2.91642689704895,-71.9782,-0.034362227,-10.185045706166093,-38.273108032024496,-9.814071246174528,0.66435003,0.16714792999846395,-0.038768694,0.16869734,8700,100,0.97673005,100,-2.8241103,2.291152,8.68649,-58.34916972036221,0.004711465997388586,0.0035560530013754033,100,6.3433323,0.3517470750011853,6.3132706,-38.273108032024496,20.51798,19.584148459674896,100,0.39115107,255,-1.1642139,0.0,-0.38273108032024494,25500,-17.665077,-0.117993735,-87.14451905981981,87,-58.34916972036221,-1.139243,0.92828196,6.4870405,-34.808564255818695,0.11261539161205292,100.0,16,2.6253356050001457,8.695716,18.511926818597292,-20.373102,-0.5591775,-0.0077217013543726,100.0,5,15,-73.13284,0.0,0.002000240005145315,-0.9916892,9.217479,-17.689081,1.1873586925589794,0.8147016,1.538953,1.1622328969271805
-1.8926361602097577,-22.316721,-0.99925387,9200,-78.12503,50.53092340104922,-1.4626544,-0.012230133316060337,2.092362242998206,-0.5574328873843141,-56.07472134989748,-22.297216,-2.0586858,0.17724389,-2.3718228340148926,-78.18047,-0.04166548,-9.825019634275042,-19.355429044559212,-10.68978047287837,0.9716306,0.16248816499864915,-0.023101797,0.21983369,9200,100,0.98052114,100,-2.949995,2.2856236,12.219229,-55.74328873843141,0.004662071005441248,0.0033766579945222475,100,3.2173843,0.33896052400086774,3.1885002,-19.355429044559212,22.565863,19.341864861933242,100,0.36532798,270,-1.2427058,0.0,-0.1935542904455921,27000,-17.588116,-0.12461012,-79.08682026468153,92,-55.74328873843141,-0.6680698,0.98049074,7.3506985,-28.839913343532295,0.09959597885608673,100.0,17,2.6044499759955215,12.244856,19.242731838505183,-22.364477,-0.4976312,-0.013591788316608356,100.0,5,15,-79.348625,0.0,0.002600314997835085,-0.9949155,12.522289,-17.5377,1.224927624525005,0.9473118,1.7312719,0.9785977386777044
-11.801889063272457,-21.05536,-0.99863505,9700,-68.06957,53.66737223301607,-1.4903122,-0.04556712170019294,2.44378949500242,-0.5587126904014328,-39.417910454065954,-21.267063,-4.1433287,0.17940083,-2.332514762878418,-68.31273,-0.020923194,-9.881786002500974,-24.501657077525792,-7.281404800059234,1.0401648,0.20085879099497106,-0.023932736,0.22674984,9700,100,0.9781731,100,-2.6999724,1.9848187,8.914323,-55.87126904014328,0.004886867995082866,0.003498440004477743,100,0.39758405,0.47715449899988016,0.4254702,-24.501657077525792,21.550972,17.043565674791672,100,0.35894543,285,-1.2836089,0.0,-0.24501657077525796,28500,-17.516323,-0.2618505,-77.98888600773546,97,-55.87126904014328,-17.38741,0.9798471,6.255318,-35.397538221723714,0.08800473809242249,100.0,18,3.132168627991632,8.933219,8.942666205439135,-21.028667,-0.6102261,-0.024566051873153028,100.0,5,15,-73.22734,0.0,0.0019805349948001094,-0.9932816,9.307199,-17.523506,1.2060143339003138,0.8941704,1.6380215,0.7270375547461903
-16.391330694818333,-20.823854,-0.99874437,10200,-72.60748,56.49189427300735,-1.573183,-0.103973122170535,2.275585126997612,-0.5163456459486249,-59.3145795911161,-20.815,-3.834467,0.1999888,-2.2944202423095703,-72.524086,-0.04078324,-9.29209389864357,-34.70811243668216,-9.50976817190058,1.1004038,0.16459369500080356,-0.025960831,0.23859408,10200,100,0.8317962,100,-2.8445208,2.0941832,10.159206,-51.63456459486248,0.004979707999154925,0.0029427709960145876,100,6.264086,0.3694421549953404,6.1945024,-34.70811243668216,21.225536,15.570891737189468,100,0.35194668,300,-1.3707767,0.0,-0.3470811243668216,30000,-17.301893,-0.17683402,-72.9717798700849,102,-51.63456459486248,-0.8900535,0.9794862,7.000614,-28.2611571610195,0.07802397757768631,100.0,19,2.819626652992156,10.1678915,13.626535528204293,-20.846567,-0.5388273,-0.010764003962251063,100.0,5,15,-76.20586,0.0,0.0020831970032304525,-0.9954092,11.027234,-17.303865,1.0865582500950675,0.8827728,1.6847013,0.992867017187504
