exploration/Num Paths,exploration/Returns Mean,evaluation/Actions Mean,exploration/Returns Std,exploration/num paths total,trainer/QF1 Loss,time/evaluation sampling (s),time/training (s),exploration/Returns Max,exploration/Average Returns,exploration/Actions Std,evaluation/Actions Max,exploration/Returns Min,trainer/Q Targets Mean,trainer/Policy log std Max,trainer/Log Pis Min,time/logging (s),exploration/path length Std,trainer/Q Targets Std,trainer/Q Targets Max,exploration/num steps total,evaluation/Rewards Std,time/exploration sampling (s),evaluation/Returns Std,trainer/Alpha,trainer/Policy mu Mean,trainer/Policy mu Std,exploration/Actions Min,evaluation/num paths total,evaluation/num steps total,time/saving (s),trainer/Alpha Loss,exploration/Rewards Min,evaluation/path length Mean,evaluation/Actions Std,evaluation/Rewards Mean,trainer/Log Pis Mean,evaluation/Returns Max,exploration/Actions Max,evaluation/path length Max,trainer/Q1 Predictions Min,evaluation/Returns Min,trainer/Q Targets Min,trainer/Policy log std Std,trainer/Q1 Predictions Std,trainer/QF2 Loss,exploration/path length Mean,exploration/Actions Mean,evaluation/Returns Mean,trainer/Q2 Predictions Std,evaluation/Average Returns,trainer/Q1 Predictions Mean,trainer/Q2 Predictions Max,evaluation/path length Min,trainer/Q2 Predictions Min,exploration/Rewards Std,evaluation/path length Std,trainer/Log Pis Std,trainer/Q1 Predictions Max,replay_buffer/size,trainer/Policy mu Max,time/total (s),trainer/Policy log std Min,evaluation/Num Paths,trainer/Log Pis Max,exploration/Rewards Mean,time/data storing (s),exploration/path length Max,evaluation/Rewards Min,trainer/Policy log std Mean,exploration/Rewards Max,trainer/Q2 Predictions Mean,evaluation/Actions Min,evaluation/Rewards Max,time/epoch (s),Epoch,trainer/Policy Loss,trainer/Policy mu Min,exploration/path length Min
5,-67.41418312034057,0.045666955,16.57932990877485,57,6.2933593,0.36652110300201457,2.2715740200001164,-49.33580491856882,-67.41418312034057,0.47764,0.9804536,-93.49879763562022,-28.846375,-0.485192,-3.771114,0.005939771006524097,0.0,11.056006,-0.5001831,5700,1.281459892475607,0.166725569004484,20.92640604853129,0.2503449320793152,0.2317465,0.7934893,-0.91325825,165,16500,0.0025678699967102148,-2.6911160945892334,-8.045414518944762,100.0,0.19793357,-0.38626551763928935,0.056445792,-12.246363855401063,0.99201864,100,-78.44623,-69.12512564926918,-81.37837,0.05696418,10.421544,6.3118424,100.0,0.033071,-38.62655176392894,10.392553,-38.62655176392894,-28.605982,-23.723677,100,-78.436424,0.7816353541299812,0.0,1.4532998,-23.77357,5700,2.3383043,30.311365990062768,-0.796636,15,5.573147,-0.6741418312034057,0.003170454998326022,100,-11.691632492031626,-0.6956711,-0.008631804396284219,-28.599384,-0.8944404,-0.03956650536454157,2.8164987880081753,10,27.66026,-1.4462675,100
5,-68.20967040657446,0.039318025,14.849789806424301,62,6.4131923,0.37954932499997085,2.508863327995641,-52.55376631795756,-68.20967040657446,0.47432277,0.9839176,-95.35583204200815,-29.71745,-0.5716082,-2.9867532,0.005331915002898313,0.0,11.882466,-0.7657924,6200,1.0472820871567226,0.1675359799992293,16.063338149977,0.2187197208404541,0.29834348,0.84549105,-0.9185004,180,18000,0.0021765819983556867,-2.986786127090454,-10.41045270395683,100.0,0.1762261,-0.3272150218469402,0.034601137,-11.485579620991544,0.99766165,100,-81.2962,-57.045758390053045,-81.076164,0.08154829,11.675197,6.415445,100.0,0.03800304,-32.72150218469402,11.645953,-32.72150218469402,-29.720825,-24.396915,100,-80.98846,0.9753374137403819,0.0,1.5660771,-24.37398,6200,2.4727612,33.383743636048166,-0.9296063,15,5.375263,-0.6820967040657446,0.003469891002168879,100,-9.041163398423473,-0.7628198,-0.04680741241421901,-29.730669,-0.85935134,-0.10441128114387381,3.066927020998264,11,28.454834,-1.5845217,100
5,-66.04771425430158,0.045461547,12.122330942328706,67,0.7468898,0.40282380799908424,2.3456038930016803,-50.420445799181415,-66.04771425430158,0.43468642,0.98663425,-84.9459242616292,-30.461842,-0.5666507,-2.9749177,0.005224592001468409,0.0,11.534031,-24.382893,6700,1.220914220373474,0.17280656599905342,16.801078280235252,0.19190047681331635,0.3894817,0.9250971,-0.9816105,195,19500,0.002079287005471997,-2.2061519622802734,-8.503318617139291,100.0,0.20499144,-0.4820727968395228,0.66336256,-23.23929807300993,0.9953381,100,-78.491974,-72.99527398841641,-82.77637,0.10209011,10.99195,0.76882076,100.0,0.035012335,-48.20727968395227,11.002684,-48.20727968395227,-29.965872,-24.300262,100,-78.693756,0.930597614332137,0.0,1.7918658,-24.34016,6700,2.4724102,36.3200001940495,-1.0448426,15,5.7125688,-0.6604771425430159,0.003020460993866436,100,-11.103483287070656,-0.85712737,-0.005986269151814259,-29.964842,-0.8602774,-0.1043025983782762,2.9315586070006248,12,29.216393,-1.5737692,100
5,-59.46785786133974,0.048425395,11.135440888918819,72,12.138459,0.40618509000341874,2.13682940700528,-41.12400316908177,-59.46785786133974,0.42611033,0.9894833,-75.31692754547201,-28.676031,-0.5777434,-4.0319266,0.005138700005772989,0.0,11.722946,-1.1678128,7200,1.1949508304452234,0.16718851100449683,12.909193924531642,0.16981753706932068,0.29413706,0.84475654,-0.9732388,210,21000,0.013968871004180983,-2.663339614868164,-7.7918707392327144,100.0,0.21345402,-0.45327474414837804,0.49767095,-20.205823412893384,0.9954546,100,-75.33392,-67.65819510241238,-76.524185,0.11898608,10.724305,12.105673,100.0,0.025750687,-45.327474414837816,10.713477,-45.327474414837816,-28.925764,-24.495707,100,-75.26217,0.8916934868213094,0.0,1.625638,-24.537674,7200,2.6658206,39.057592202058004,-1.1768602,15,5.616249,-0.5946785786133973,0.0031360720022348687,100,-11.008866278589544,-0.9841271,-0.010630956317155759,-28.923725,-0.92204183,-0.15352547503157093,2.732446651025384,13,28.130726,-1.6368632,100
5,-53.01051128546428,0.0417125,17.233329712685183,77,11.985685,0.35779255099623697,2.0875503229981405,-36.68213996482986,-53.01051128546428,0.40685508,0.99024594,-78.97929720919366,-31.929678,-0.52407473,-1.735153,0.005052626998804044,0.0,15.464725,-0.94625413,7700,1.0684299774965793,0.16072896900004707,14.476548054934302,0.15106119215488434,0.58433807,0.9991631,-0.948018,225,22500,0.002102814003592357,-1.3873263597488403,-8.831662680465005,100.0,0.19049102,-0.3019503625125236,1.2659112,-9.48297710030068,0.9983417,100,-85.4054,-59.997361992049186,-82.320694,0.18038365,14.963679,11.816746,100.0,0.031664576,-30.19503625125236,14.955433,-30.19503625125236,-32.134514,-24.222063,100,-85.31651,0.9664654847456372,0.0,1.6503029,-24.241838,7700,2.7617729,41.6789427450567,-1.2727581,15,5.8511524,-0.5301051128546429,0.003005144993949216,100,-11.079709354693247,-1.0100845,-0.02376479243217423,-32.136593,-0.75901526,-0.06661457298842144,2.61623242899077,14,31.88258,-1.6452736,100
5,-48.01775446611815,0.039067466,13.601981126433179,82,0.6524415,0.3564084099998581,2.063004755000293,-31.65849155904126,-48.01775446611815,0.37511277,0.9917001,-67.56826620520717,-28.249008,-0.49578565,-5.81571,0.0054117850013426505,0.0,8.563854,-23.93095,8200,1.1042159647828855,0.15411305500310846,17.470439047273473,0.13476036489009857,0.28975525,0.9051591,-0.90124756,240,24000,0.0020126719973632134,-2.5955567359924316,-9.13389495114395,100.0,0.19260655,-0.29176093929756347,0.70483994,-7.125207955444656,0.9969839,100,-69.95293,-62.04083138096446,-70.802475,0.20045175,8.420598,0.63717216,100.0,0.036626518,-29.176093929756355,8.416019,-29.176093929756355,-27.610432,-23.600851,100,-69.92963,0.8729481123160218,0.0,1.5553942,-23.541183,8200,2.6215253,44.26748398505151,-1.4033693,15,5.3115044,-0.48017754466118157,0.0028839340011472814,100,-11.632704929550043,-1.1369812,-0.014572345029894256,-27.614294,-0.93609387,-0.031026938652287856,2.5838346110031125,15,27.047213,-1.7236893,100
5,-56.94996115254931,0.029415442,17.539292903334545,87,11.618613,0.3543446139956359,2.05777764099912,-28.95769886837422,-56.94996115254931,0.37314606,0.99284047,-82.83436299905144,-27.981699,-0.57089293,-3.3757634,0.004226995995850302,0.0,10.6211195,-0.7092254,8700,0.9344654059707369,0.1533982550026849,15.113854243897874,0.12104005366563797,0.26348764,0.9671635,-0.9288989,255,25500,0.0015732519968878478,-2.1794235706329346,-11.181173022062946,100.0,0.18473123,-0.27585268034058946,0.96779287,-11.4591946012305,0.9968941,100,-82.143715,-50.05011260451413,-81.08807,0.24243358,10.135969,11.477548,100.0,0.045518037,-27.585268034058945,10.121108,-27.585268034058945,-28.152153,-23.339167,100,-82.04895,1.2461441864010958,0.0,1.5188347,-23.24717,8700,2.8125684,46.84713681105495,-1.5165887,15,4.954643,-0.569499611525493,0.00343724200502038,100,-9.633310168103009,-1.2095923,-0.0035668885801753707,-28.151928,-0.95613956,-0.043934453267556475,2.5747579999951995,16,27.844028,-1.7554,100
5,-44.01522250719701,0.03495984,16.096031745606236,92,0.14869641,0.35496956700080773,2.066734264000843,-32.262355206981496,-44.01522250719701,0.34798518,0.9942154,-73.62836484411994,-27.24039,-0.46324748,-3.2898765,0.004915577999781817,0.0,9.629556,-23.221977,9200,1.0068517746719725,0.1538061379978899,14.635829318492428,0.10853106528520584,0.14459567,0.9665181,-0.95933765,270,27000,0.00230122399807442,-1.518280029296875,-8.96779862719795,100.0,0.1946075,-0.3735852713287095,1.3162477,-18.312308416916675,0.99789035,100,-85.74662,-61.12999398420209,-86.782974,0.25200942,9.540465,0.1538218,100.0,0.015132622,-37.358527132870954,9.552042,-37.358527132870954,-27.043995,-23.120176,100,-86.25639,0.8003649691802662,0.0,1.6587243,-23.069136,9200,2.9544256,49.43773804403463,-1.5345733,15,7.057063,-0.44015222507197016,0.003122916998108849,100,-9.839189118003636,-1.2989658,-0.01122284103397071,-27.036507,-0.94214976,-0.10367330400034383,2.5858496879955055,17,27.274014,-1.885756,100
5,-64.15392658174432,0.028385265,13.136642005724777,97,5.2466593,0.3627619879989652,2.066123697004514,-47.99665653909916,-64.15392658174432,0.35510707,0.994981,-80.93392817807485,-26.171537,-0.5345676,-2.9900527,0.005357877998903859,0.0,8.969065,-0.06145656,9700,0.9225996675600847,0.1672611699978006,14.77438866375712,0.09820559620857239,0.15727386,0.94450694,-0.92958254,285,28500,0.002056616998743266,-2.3017280101776123,-10.875649683743514,100.0,0.18329477,-0.37314646628575715,1.0080816,-19.869990212782447,0.99796224,100,-64.72708,-62.38381430696839,-64.78013,0.27726108,8.647186,5.298023,100.0,0.04487026,-37.314646628575716,8.643522,-37.314646628575716,-26.274347,-22.631447,100,-64.78446,1.373807285782525,0.0,1.5780658,-22.624252,9700,2.7571073,52.048617557040416,-1.5788333,15,5.8319383,-0.641539265817443,0.0029002860028413124,100,-8.7413653315208,-1.3018712,-0.019057522174489264,-26.276453,-0.94919395,-0.07610671417495837,2.606461636001768,18,26.37352,-1.9881976,100
5,-43.010513625938756,0.023869418,11.12767899328865,102,5.107662,0.3597160849967622,2.1179685899987817,-27.926716620522384,-43.010513625938756,0.34278965,0.99438554,-57.150879239011225,-24.94909,-0.5206083,-5.511137,0.004616220001480542,0.0,8.555959,-0.4608725,10200,0.7578033111105386,0.15761626599851297,12.898884257825687,0.08764749765396118,0.12839398,0.9350971,-0.8155692,300,30000,0.0020324420038377866,-2.011991262435913,-7.728424774408568,100.0,0.16653045,-0.20451212003352112,1.1734471,-8.454886490572944,0.99732524,100,-80.16098,-52.36387167923154,-80.96043,0.28102627,8.074943,5.050735,100.0,0.03941647,-20.45121200335211,8.100675,-20.45121200335211,-24.643915,-21.820312,100,-80.779495,0.8352599715409438,0.0,1.6740338,-21.821804,10200,3.0932124,54.69817393604899,-1.6135246,15,7.0529966,-0.43010513625938757,0.002998992997163441,100,-9.902472360103209,-1.3179611,-0.02224590387425534,-24.648384,-0.96025157,-0.024634299540612678,2.6449485959965386,19,24.803125,-2.0083656,100
