exploration/path length Std,evaluation/Average Returns,evaluation/Actions Std,trainer/Q1 Predictions Std,trainer/Log Pis Max,exploration/path length Max,exploration/Actions Mean,time/total (s),exploration/num paths total,time/evaluation sampling (s),time/data storing (s),exploration/path length Min,trainer/QF1 Loss,trainer/Alpha Loss,trainer/Policy log std Min,evaluation/path length Mean,time/epoch (s),Epoch,trainer/Log Pis Std,evaluation/Actions Mean,exploration/Returns Std,exploration/Rewards Std,trainer/Policy log std Max,exploration/Rewards Mean,trainer/Q1 Predictions Max,evaluation/Rewards Std,evaluation/Rewards Min,evaluation/Actions Max,evaluation/Num Paths,trainer/Policy mu Std,evaluation/path length Min,time/saving (s),exploration/Actions Min,trainer/Log Pis Min,trainer/Alpha,trainer/Policy Loss,evaluation/Actions Min,evaluation/Rewards Max,time/training (s),trainer/QF2 Loss,evaluation/num paths total,exploration/Average Returns,trainer/Q2 Predictions Std,exploration/Returns Mean,evaluation/Returns Std,exploration/Num Paths,exploration/Actions Max,trainer/Policy mu Min,trainer/Q1 Predictions Mean,exploration/Rewards Max,trainer/Log Pis Mean,exploration/Rewards Min,trainer/Policy log std Std,exploration/path length Mean,exploration/num steps total,exploration/Actions Std,trainer/Q2 Predictions Mean,trainer/Policy log std Mean,time/exploration sampling (s),exploration/Returns Min,time/logging (s),evaluation/Returns Min,trainer/Policy mu Mean,replay_buffer/size,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q Targets Mean,trainer/Policy mu Max,trainer/Q2 Predictions Min,evaluation/path length Std,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Q1 Predictions Min,evaluation/path length Max,evaluation/Returns Max,exploration/Returns Max,trainer/Q Targets Max,evaluation/Returns Mean,evaluation/Rewards Mean
0.0,-18.61802188460892,0.14007144,8.137423,3.816859,100,-0.01788777,28.807771305015194,57,0.34743361300206743,0.0029354400030570105,100,0.52248424,-2.309098482131958,-0.9560519,100.0,2.560109862999525,10,1.178509,-0.008717702,12.883779851663325,1.126285850547433,-0.488344,-0.7121302859722098,-19.429174,0.6643966577800908,-8.194339205865012,0.9688439,15,0.86320454,100,0.0019897880047210492,-0.9979317,-2.5476131,0.253846675157547,23.059258,-0.9818265,-0.04095179641536383,2.0480653799968422,0.5478425,165,-71.213028597221,8.1180105,-71.213028597221,11.868967984709737,5,0.996585,-2.3936532,-23.851229,-0.04842763312035341,0.3154631,-8.588209858916985,0.1052066,100.0,5700,0.440799,-23.8474,-0.8541111,0.1549717129964847,-84.05198171400436,0.004713928996352479,-46.63829714759998,-0.04518671,5700,-71.1214,8.2357,-24.24558,2.1382048,-67.21105,0.0,16500,-19.42854,-67.56122,100,-7.904120139478041,-52.9244311426878,-19.453228,-18.61802188460892,-0.18618021884608918
0.0,-16.937873493465567,0.17145416,8.522037,6.270887,100,-0.015360523,31.389931060031813,62,0.342904395001824,0.0035647100012283772,100,5.0996704,-2.4946582317352295,-1.0557016,100.0,2.5774493150165654,11,1.6159796,0.0038550275,11.314607029708874,0.8133224487534485,-0.41834286,-0.5793168016736856,-19.823702,0.7954522045992268,-9.06899835422882,0.9781723,15,0.8722371,100,0.0016178720034076832,-0.99363446,-4.4007516,0.22274301946163177,23.371588,-0.9793088,-0.016976523431314058,2.056225070002256,5.086869,180,-57.931680167368576,8.517551,-57.931680167368576,10.84986594857806,5,0.9934562,-2.341505,-24.269245,-0.012898307133557975,0.33854836,-9.087351306249762,0.13897364,100.0,6200,0.41581875,-24.253572,-0.88417006,0.16830458600452403,-79.03391128182196,0.004832682003325317,-39.87852614854444,0.07973603,6200,-70.95908,9.324907,-24.399172,2.1119995,-66.08832,0.0,18000,-19.77184,-66.39918,100,-2.2793139467868415,-45.6754433908998,-0.6271742,-16.937873493465567,-0.16937873493465563
0.0,-30.458040883933222,0.19990781,8.859228,4.3267508,100,0.017817276,33.96601809201093,67,0.3505526250010007,0.0028597939963219687,100,4.5077195,-2.4494340419769287,-1.2033942,100.0,2.5715291169908596,12,1.3668154,-0.0045985347,11.125507230341434,1.0758274744351197,-0.43134513,-0.5988904837067316,-19.917171,1.1694414787138392,-11.49453614389268,0.98660064,15,0.8965017,100,0.0020388269986142404,-0.9938867,-2.8530123,0.19610531628131866,23.626232,-0.9896108,-0.053853025106263754,2.053687428997364,4.53344,195,-59.88904837067315,8.861282,-59.88904837067315,16.76076772845744,5,0.99340755,-2.439445,-24.04328,-0.01802210225608357,0.49622673,-8.753415772796236,0.166301,100.0,6700,0.40730387,-24.042995,-0.9940166,0.15750778700021328,-74.94581999255836,0.004882654997345526,-59.97089050688459,0.039242357,6700,-72.86732,9.3112,-24.010735,2.2244096,-74.109085,0.0,19500,-19.880978,-74.23086,100,-5.965062156865657,-42.71160424591166,-0.96618325,-30.458040883933222,-0.30458040883933224
0.0,-40.022444931475725,0.21114032,11.482628,5.684085,100,0.0006717563,36.53777397102385,72,0.34938022900314536,0.0030637900053989142,100,0.6219349,-1.773064136505127,-1.3087723,100.0,2.567360308014031,13,1.5760971,0.0055364333,6.5104631628194385,1.1181962030270853,-0.53678143,-0.6306451976904498,-19.493586,1.2019098285567105,-10.779994337161886,0.9866741,15,0.936711,100,0.0019810170051641762,-0.9975477,-1.8803971,0.173463374376297,24.625055,-0.99034643,-0.10253551702254403,2.0495234840054763,0.5651132,210,-63.06451976904498,11.439751,-63.06451976904498,15.74318592928176,5,0.9977158,-2.6022902,-25.105762,-0.009264014851618384,0.987729,-8.487442707691324,0.21062559,100.0,7200,0.40224144,-25.102549,-1.0856678,0.15899461299704853,-71.95137539798897,0.0044171749977977015,-62.34042268030746,-0.061904073,7200,-71.28804,11.156255,-25.303816,2.306809,-75.84047,0.0,21000,-19.54536,-76.12143,100,-14.541573282534838,-54.042005382428506,-19.62276,-40.022444931475725,-0.4002244493147573
0.0,-38.12688952877698,0.18802337,5.6046586,3.7153168,100,0.01021883,39.13978540702374,77,0.34547242499684216,0.0033943750022444874,100,10.902913,-2.346404790878296,-1.3589967,100.0,2.5971321670003817,14,1.1164669,0.017450478,16.166243609473707,1.0340298740922638,-0.4074547,-0.5528044458815838,-19.35236,0.9255205645106805,-8.781913529870913,0.98771036,15,0.81606376,100,0.002064350002910942,-0.9907132,-3.2456975,0.1537725180387497,21.965847,-0.9789714,-0.026623489921959308,2.0716924630032736,10.929029,225,-55.28044458815839,5.6187057,-55.28044458815839,11.00700012384352,5,0.99811095,-2.397866,-22.117474,-0.006870948505178331,0.74660754,-9.523264485541397,0.21080486,100.0,7700,0.38036576,-22.096237,-1.1466566,0.16962150399922393,-76.86792900157452,0.004887049995886628,-56.63865081071316,0.09865305,7700,-59.688717,5.5345263,-22.050413,2.3715038,-60.80295,0.0,22500,-19.38514,-60.65408,100,-20.374409537953305,-36.51097971479262,-5.6828237,-38.12688952877698,-0.3812688952877698
0.0,-31.39770192532132,0.18509203,5.2916603,4.5395,100,-0.0067726416,41.720700520025275,82,0.3489675029995851,0.0031833719986025244,100,0.17023034,-2.796098232269287,-1.5160143,100.0,2.5764958519939682,15,1.3483456,-0.013869972,10.269480651645587,0.9606438044386241,-0.5086739,-0.5080240775160687,-19.255255,0.8888610639819753,-9.840805310057295,0.98593694,15,0.7632878,100,0.0019973779999418184,-0.99840724,-3.1637046,0.1365932673215866,21.545559,-0.9898739,-0.0658078938324588,2.0585667790001025,0.1753226,240,-50.80240775160686,5.2813177,-50.80240775160686,12.846733007053995,5,0.9984003,-2.6337955,-21.675537,-0.007509495740106835,0.59527755,-8.238453714994469,0.2282986,100.0,8200,0.35406813,-21.67431,-1.2983878,0.15901696900255047,-64.78772391152636,0.00476385099318577,-55.02296539967121,0.049423512,8200,-55.839664,5.234056,-21.798376,2.419621,-56.02016,0.0,24000,-19.291525,-56.253204,100,-14.707293727516474,-33.19935187559674,-19.399609,-31.39770192532132,-0.31397701925321325
0.0,-20.73924574977861,0.15846194,11.028597,7.094093,100,-0.0083242785,44.2925997420316,87,0.34512055599770974,0.0032403789955424145,100,0.17806125,-1.8792208433151245,-1.5337323,100.0,2.568273609998869,16,1.4088435,-0.0003861173,11.606121439723603,1.289502185604631,-0.45574605,-0.5914744192422653,-19.214743,0.6794904645273495,-8.208787618935812,0.9884204,15,0.95661104,100,0.0022758060003980063,-0.9967281,-1.2335534,0.12127064913511276,24.043158,-0.98747337,-0.07225583601298376,2.0571321620009257,0.16335748,255,-59.14744192422653,11.036382,-59.14744192422653,11.962212761322872,5,0.9932276,-2.8658545,-24.212307,-0.026131271325439957,1.1091602,-10.611999264383376,0.2848276,100.0,8700,0.35220623,-24.188465,-1.2642664,0.15675015300075756,-73.68561226015647,0.0037545540035353042,-44.01859380702573,-0.12780471,8700,-70.7029,11.253268,-24.296692,2.4311934,-70.3128,0.0,25500,-19.209116,-70.398476,100,-9.920206215235838,-41.27333618318057,-19.073404,-20.73924574977861,-0.20739245749778612
0.0,-31.632390747538366,0.19894247,7.3142395,5.2828736,100,-0.020766135,46.87609197302663,92,0.34614138399774674,0.0035531909961719066,100,0.49501795,-2.419374465942383,-1.5811182,100.0,2.5791181619933923,17,1.858676,-0.0018704974,12.23393008567953,1.0456370365158651,-0.440912,-0.5227837845680534,-18.430807,0.9915904155283218,-11.566625455443122,0.9939321,15,0.9561711,100,0.0021374589996412396,-0.9982554,-7.047477,0.10778337717056274,22.055588,-0.99499977,-0.11948567194030182,2.064623266000126,0.50160766,270,-52.27837845680533,7.2961144,-52.27837845680533,13.448535198206963,5,0.98700136,-2.9686456,-21.780842,-0.026215667677480316,0.91381705,-8.726073525401628,0.29189184,100.0,9200,0.33776107,-21.773727,-1.2930267,0.15783741799532436,-67.32893169857627,0.004825444004382007,-65.5227118742539,-0.11127136,9200,-70.09986,7.47356,-22.352695,2.506358,-67.54866,0.0,27000,-18.436647,-67.64218,100,-13.070271564065408,-40.55307085273235,-18.880161,-31.632390747538366,-0.31632390747538364
0.0,-20.43342379156359,0.15946285,3.9856172,5.5697155,100,-0.0060335468,49.461129009047,97,0.34348514299927047,0.003044901000976097,100,0.085282825,-1.9195382595062256,-1.5972658,100.0,2.580900285000098,18,1.3886226,0.0035770829,13.31081349386777,1.0287306731097796,-0.5327842,-0.4617292228861437,-18.720325,0.8021851033877191,-10.022841268859095,0.99440116,15,0.8051707,100,0.011153895000461489,-0.9985289,-2.628375,0.09587135910987854,21.082327,-0.99431187,-0.03422392524621686,2.0620694480021484,0.08507343,285,-46.17292228861437,3.9764616,-46.17292228861437,14.81622008913251,5,0.9973194,-2.65562,-20.645554,-0.018549260901114417,1.1812651,-10.058448868973215,0.25820264,100.0,9700,0.3374983,-20.649527,-1.3797187,0.15635242500138702,-68.95333295875804,0.0047944729958544485,-52.739750066182346,0.034548093,9700,-47.258385,3.9054708,-20.63507,2.4436185,-48.199055,0.0,28500,-18.718964,-48.25336,100,-7.386066131442047,-28.06042050139259,-18.560991,-20.43342379156359,-0.20433423791563587
0.0,-35.5411705233045,0.19225317,7.520747,6.1735992,100,0.017222619,52.024356099056604,102,0.34306811400165316,0.002870626005460508,100,0.17294584,-1.247650146484375,-1.6776568,100.0,2.558769385010237,19,1.5558714,-0.008982035,7.804200050665481,0.9072054981982859,-0.54060566,-0.4511150457433317,-18.201963,0.9787833124119606,-9.781152150287436,0.9928169,15,0.9299571,100,0.002107936001266353,-0.9935092,-3.2605581,0.08598318696022034,21.648907,-0.9939277,-0.10203871239602534,2.0505862850041012,0.16338404,300,-45.111504574333175,7.507942,-45.111504574333175,15.103740965937526,5,0.9965939,-2.936348,-21.167183,-0.01208492699263245,1.4914622,-7.471517556426298,0.3025922,100.0,10200,0.31025228,-21.181778,-1.4087744,0.15529754899762338,-56.98653346246959,0.004838875000132248,-57.826826515147786,0.059077114,10200,-71.17142,7.339115,-21.437132,2.3111444,-72.65929,0.0,30000,-18.193409,-72.85562,100,-16.96860478284424,-34.87396075119217,-18.355762,-35.5411705233045,-0.3554117052330449
