trainer/Policy mu Std,exploration/Returns Min,time/logging (s),trainer/Policy mu Mean,exploration/num steps total,exploration/Rewards Mean,evaluation/Returns Max,replay_buffer/size,exploration/num paths total,time/evaluation sampling (s),evaluation/Actions Mean,evaluation/Actions Min,evaluation/path length Min,trainer/Log Pis Std,trainer/Alpha,exploration/Rewards Max,exploration/Actions Std,exploration/Rewards Min,evaluation/Rewards Min,evaluation/Average Returns,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,exploration/Returns Mean,exploration/Num Paths,trainer/Policy log std Mean,exploration/Actions Max,exploration/Rewards Std,time/data storing (s),exploration/path length Min,exploration/path length Std,trainer/Q1 Predictions Std,trainer/Q Targets Std,trainer/Q2 Predictions Max,exploration/Actions Min,trainer/Policy log std Min,time/saving (s),exploration/path length Max,evaluation/Rewards Std,trainer/Log Pis Min,exploration/Actions Mean,evaluation/Returns Std,evaluation/path length Std,Epoch,evaluation/num paths total,trainer/Q2 Predictions Min,trainer/QF2 Loss,exploration/path length Mean,evaluation/num steps total,time/total (s),trainer/Alpha Loss,trainer/QF1 Loss,exploration/Returns Max,trainer/Policy log std Std,trainer/Log Pis Max,trainer/Q2 Predictions Std,evaluation/path length Mean,trainer/Q Targets Max,evaluation/Actions Std,trainer/Policy mu Min,trainer/Q1 Predictions Mean,evaluation/Rewards Mean,trainer/Policy mu Max,evaluation/Rewards Max,exploration/Average Returns,evaluation/Returns Mean,time/training (s),evaluation/Actions Max,trainer/Q Targets Min,time/exploration sampling (s),trainer/Q Targets Mean,exploration/Returns Std,trainer/Q1 Predictions Max,evaluation/Num Paths,trainer/Policy log std Max,time/epoch (s),evaluation/path length Max,evaluation/Returns Min,trainer/Log Pis Mean,trainer/Policy Loss
0.8870458,-231.61583383285392,0.0052390760101843625,0.1311665,5700,-1.131385057138877,-48.39974204017953,5700,57,0.3585487969976384,-0.004395268,-0.98670083,100,1.2683104,0.2666524648666382,-0.04047843950697982,0.41626495,-10.062762414162032,-10.421894941104624,-135.05655741606367,-97.39105,-44.9242,-113.13850571388768,5,-0.7841803,0.9944072,1.1471963078638385,0.0032252180099021643,100,0.0,23.019316,23.675732,-12.465313,-0.99424446,-1.1422371,0.0021767549915239215,100,1.2270327441644509,-1.8617173,-0.014300841,78.39610884786654,0.0,10,165,-95.88068,88.60548,100.0,16500,29.740652775130002,-2.6027932167053223,88.82502,-72.3908955602426,0.17519444,4.8159294,22.967539,100.0,-0.6906012,0.1792459,-2.0301445,-44.950855,-1.3505655741606366,2.2372708,-0.40234040195692156,-113.13850571388768,-135.05655741606367,2.119046391977463,0.9782513,-99.75093,0.16439768599229865,-43.92531,60.57985995751406,-12.460171,15,-0.47668543,2.6526339239790104,100,-235.01250452524567,0.030486284,43.624813
0.95001453,-221.37245990921636,0.004841685993596911,0.25866318,6200,-1.0728679170307984,-26.469552180986017,6200,62,0.3679566119972151,-0.0011793224,-0.9891298,100,1.4810838,0.23375776410102844,-0.06171609228725797,0.44694418,-5.309361475819712,-9.65118390454354,-114.85870773939665,-115.79038,-50.746838,-107.28679170307984,5,-0.8425126,0.977127,0.8223553536679947,0.003121982008451596,100,0.0,25.954596,26.98088,-13.377949,-0.98858875,-1.3019218,0.0019598070066422224,100,1.1364404837504034,-2.2956073,0.0014742446,62.848894798006356,0.0,11,180,-116.254654,50.82064,100.0,18000,32.47052581809112,-2.298851728439331,50.358196,-55.61670614770033,0.23174687,5.3580647,25.908562,100.0,-2.2979474,0.18740728,-2.1955173,-50.746716,-1.1485870773939664,2.3732562,-0.23354911112558627,-107.28679170307984,-114.85870773939665,2.181489120994229,0.9750001,-118.16928,0.16589556497638114,-50.356953,59.05467970037751,-13.417824,15,-0.44517517,2.725264772976516,100,-234.68713930927652,0.4180833,49.54158
0.9561911,-192.45887315160863,0.004762976983329281,0.20526986,6700,-1.0602720530260716,-26.770968338471587,6700,67,0.36117845799890347,-0.0120249875,-0.9927644,100,1.6308291,0.2056976854801178,-0.0033201758829640364,0.44459867,-9.550970785287795,-8.3485092452938,-57.8847409822639,-117.02094,-49.840153,-106.02720530260717,5,-0.9044126,0.997961,1.3026809458921083,0.003154882986564189,100,0.0,25.9102,26.324482,-13.950847,-0.99642444,-1.3708882,0.0019536839972715825,100,0.7829870178296097,-3.8870792,0.0027067852,30.85167728915094,0.0,12,195,-117.44345,8.342764,100.0,19500,35.14311644501868,-2.184235095977783,8.371532,-65.73903877098135,0.21181451,6.332629,25.879854,100.0,-2.1453311,0.16696417,-2.3988137,-49.786674,-0.5788474098226389,2.402707,-0.15860380207343336,-106.02720530260717,-57.8847409822639,2.1381368889997248,0.9616678,-116.69916,0.15859634400112554,-49.74414,45.92682919109497,-13.80664,15,-0.527186,2.667783234966919,100,-161.56630213547555,0.6185261,49.046875
0.9280154,-189.57223657096407,0.0037205830158200115,0.31377968,7200,-0.9190122348106337,-42.20571980857375,7200,72,0.35710397601360455,0.013835211,-0.99599886,100,1.6035804,0.18219679594039917,-0.025341236826943666,0.40601337,-7.191899343961651,-10.887544649101132,-127.23415363343453,-103.34708,-48.147655,-91.90122348106338,5,-0.98855484,0.988278,0.8292247355995636,0.0035482240200508386,100,0.0,23.44495,23.969353,-14.810641,-0.97850674,-1.4147019,0.001867451996076852,100,1.199661108612226,-3.420681,0.013987371,61.21067578426897,0.0,13,210,-103.58616,8.003287,100.0,21000,37.87653780108667,-2.4144480228424072,7.8630824,-56.35599836120175,0.21433547,5.5479193,23.422346,100.0,-0.16098316,0.19546336,-2.169012,-48.170586,-1.272341536334345,2.6008098,-0.11470060192738404,-91.90122348106338,-127.23415363343453,2.203367118985625,0.99103576,-106.90262,0.15942083499976434,-48.359066,49.91286958131528,-14.6679,15,-0.5924762,2.7290281890309416,100,-206.93831913094024,0.58176744,47.339584
0.96751523,-128.2344298525323,0.0055070559901650995,0.32775438,7700,-0.9051738537416922,-32.32153589567319,7700,77,0.3551718419766985,-0.015274012,-0.992324,100,1.3695698,0.16225989162921906,-0.028969731339733133,0.37248978,-8.710613075148014,-10.776484251153336,-108.26451566758037,-109.119606,-45.640274,-90.51738537416921,5,-1.0403343,0.9950016,0.9601922348868389,0.003291305009042844,100,0.0,23.365208,24.304153,-15.541276,-0.99663526,-1.4513271,0.002039190992945805,100,1.026018608527157,-2.8258586,0.020517036,60.441954947142314,0.0,14,225,-108.9576,85.894485,100.0,22500,40.539001646102406,-2.0290327072143555,86.1971,-57.810018494123575,0.22785236,4.4313235,23.385801,100.0,-2.476738,0.16561924,-2.3626213,-45.658424,-1.0826451566758037,2.499494,-0.29096737583603266,-90.51738537416921,-108.26451566758037,2.1333041100006085,0.97493243,-111.32987,0.1591653560171835,-45.03646,27.351749992294156,-15.5145235,15,-0.49902615,2.6584788599866442,100,-188.61875282821177,0.88412887,45.527412
1.1498637,-189.2660887287419,0.005321008007740602,0.26553726,8200,-0.9708519689633546,-37.39802689436706,8200,82,0.36571656400337815,0.018583588,-0.9938342,100,2.0249124,0.14487114548683167,-0.017897998605906764,0.3396479,-8.616283567582993,-10.762061192422538,-115.45785105474336,-122.34702,-48.97239,-97.08519689633545,5,-1.0588005,0.9966397,1.050191224353873,0.0030915050010662526,100,0.0,26.430134,26.98177,-16.663078,-0.9938192,-1.4815235,0.002080315025523305,100,1.0175522065031337,-5.7884336,0.0030871648,57.64736535968902,0.0,15,240,-123.11765,1.9061208,100.0,24000,43.2887241631106,-1.3758876323699951,1.9590771,-49.27777991247454,0.27752843,6.8169756,26.471632,100.0,-16.352434,0.18753219,-2.6812642,-48.97006,-1.1545785105474335,2.8001666,-0.2875581345003283,-97.08519689633545,-115.45785105474336,2.2070881679828744,0.9904382,-126.04153,0.16176405199803412,-49.82311,50.523036833576654,-16.460993,15,-0.45757586,2.745061612018617,100,-193.78348382196552,1.2877288,48.5178
0.96906185,-175.6615158134364,0.004626155976438895,0.24370952,8700,-1.5071390939937905,-41.33315513917398,8700,87,0.3721830509894062,0.016488643,-0.9964785,100,1.8793947,0.12929590046405792,-0.08784475663322662,0.35243833,-10.370634415969093,-10.622403701807007,-107.08221469120339,-99.01186,-43.430126,-150.71390939937905,5,-1.2105237,0.9882653,1.0263778341838956,0.003075966000324115,100,0.0,22.520662,22.829115,-16.689978,-0.99383956,-1.6958337,0.011502806009957567,100,1.0895875215604052,-6.098505,0.001514906,50.975726007489335,0.0,16,255,-99.04037,7.255691,100.0,25500,46.01925075610052,-1.9250106811523438,7.2582364,-96.07150216699326,0.25884688,6.5201597,22.558382,100.0,-1.3997402,0.24923676,-2.3464491,-43.41732,-1.0708221469120336,2.5223105,-0.3295737834029065,-150.71390939937905,-107.08221469120339,2.170201367989648,0.9874648,-100.1144,0.16444623601273634,-43.155636,28.080626904675274,-16.671217,15,-0.5442912,2.7260355829785112,100,-180.66912011173,1.0588757,43.06185
1.1077229,-207.0374719414566,0.00514044999727048,0.26659557,9200,-1.3235177645338068,-26.267315620984498,9200,92,0.35970324400113896,0.0016286873,-0.9969914,100,2.0000257,0.11646698415279388,-0.022033607305613514,0.3285749,-8.333306697781257,-9.775650799426687,-106.58013034073103,-121.646065,-49.275566,-132.35177645338067,5,-1.161227,0.99593514,0.9586488760943132,0.003320065006846562,100,0.0,24.711937,25.112587,-17.759657,-0.9953536,-1.6796346,0.002111145993694663,100,1.1843975221156542,-7.153698,0.008178677,69.8126980971514,0.0,17,270,-122.230865,0.81576055,100.0,27000,48.71348624510574,-1.447412371635437,0.76295507,-51.72671713124766,0.32544342,6.5714087,24.721388,100.0,-17.249973,0.18480127,-2.7199707,-49.286633,-1.0658013034073104,2.754194,-0.2345040155060222,-132.35177645338067,-106.58013034073103,2.1591529900033493,0.9902488,-123.85694,0.16015895700547844,-49.67191,63.97582700252635,-17.555664,15,-0.45201483,2.6895868520077784,100,-219.28616638302603,1.3267747,49.03876
1.0654271,-184.90550811245754,0.004987105989130214,0.2957429,9700,-1.1558783587345065,-16.43697654967625,9700,97,0.39125616499222815,-0.0011383796,-0.99741226,100,1.8107882,0.10555768013000488,-0.030254335907529108,0.27971128,-6.025871615769828,-11.281408193429488,-112.6255069251952,-102.70494,-46.9416,-115.58783587345064,5,-1.237429,0.9952726,0.6815972593141932,0.0030151469982229173,100,0.0,24.770012,24.91282,-17.789255,-0.85669476,-1.8879564,0.0024336579954251647,100,1.2459082993485118,-4.4569483,0.019863866,76.59588073432664,0.0,18,285,-102.50626,0.9562385,100.0,28500,51.50560617502197,-1.4608732461929321,0.8031223,-40.53360309476023,0.35745493,7.412079,24.785604,100.0,-17.761106,0.18659617,-2.5877688,-46.982147,-1.126255069251952,2.7767885,-0.13066606698326128,-115.58783587345064,-112.6255069251952,2.2089352599869017,0.99559045,-104.187294,0.17672698802198283,-47.491806,45.974045354942874,-17.709415,15,-0.40790975,2.787354323983891,100,-227.4960578679945,1.3502378,46.805943
1.0464398,-157.97315276508877,0.005187075003050268,0.13720596,10200,-0.9213595941312949,-21.663508178983605,10200,102,0.36925289800274186,0.011932498,-0.99495214,100,1.715646,0.09446117281913757,-0.010589528689936128,0.29444292,-10.029099968766232,-10.227565008922943,-101.64690060783934,-126.0852,-48.600468,-92.13595941312947,5,-1.3081405,0.98347735,0.9896642209235188,0.0033136150159407407,100,0.0,27.00015,27.43053,-18.633938,-0.9990213,-1.7545421,0.002165142010198906,100,1.0338003251670318,-3.1666064,-0.014461228,57.80480049518682,0.0,19,300,-126.51394,0.91633135,100.0,30000,54.265759866073495,-1.4050501585006714,0.9287262,-33.683636405835905,0.36060214,7.075678,27.011883,100.0,-18.209286,0.18371089,-2.9526503,-48.590164,-1.0164690060783936,2.891939,-0.17277780861524347,-92.13595941312947,-101.64690060783934,2.2104606899956707,0.99437827,-125.799545,0.1655646380095277,-48.84715,52.38788522384804,-18.560616,15,-0.4290236,2.75594405803713,100,-184.07083360208375,1.4044644,48.441254
