Epoch,exploration/Returns Max,exploration/Returns Std,evaluation/Returns Max,trainer/Q2 Predictions Min,time/epoch (s),exploration/Num Paths,trainer/QF2 Loss,exploration/path length Max,trainer/Log Pis Max,time/total (s),trainer/Q1 Predictions Mean,evaluation/Actions Std,replay_buffer/size,exploration/path length Std,trainer/Log Pis Std,evaluation/Returns Mean,time/evaluation sampling (s),exploration/Returns Min,trainer/Policy mu Std,exploration/Actions Std,trainer/Q1 Predictions Std,exploration/Actions Mean,exploration/path length Min,trainer/Q Targets Mean,trainer/Policy mu Min,trainer/Q Targets Std,trainer/Policy mu Max,trainer/Alpha Loss,evaluation/Rewards Mean,evaluation/Average Returns,trainer/Policy mu Mean,trainer/Q2 Predictions Std,exploration/Actions Max,evaluation/Rewards Min,exploration/Rewards Std,evaluation/path length Std,exploration/Average Returns,evaluation/path length Mean,trainer/Q2 Predictions Mean,exploration/Rewards Mean,exploration/Actions Min,evaluation/path length Max,exploration/Returns Mean,trainer/Policy log std Mean,evaluation/Rewards Std,trainer/Log Pis Min,trainer/Policy Loss,time/exploration sampling (s),exploration/Rewards Min,evaluation/Actions Min,evaluation/Returns Min,exploration/path length Mean,trainer/Log Pis Mean,evaluation/Actions Max,time/training (s),time/logging (s),time/data storing (s),evaluation/num steps total,exploration/num paths total,trainer/Q2 Predictions Max,trainer/QF1 Loss,trainer/Policy log std Min,trainer/Alpha,evaluation/Num Paths,trainer/Q1 Predictions Max,evaluation/Actions Mean,evaluation/path length Min,trainer/Q1 Predictions Min,exploration/num steps total,evaluation/num paths total,trainer/Q Targets Min,evaluation/Rewards Max,trainer/Policy log std Std,exploration/Rewards Max,evaluation/Returns Std,trainer/Policy log std Max,trainer/Q Targets Max,time/saving (s)
10,-51.28024922849216,1.5582202643336807,-48.18888578986286,-8.849754,1.3506153039634228,2,0.5455008,100,-0.29736584,14.966199309827061,-6.467571,0.19410038,2400,0.0,0.42398357,-58.671259654503515,0.28022777498699725,-54.39668975715952,0.24556287,0.5518431,1.8404766,0.099444635,100,-6.4395685,-0.7152447,1.9308567,0.61954945,-1.9489068984985352,-0.5867125965450346,-58.671259654503515,0.10049465,1.8407102,0.978844,-1.0,0.2144428272481488,0.0,-52.83846949282584,100.0,-6.4578705,-0.5283846949282585,-0.99517375,100,-52.83846949282584,-0.23071583,0.2167733237067937,-2.5282416,5.1652737,0.07004020598833449,-1.0,-0.61634475,-100.0,100.0,-1.2642081,0.5275949,0.9936769570049364,0.0033450820192229003,0.0011949589825235307,11000,24,-4.042639,0.54074234,-0.35808057,0.5502679944038391,10,-4.0422306,0.10338119,100,-8.896199,2400,110,-8.937648,-0.03886926438509312,0.061064128,-0.052100257027092756,15.012043721806354,-0.13852033,-1.0,0.0021303249814081937
11,-40.01400581730279,3.2490825720637737,-48.67887663745684,-9.665625,1.3567824850033503,2,0.39125162,100,0.34122288,16.32709443688509,-6.8488293,0.11587969,2600,0.0,0.5741414,-52.686093073988296,0.28278989499085583,-46.512170961430336,0.30483624,0.5802662,1.8793693,0.08207029,100,-6.9469795,-0.6981693,1.9829997,0.7824083,-2.1182472705841064,-0.5268609307398834,-52.686093073988296,0.11948679,1.8845189,0.95459414,-1.0,0.1946944523969173,0.0,-43.26308838936656,100.0,-6.837906,-0.43263088389366566,-0.9739736,100,-43.26308838936656,-0.22337353,0.16624901090297936,-3.5017085,5.5398912,0.06920145399635658,-1.0,-0.51186484,-59.98108689558962,100.0,-1.2291428,0.6138054,0.9979833399993367,0.0034469820093363523,0.0011465039860922843,12000,26,-4.507823,0.37761965,-0.3314858,0.5187817811965942,10,-4.5053306,0.070971295,100,-9.679405,2600,120,-9.611864,-0.06396803934387647,0.054632954,-0.017796965647565874,3.107190915786568,-0.12914726,-0.67843187,0.002214310021372512
12,-45.11617631903388,14.157014344210438,-23.48315803847062,-10.781125,1.3405474940082058,2,0.35255516,100,0.43675983,17.671555412816815,-7.112489,0.18248503,2800,0.0,0.5978652,-36.88753699846316,0.27137892600148916,-73.43020500745476,0.3132088,0.5694924,2.0749412,0.023522276,100,-7.078984,-0.7756466,2.2060404,0.81680435,-2.2048158645629883,-0.36887536998463166,-36.88753699846316,0.14387459,2.0779521,0.98481303,-1.0,0.30323900493567124,0.0,-59.27319066324432,100.0,-7.117503,-0.5927319066324432,-0.9957251,100,-59.27319066324432,-0.24956323,0.284712050698179,-3.1535642,5.9226336,0.06974453298607841,-1.0,-0.47140917,-100.0,100.0,-1.0860978,0.6948726,0.992262818996096,0.0034908610105048865,0.0012432680232450366,13000,28,-4.915496,0.35412657,-0.39329362,0.48932650685310364,10,-4.908114,0.07358982,100,-10.950364,2800,130,-10.697683,-0.11174926585412477,0.06695636,-0.05673394389710397,21.64342321595626,-0.13606338,-0.21799004,0.0024270869907923043
13,-44.66438178579787,5.983448783048338,-16.26475701115334,-11.246549,1.3386590179870836,2,0.077181436,100,0.27602863,19.01403918483993,-7.596872,0.25587162,3000,0.0,0.6298104,-38.96793366005856,0.271520184003748,-56.63127935189455,0.33263472,0.5769353,2.2698457,0.040333327,100,-7.587058,-0.96274245,2.291934,0.93514144,-2.422133684158325,-0.38967933660058557,-38.96793366005856,0.10494038,2.2621496,0.9889651,-1.0,0.24041312425845873,0.0,-50.64783056884621,100.0,-7.61164,-0.5064783056884622,-0.961418,100,-50.64783056884621,-0.26138926,0.37027283978957015,-2.7284203,6.3938885,0.07035451399860904,-1.0,-0.7407436,-100.0,100.0,-1.1347579,0.80355644,0.9896385009924415,0.003536504984367639,0.0011787319963332266,14000,30,-5.2904706,0.079234995,-0.41312927,0.46164509654045105,10,-5.2610965,0.026458742,100,-11.213445,3000,140,-11.23065,-0.0828317743835498,0.056953188,-0.0397737146872346,31.052919783889458,-0.16566291,-5.0269547,0.0024305820115841925
14,-38.58084822100392,1.5942834229401797,-16.72880896012547,-12.038822,1.3357196589931846,2,0.37055504,100,0.46394062,20.353831998858368,-7.767892,0.11961459,3200,0.0,0.71626335,-20.495753400868104,0.2735212619882077,-41.76941506688428,0.42146862,0.5567257,2.3791664,0.053158164,100,-7.9148493,-1.0462877,2.502402,1.1813592,-2.5335471630096436,-0.20495753400868102,-20.495753400868104,0.10401722,2.3894362,0.9926974,-1.0,0.20154843157930546,0.0,-40.1751316439441,100.0,-7.7800837,-0.4017513164394411,-0.98707235,100,-40.1751316439441,-0.29658931,0.162785308037374,-3.3486547,6.560274,0.07128778501646593,-1.0,-0.7226235,-30.336079681324897,100.0,-1.0500882,0.8260164,0.9839273459801916,0.003424311988055706,0.0012079389998689294,15000,32,-5.274761,0.38127124,-0.4897216,0.4356425702571869,10,-5.2572966,0.014644098,100,-11.913509,3200,150,-12.02405,-0.007298913374662061,0.06883238,-0.035163171618830605,3.845368198533854,-0.18986094,-0.5663066,0.002351015020394698
15,-42.31369986721665,1.0699520326042915,-2.462719443044056,-12.9636135,1.3430169899656903,2,1.1629186,100,0.6411604,21.7004982708022,-8.066203,0.1286555,3400,0.0,0.6270317,-7.925919089715308,0.2704490289906971,-44.45360393242523,0.3614222,0.5846865,2.6002998,0.01946876,100,-8.071022,-0.9441433,2.724775,1.1136749,-2.809920310974121,-0.07925919089715311,-7.925919089715308,0.051822454,2.6045265,0.9766948,-1.0,0.21967694935630735,0.0,-43.38365189982094,100.0,-8.050429,-0.43383651899820974,-0.98374766,100,-43.38365189982094,-0.26895845,0.2258104134137109,-3.229133,6.7853065,0.0703859570203349,-1.0,-0.77174044,-16.68761238994521,100.0,-1.1626896,0.84739596,0.9951169559790287,0.00352355299401097,0.0011894030030816793,16000,34,-5.623289,1.1620753,-0.4724678,0.41117018461227417,10,-5.6457515,0.01630539,100,-12.966226,3400,160,-13.006535,-0.006709015389391826,0.06561133,-0.015217276772705606,4.224746110324749,-0.17104006,-1.0,0.0023520919785369188
16,-43.7218489130508,2.1564769134862267,-10.139852100229719,-15.317469,1.3339698920026422,2,0.105717786,100,0.7779047,23.038684490777086,-8.272162,0.15279174,3600,0.0,0.6285108,-15.649945714385732,0.26614134199917316,-48.03480274002325,0.42782056,0.5799385,2.5286727,0.032882143,100,-8.2312765,-1.0938642,2.5909066,1.3014377,-2.857804298400879,-0.15649945714385727,-15.649945714385732,0.07796818,2.5336912,0.9889987,-1.0,0.2701390163961448,0.0,-45.87832582653702,100.0,-8.247174,-0.45878325826537036,-0.9776928,100,-45.87832582653702,-0.29645425,0.23797136457232193,-3.1454525,7.0960383,0.06964797500404529,-1.0,-0.6682388,-24.129477100118237,100.0,-1.0205483,0.8699084,0.991377972997725,0.0033771519956644624,0.0011589830101002008,17000,36,-6.0929456,0.10448961,-0.49915203,0.3881334364414215,10,-6.0775423,0.026487436,100,-15.182383,3600,170,-14.368729,-0.08011544300710981,0.06590097,-0.014767324105664083,4.5571152218013715,-0.178341,-5.9174666,0.0022664669959340245
17,-40.57793097656602,2.4850459341748206,-8.167833233457452,-14.267712,1.3497338400047738,2,0.10963007,100,0.5941893,24.392622586718062,-8.80665,0.14241348,3800,0.0,0.7203064,-11.51909995555612,0.26964445001794957,-45.548022844915664,0.42770094,0.5664867,2.748587,0.04318068,100,-8.848255,-1.1493484,2.8722901,1.0249591,-3.145444393157959,-0.11519099955556122,-11.51909995555612,0.07330209,2.7417593,0.9913035,-1.0,0.23217678706778086,0.0,-43.06297691074084,100.0,-8.814331,-0.4306297691074084,-0.9921359,100,-43.06297691074084,-0.29902306,0.20548652434413178,-3.0993624,7.528208,0.06930636800825596,-1.0,-0.81228834,-16.060902354602057,100.0,-1.1343797,0.8606907,1.003772266994929,0.003491795010631904,0.0011820379877462983,18000,38,-6.311344,0.10654349,-0.46783304,0.3664770722389221,10,-6.291795,0.014017507,100,-14.1577425,3800,180,-14.328589,-0.020737302996983214,0.07294426,-0.04057911001569793,2.319052576456167,-0.20329702,-5.955167,0.0023369219852611423
18,-30.411006241118404,7.8680275477881185,-3.9040450522642973,-14.288419,1.3405338089505676,2,0.5997346,100,1.3461491,25.737332038668683,-8.382324,0.15135269,4000,0.0,0.8506603,-9.776060342945055,0.26579164498252794,-46.14706133669464,0.5122277,0.53174627,2.5203414,0.02421282,100,-8.58635,-1.1862752,2.720215,1.349969,-3.0624070167541504,-0.09776060342945055,-9.776060342945055,0.085279725,2.5224013,0.993094,-1.0,0.241718105394746,0.0,-38.279033788906524,100.0,-8.394992,-0.3827903378890653,-0.9637628,100,-38.279033788906524,-0.35193622,0.22232936026749459,-3.703021,7.2983437,0.06970557000022382,-1.0,-0.842726,-17.62474412023401,100.0,-0.8868526,0.884252,0.998292465985287,0.0036514349922072142,0.0011876699863933027,19000,40,-6.286984,0.60209304,-0.5456468,0.3460766673088074,10,-6.2947764,0.007564311,100,-14.205071,4000,190,-14.765312,-0.011632741706980818,0.08556954,-0.00651426220257928,4.48829824603413,-0.2264879,-0.67843187,0.0019050230039283633
19,-40.39348662956685,0.8297820639909297,-2.890974495047059,-16.839895,1.346101522038225,2,0.11874874,100,1.5888592,27.087439352704678,-9.222429,0.1607638,4200,0.0,0.781679,-8.88158282681989,0.27280641099787317,-42.05305075754871,0.4966675,0.5370109,3.041481,0.058289334,100,-9.301484,-0.87016284,2.928529,1.4385114,-3.3025448322296143,-0.08881582826819891,-8.88158282681989,0.21928516,3.034603,0.98524815,-1.0,0.2842187702270073,0.0,-41.223268693557785,100.0,-9.196335,-0.41223268693557785,-0.98637867,100,-41.223268693557785,-0.36072564,0.227639448994846,-3.5389132,7.9824677,0.06763665800099261,-1.0,-0.70422536,-15.176476696130923,100.0,-0.9543545,0.8982647,0.998732177016791,0.0034278040111530572,0.0011756480089388788,20000,42,-6.508846,0.107471064,-0.52143794,0.3268864154815674,10,-6.509195,0.026699707,100,-16.665602,4200,200,-16.302437,-0.006959552066715613,0.08150278,-0.007288134279644418,3.1225281034470966,-0.23121652,-6.598016,0.002322824002476409
