trainer/Policy Loss,time/data storing (s),exploration/Average Returns,exploration/Rewards Mean,evaluation/Rewards Std,trainer/Q1 Predictions Max,evaluation/Returns Mean,exploration/Returns Min,trainer/Q2 Predictions Std,evaluation/num paths total,evaluation/Actions Max,exploration/Actions Min,evaluation/Actions Std,trainer/Log Pis Std,trainer/Q1 Predictions Mean,trainer/Log Pis Min,evaluation/num steps total,trainer/Q1 Predictions Min,exploration/Rewards Std,evaluation/Rewards Min,exploration/Rewards Max,trainer/Q Targets Mean,trainer/Q Targets Max,exploration/Num Paths,trainer/Q Targets Std,trainer/QF2 Loss,trainer/Q2 Predictions Min,evaluation/Rewards Mean,exploration/Actions Mean,evaluation/path length Max,trainer/Log Pis Max,Epoch,evaluation/Returns Min,evaluation/path length Mean,trainer/Policy mu Mean,trainer/Policy log std Min,trainer/Log Pis Mean,trainer/Policy mu Min,exploration/path length Min,trainer/Q2 Predictions Max,evaluation/Actions Min,time/evaluation sampling (s),exploration/path length Max,trainer/Q Targets Min,exploration/path length Std,trainer/QF1 Loss,evaluation/Returns Std,time/exploration sampling (s),time/training (s),trainer/Q2 Predictions Mean,trainer/Policy log std Max,time/epoch (s),exploration/Returns Max,evaluation/Returns Max,evaluation/Num Paths,exploration/Rewards Min,evaluation/Rewards Max,exploration/Actions Max,trainer/Q1 Predictions Std,exploration/Returns Std,time/logging (s),trainer/Alpha,exploration/path length Mean,exploration/Returns Mean,trainer/Policy log std Mean,exploration/num paths total,evaluation/path length Min,evaluation/Average Returns,exploration/num steps total,trainer/Policy log std Std,exploration/Actions Std,time/total (s),evaluation/Actions Mean,evaluation/path length Std,replay_buffer/size,trainer/Policy mu Std,trainer/Alpha Loss,time/saving (s),trainer/Policy mu Max
-1.3485477,0.0030022819992154837,-816.1943134220634,-8.161943134220634,3.0372223604232946,0.0014106542,-720.8319064275839,-1164.7779315150485,0.00032293165,15,0.0005206305,-0.99465054,0.0008946828,0.31041738,-0.00034628424,-1.8343567,1500,-0.0015738229,3.1485091673239465,-11.839590157591568,-0.7915356180962171,-8.100942,-2.3311176,5,2.7582383,73.262535,0.00088969246,-7.208319064275839,-0.026202584,100,-0.715996,0,-1183.909303880905,100.0,-0.00071726216,-0.0013040664,-1.3488622,-0.0027577127,100,0.0025934794,-0.002739882,0.3150942810025299,100,-13.267119,0.0,73.22602,303.70168233112287,0.15757860699523007,2.1053949220004142,0.0017778218,0.0004783509,2.5885232479922706,-385.49693402418796,-298.9939608131106,15,-13.62181550391907,-2.9812800134427158,0.99676454,0.0005510735,261.74459865730984,0.004999273995053954,0.9997000694274902,100.0,-816.1943134220634,-0.00038175337,7,100,-720.8319064275839,700,0.00042845617,0.6198902,2.8167215599896736,-0.00085446506,0.0,700,0.00083311123,-0.0,0.00245388199982699,0.0005313166
10.424446,0.0030332169990288094,-285.64032991592126,-2.856403299159213,1.2787877677844925,-5.5873036,-290.73960077973413,-354.6427001965818,6.037322,30,0.6511898,-0.98626584,0.14216232,0.7849516,-11.953297,-4.905299,3000,-27.25974,1.2923440300268934,-10.88144441443524,-0.09187481094206733,-12.069219,-2.601152,5,6.193585,0.8119857,-26.981422,-2.9073960077973435,0.04115402,100,0.89506674,1,-397.63335925910786,100.0,0.028916674,-0.33620214,-1.1324797,-0.74960303,100,-5.483446,-0.5094688,0.37516540099750273,100,-27.222403,0.0,0.6762527,49.31971296082609,0.162188119997154,2.2817850400024327,-11.970181,-0.12521155,2.8399901569937356,-223.80467995259377,-227.2065938291184,15,-9.654188039909394,-0.3670645962264194,0.99183166,6.067807,47.0031799857691,0.00535305000084918,0.8631360530853271,100.0,-285.64032991592126,-0.19104199,12,100,-290.73960077973413,1200,0.049329475,0.59574366,5.661433327979466,0.041892648,0.0,1200,0.39798057,-0.4601663649082184,0.012465328996768221,0.7948099
17.37062,0.0032367199964937754,-163.7052624556875,-1.6370526245568748,0.9846066004684797,-8.95342,-75.81858436019873,-196.4072972612506,9.7901,45,0.8683792,-0.98573416,0.12992142,1.0203938,-19.067461,-3.585383,4500,-46.861046,1.36413149201757,-9.858262145030473,-0.06967245177132116,-18.870832,-8.029233,5,10.089364,4.5702953,-46.871223,-0.7581858436019874,0.036953285,100,1.582824,2,-115.81581407524087,100.0,0.10866578,-0.44649327,-0.64908355,-1.2299486,100,-9.041133,-0.7741142,0.3490046890001395,100,-46.90734,0.0,4.5927567,20.74743248802003,0.16003659799753223,2.0648656679986743,-19.06123,-0.13337311,2.5838363119910355,-102.5666692724436,-52.8551894372064,15,-10.281964539922376,-0.1269809502985682,0.9952221,9.809271,32.71474811162046,0.004696810996392742,0.7518449425697327,100.0,-163.7052624556875,-0.2881899,17,100,-75.81858436019873,1700,0.07961172,0.5855897,8.249641906972101,0.019701306,0.0,1700,0.66197777,-0.7549036145210266,0.001995826001802925,1.2846482
20.662107,0.0031721460036351345,-138.03490222634156,-1.3803490222634154,1.1588579287341272,-10.458313,-90.78242824639125,-169.6483469479623,16.25586,60,0.92219,-0.98277736,0.16704892,1.212305,-22.61811,-4.6592607,6000,-68.21023,1.4376311446718917,-9.643264437210666,-0.08067129309963442,-22.637688,-2.2230945,5,16.508284,1.8976872,-68.04331,-0.9078242824639126,0.0140015315,100,2.802991,3,-117.1828175974434,100.0,0.12454319,-0.5631733,-0.33479434,-1.3980467,100,-10.397241,-0.85077953,0.3494596430027741,100,-69.37076,0.0,1.9246769,20.16992290011601,0.1585163139970973,2.026515905999986,-22.612696,-0.22336511,2.544467102008639,-114.88637609137083,-62.56608562868306,15,-12.055402112346995,-0.047089295258221746,0.9901013,16.282776,18.43635740237873,0.004801573006261606,0.6602933406829834,100.0,-138.03490222634156,-0.38974792,22,100,-90.78242824639125,2200,0.09911957,0.56234294,10.798350460987422,0.020482497,0.0,2200,0.7814783,-0.9685246348381042,0.00200151999888476,1.5641851
18.41791,0.0032143270000233315,-97.72557446945518,-0.9772557446945518,1.028698299982238,-12.20538,-81.44896273252554,-109.81972314290942,13.237491,75,0.94243056,-0.9704515,0.18291536,1.2583877,-20.327242,-4.7988033,7500,-77.047035,0.5100038431690725,-8.921116039421053,-0.06893336385733435,-20.61949,-11.944931,5,13.888203,1.463804,-77.012924,-0.8144896273252555,0.0109650595,100,3.1687126,4,-98.82708874521653,100.0,0.050965622,-0.6754298,-0.39355963,-1.6342069,100,-12.181529,-0.91017073,0.34795534500153735,100,-81.84707,0.0,1.5421339,10.610583680856235,0.15781232099834597,2.0352516010025283,-20.317787,-0.2530878,2.5510038480060757,-85.49895015728625,-61.19389666799716,15,-3.4838414668447646,-0.21678855398066987,0.98306894,13.230735,8.497284652659253,0.004800845003046561,0.5802440643310547,100.0,-97.72557446945518,-0.47079962,27,100,-81.44896273252554,2700,0.12312795,0.52610826,13.353733717980504,0.026507253,0.0,2700,0.76665926,-1.3022117614746094,0.001969409000594169,1.713635
22.762884,0.0033988210052484646,-109.98558845817499,-1.0998558845817497,0.766534796799334,-13.739214,-78.67123663887969,-129.47305549600821,18.34364,90,0.95505595,-0.98822165,0.16062629,1.224725,-24.379026,-2.6958795,9000,-86.57566,0.8614865002066714,-10.072990985383806,-0.012274870286988234,-24.381264,-13.2467165,5,18.318678,0.99273723,-86.401054,-0.7867123663887969,0.023258565,100,3.2524433,5,-105.45434362792217,100.0,0.12649436,-0.7127413,-0.18313326,-1.7591081,100,-13.827541,-0.9397734,0.3717059310001787,100,-88.16628,0.0,1.0403515,11.291656875278868,0.15677881200099364,2.0678832409976167,-24.36919,-0.20052817,2.606660773002659,-94.069138477309,-65.68273164420255,15,-7.486806525573914,-0.5560935516921804,0.98452705,18.370733,11.679755714086284,0.004747979997773655,0.5074595212936401,100.0,-109.98558845817499,-0.5144283,32,100,-78.67123663887969,3200,0.13957547,0.52675027,15.964601184990897,0.008813288,0.0,3200,0.842274,-1.4803215265274048,0.002145988000847865,1.9428015
24.67118,0.0032706799975130707,-79.22167675934773,-0.7922167675934774,0.9774924433995934,-15.055331,-44.67770098984567,-84.17769080301056,19.432402,105,0.96801686,-0.9860593,0.16873688,1.534606,-26.628555,-3.2793913,10500,-99.31605,0.5361151764004831,-9.689876543786758,-0.016813101722003593,-26.840618,-14.6937895,5,19.597485,0.7501613,-99.19541,-0.4467770098984567,0.021105107,100,3.7964392,6,-75.58738879692372,100.0,0.09111938,-0.73957974,0.0024600178,-1.8851265,100,-15.131119,-0.9445136,0.35020182999869576,100,-99.44844,0.0,0.8417255,15.720592247934832,0.1567273489999934,2.0356950030036387,-26.636038,-0.24461354,2.5516109419986606,-70.02987014566347,-23.713985390759245,15,-4.454615154709315,-0.12036547665130494,0.98486555,19.424088,5.214382735652867,0.003990689001511782,0.4418308734893799,100.0,-79.22167675934773,-0.5402628,37,100,-44.67770098984567,3700,0.14379625,0.523463,18.51957652997953,0.02640505,0.0,3700,0.9352755,-1.6311166286468506,0.0017253909973078407,2.1199405
22.632252,0.0032152730054804124,-105.7788890683366,-1.057788890683366,0.8527432621178974,-16.254759,-65.05637487688657,-138.39367348237695,14.342352,120,0.94699275,-0.9794449,0.17605136,1.4849056,-24.073336,-3.172932,12000,-83.699165,1.2674278853196597,-8.489001856091612,-0.05350071515321675,-23.776186,-8.375888,5,13.902642,25.186419,-83.64826,-0.6505637487688657,0.025140613,100,3.491256,7,-80.35387542281084,100.0,0.15504174,-0.70462143,-0.1444093,-1.8612576,100,-16.335032,-0.95239407,0.35233087899541715,100,-86.799416,0.0,25.054337,10.207638578725215,0.15637785899889423,2.02404968799965,-24.072948,-0.30303967,2.5427441079955315,-79.98507081792746,-47.31905647755727,15,-10.7635362117438,-0.4334256291473612,0.9913557,14.319073,21.611544046808362,0.004764118995808531,0.3833380937576294,100.0,-105.7788890683366,-0.55852187,42,100,-65.05637487688657,4200,0.12269011,0.51860684,21.066554080985952,0.0071573486,0.0,4200,0.84487146,-2.055530548095703,0.0020062900002812967,2.0522323
23.64319,0.0031319409972638823,-95.0585994044379,-0.9505859940443789,1.0169176164774127,-17.38616,-36.48405550334042,-114.57118318297739,15.519683,135,0.9689186,-0.98525804,0.18738621,1.5118395,-25.016636,-4.1818895,13500,-93.54774,1.1673697377540329,-10.458101197523135,-0.046220027859285785,-24.650644,-0.32446498,5,15.749816,23.588333,-93.62335,-0.36484055503340423,0.034109723,100,4.409588,8,-63.0801119474329,100.0,-0.0098512,-0.7878829,-0.2357324,-2.0221212,100,-17.371645,-0.9651214,0.34747212199727073,100,-97.37813,0.0,23.81987,12.96643593185145,0.15862848899996607,2.033642869995674,-25.007069,-0.32802945,2.549643157988612,-84.30565386715611,-15.715757520440096,15,-9.421630477034922,-0.12666193130053077,0.9971327,15.528896,11.306499480635688,0.004799894995812792,0.3321543037891388,100.0,-95.0585994044379,-0.6151186,47,100,-36.48405550334042,4700,0.13649674,0.51583624,23.620155008975416,0.0043401066,0.0,4700,0.8533175,-2.463489294052124,0.001967841002624482,2.1843274
21.691963,0.002895272999012377,-88.56582536761913,-0.8856582536761911,1.0665952832106702,-18.46941,-40.267754902378265,-102.51293169317714,12.65674,150,0.98220336,-0.9784284,0.17898917,1.4057744,-23.019285,-4.502969,15000,-100.65453,1.1473052414950626,-11.684842924148438,-0.011459878683035826,-22.936115,-0.3504406,5,12.816099,4.1632175,-100.56382,-0.40267754902378283,0.021002326,100,4.967973,9,-77.31770760818408,100.0,0.0717431,-0.8343615,-0.29734728,-1.9819362,100,-18.496168,-0.9670294,0.34772692400292726,100,-94.30299,0.0,4.1976275,18.372116089042215,0.1563724769948749,2.029903134003689,-23.023016,-0.3751702,2.543769162002718,-69.64657748496205,-18.835274041617804,15,-9.741247811263673,-0.10017587572899604,0.9967832,12.666834,12.993057217037597,0.004849393997574225,0.2879769802093506,100.0,-88.56582536761913,-0.66177714,52,100,-40.267754902378265,5200,0.13292427,0.49432904,26.168158633983694,0.020228472,0.0,5200,0.71820426,-2.8592419624328613,0.0020219600046402775,2.353946
