exploration/num steps total,trainer/Policy mu Mean,time/total (s),trainer/Policy mu Max,exploration/path length Std,evaluation/Actions Std,trainer/Policy Loss,trainer/Q2 Predictions Mean,trainer/Policy log std Mean,trainer/Log Pis Max,exploration/Returns Max,time/logging (s),trainer/Q1 Predictions Mean,exploration/path length Min,exploration/Returns Min,exploration/path length Max,exploration/Rewards Min,exploration/Returns Std,exploration/num paths total,evaluation/num paths total,trainer/Alpha Loss,evaluation/Returns Max,time/data storing (s),Epoch,trainer/Q2 Predictions Max,trainer/Q2 Predictions Std,exploration/Actions Max,exploration/Returns Mean,evaluation/Returns Std,exploration/path length Mean,evaluation/path length Std,exploration/Actions Min,evaluation/Num Paths,exploration/Rewards Mean,time/training (s),exploration/Num Paths,evaluation/Actions Mean,time/epoch (s),evaluation/path length Min,trainer/Q Targets Std,trainer/Policy log std Max,replay_buffer/size,trainer/Q1 Predictions Max,evaluation/Rewards Mean,trainer/Alpha,trainer/Log Pis Std,evaluation/Returns Mean,exploration/Average Returns,evaluation/Actions Min,exploration/Rewards Std,evaluation/Rewards Min,trainer/Q Targets Min,trainer/QF2 Loss,evaluation/num steps total,time/evaluation sampling (s),evaluation/Actions Max,evaluation/Average Returns,exploration/Actions Std,time/exploration sampling (s),evaluation/Returns Min,exploration/Actions Mean,evaluation/Rewards Std,trainer/Q Targets Mean,trainer/Q1 Predictions Min,exploration/Rewards Max,trainer/Policy log std Std,trainer/Log Pis Mean,time/saving (s),trainer/Policy mu Std,trainer/Policy mu Min,trainer/Q2 Predictions Min,trainer/QF1 Loss,trainer/Q Targets Max,trainer/Log Pis Min,evaluation/path length Mean,evaluation/Rewards Max,trainer/Q1 Predictions Std,trainer/Policy log std Min,evaluation/path length Max
5700,0.0928422,31.37438027880853,2.3429902,0.0,0.19743481,23.8061,-25.243567,-0.6709125,6.0376463,-59.574340324586586,0.006864966009743512,-25.228348,100,-124.96571651834701,100,-9.660795514094564,24.172761061512855,57,275,-2.9326517581939697,-16.535846227965646,0.00305963700520806,10,-18.4943,17.186932,0.9947332,-81.05816479867943,16.922508048959706,100.0,0.0,-0.9482819,25,-0.8105816479867944,1.9355464690015651,5,0.032140907,2.6250099900062196,100,17.677183,-0.39805928,5700,-18.480959,-0.4161963276401617,0.24757859110832214,1.5063788,-41.61963276401618,-81.05816479867943,-0.9764896,1.0026210494426335,-10.807215005837824,-102.76802,7.5336437,27500,0.5298818719747942,0.982267,-41.61963276401618,0.48796698,0.14761713400366716,-74.21050929345667,0.032145735,1.167633735732592,-25.145357,-102.96952,-0.03750068116247161,0.14139104,-0.1011249,0.0020399120112415403,0.82362473,-2.1135848,-102.88542,7.5188484,-0.60950303,-3.8662968,100.0,-0.0167220938173169,17.187117,-0.8743965,100
6200,0.25158662,34.095793765824055,2.5803463,0.0,0.18908028,23.4831,-24.512346,-0.7632435,5.3526707,-60.72892471490026,0.005494487006217241,-24.500566,100,-101.9264233115869,100,-9.071754067093384,16.93583338873806,62,300,-3.283069372177124,-45.67990612854513,0.002954259020043537,11,-19.243774,14.269476,0.99275184,-78.33535411550268,16.896333054386755,100.0,0.0,-0.9813177,25,-0.7833535411550268,2.033190949005075,5,0.03166843,2.7168882160331123,100,14.502663,-0.4802396,6200,-19.318598,-0.6536076910010489,0.2153719812631607,1.5310946,-65.3607691001049,-78.33535411550268,-0.9720281,0.9169236532514037,-10.51541826289856,-95.11763,4.11576,30000,0.5279813960078172,0.98824435,-65.3607691001049,0.45932534,0.1452462919987738,-100.41470362810506,0.017305283,1.00678108968626,-24.501379,-95.009094,-0.02610873617558056,0.11923128,-0.13866356,0.0020208329951856285,0.8292531,-2.0530207,-94.88803,4.1684384,-0.47350925,-4.4611855,100.0,-0.0029801112951343424,14.275623,-0.9498463,100
6700,0.0988827,37.039711641846225,2.618688,0.0,0.1783253,25.580208,-26.806475,-0.8208485,5.7816916,-66.62171450169848,0.0071474699943792075,-26.805239,100,-105.29349918297059,100,-10.063744537730127,12.480117737294496,67,325,-3.1013567447662354,-44.681930293467964,0.0029657309933099896,12,-19.88062,16.682703,0.9976151,-88.74080592818406,10.789818735981406,100.0,0.0,-0.9603386,25,-0.8874080592818407,2.1358048420224804,5,0.025632348,2.9388531600125134,100,17.49334,-0.54870695,6700,-19.98872,-0.5760684206325731,0.18749147653579712,1.7668233,-57.60684206325732,-88.74080592818406,-0.9744114,1.2286447358198054,-9.600902943159845,-100.53449,9.399026,32500,0.6356362820079084,0.9883059,-57.60684206325732,0.45128563,0.15521892200922593,-89.89571243055609,0.042525757,0.7353767267355897,-26.720352,-104.615364,-0.021160950763238214,0.13609698,0.14705344,0.0020799129852093756,0.90508795,-2.1980278,-104.53015,9.50541,-1.2531528,-4.0147634,100.0,-0.02598188829677012,16.680162,-1.0155474,100
7200,0.14130509,39.73822937280056,2.4763553,0.0,0.19617423,23.503662,-24.336374,-0.90891975,7.071686,-64.64797230356923,0.006936665013199672,-24.34927,100,-101.67873697225542,100,-10.012098277563116,14.499229375338867,72,350,-3.3407387733459473,-38.480030128662484,0.0030784639820922166,13,-20.182896,12.429744,0.99591327,-85.99059932185642,17.679555692164392,100.0,0.0,-0.99251384,25,-0.8599059932185641,1.9805346159846522,5,0.028004697,2.693263204972027,100,12.271608,-0.5363566,7200,-20.234632,-0.5821355757303099,0.16380047798156738,1.6926306,-58.21355757303098,-85.99059932185642,-0.9763121,1.3406245776103503,-10.496946834017095,-99.53244,4.720769,35000,0.5508725749969017,0.9881935,-58.21355757303098,0.4475541,0.14980474099866115,-89.8716419103411,0.025416331,1.0822674737831084,-24.273716,-105.18641,-0.007449750520783076,0.14558688,0.15310422,0.002036143996519968,0.8278799,-2.2386067,-105.18374,4.771143,-0.842219,-5.21117,100.0,-0.012430079337427097,12.420194,-1.107019,100
7700,0.10195561,42.74598618585151,2.5294428,0.0,0.20204449,22.95829,-23.460749,-1.015789,4.989386,-50.11046597822904,0.007635735004441813,-23.452997,100,-92.54955908385227,100,-9.600743689315632,17.43373579637321,77,375,-3.3759491443634033,-24.633608024858372,0.002945612999610603,14,-20.508886,6.6167693,0.99793607,-66.46067514322385,15.748094716593881,100.0,0.0,-0.97863734,25,-0.6646067514322386,2.273170469998149,5,0.03414609,3.002635700016981,100,6.2729826,-0.57390636,7700,-20.567173,-0.4804783185614699,0.14382284879684448,1.5476294,-48.04783185614699,-66.46067514322385,-0.97954756,1.030200652449882,-11.211233982114292,-59.154892,0.5522178,37500,0.5580833370040637,0.98749524,-48.04783185614699,0.4093388,0.15799498098203912,-81.90779838135516,0.030682433,1.1082718078161442,-23.576828,-60.436287,-0.009782725706880113,0.152758,0.25884652,0.0028055640286765993,0.78130007,-1.990867,-60.927258,0.52074456,-20.539085,-5.6074085,100.0,-0.02070224047070471,6.5812793,-1.2062176,100
8200,0.05152016,45.90735846781172,2.5976324,0.0,0.22984284,23.640314,-23.884111,-1.0430275,7.1687365,-51.375916873507336,0.007638576993485913,-23.85902,100,-93.22966597949926,100,-9.986963255157296,14.807845982536998,82,400,-3.249903678894043,-21.758396321578594,0.002948675013612956,15,-20.877459,8.01894,0.9962685,-68.78315369465454,86.63937609724117,100.0,0.0,-0.99380237,25,-0.6878315369465454,2.414328145008767,5,0.053367913,3.1551477420143783,100,8.720084,-0.55759233,8200,-20.939043,-0.5870191413553253,0.12661713361740112,1.5557287,-58.701914135532505,-68.78315369465454,-0.9793735,1.205946793968318,-10.859111612481316,-84.46827,8.705426,40000,0.5612935219833162,0.9905833,-58.701914135532505,0.40752488,0.16671044600661844,-474.2281783725904,0.03012733,1.3128273732479494,-23.586658,-83.041016,-0.008439348205498496,0.17987539,0.42721698,0.0022283770085778087,0.8335824,-2.2854168,-83.093,8.68654,-0.63990283,-3.2007105,100.0,-0.011711106859162471,8.01298,-1.2769582,100
8700,0.108249165,48.87832501286175,2.665692,0.0,0.20867331,24.43884,-24.906494,-1.1591967,6.015415,-36.34906852134261,0.007462217006832361,-24.941065,100,-68.83704663540547,100,-7.1862522507965085,10.74873327177702,87,425,-3.495999336242676,-21.801087222901774,0.003772907017264515,16,-20.967842,12.139982,0.98876554,-53.99859769057391,18.564854707373527,100.0,0.0,-0.9949373,25,-0.5399859769057389,2.178520730987657,5,0.03266572,2.965840497025056,100,12.404159,-0.5026877,8700,-21.044605,-0.4763135403102171,0.11169067025184631,1.6907078,-47.63135403102171,-53.99859769057391,-0.9855863,0.7634354210403177,-10.839777870956533,-93.55508,4.842515,42500,0.6112216239853296,0.9915854,-47.63135403102171,0.3717499,0.16250250302255154,-77.02352894337727,0.033437073,1.220510463936854,-24.864634,-97.55972,-0.009391343892143127,0.18541498,0.4049477,0.0023605150054208934,0.8372118,-2.3258913,-97.508896,4.8584356,-0.3191685,-3.4280477,100.0,-0.058120019545721296,12.158543,-1.4196094,100
9200,0.060630012,51.63167807494756,2.633153,0.0,0.21047366,22.986523,-22.92204,-1.1661221,6.5740094,-38.57154515964723,0.01016698800958693,-22.914345,100,-70.7003271118242,100,-8.569976303742393,12.256340253927295,92,450,-3.3496549129486084,-9.810259028458432,0.0032123800192493945,17,-20.929655,4.9969873,0.9950062,-47.760640179275626,64.64466809544096,100.0,0.0,-0.99688196,25,-0.47760640179275604,2.023703017999651,5,0.037608925,2.7482694750651717,100,4.8472905,-0.5564828,9200,-20.913357,-0.3450892026898341,0.09893152862787247,1.387502,-34.50892026898341,-47.760640179275626,-0.98759705,0.7737205748935814,-9.197728053022765,-62.14151,0.2794628,45000,0.5585327570152003,0.9876863,-34.50892026898341,0.37589172,0.15013908501714468,-344.5291519512525,0.01120894,0.9613935802489596,-23.085318,-64.10789,-0.0008513679544614943,0.18932374,0.55185515,0.0025152470043394715,0.7830831,-2.1602695,-63.99093,0.2775278,-20.945652,-3.2977734,100.0,-0.02716848333700091,4.993193,-1.4174803,100
9700,0.14111683,54.74132007593289,2.8067577,0.0,0.22932132,24.586138,-24.033148,-1.3032879,6.8689165,-50.592263274194785,0.006940377992577851,-24.016956,100,-111.23075496748554,100,-7.170426202358976,22.772210831694544,97,475,-2.291624069213867,-27.02939312363117,0.0028901920013595372,18,-20.636646,8.817157,0.9961027,-66.36140605466343,73.82719694259814,100.0,0.0,-0.986224,25,-0.6636140605466343,2.3146456550166477,5,0.0521417,3.1040412050497252,100,8.873818,-0.47814864,9700,-20.659668,-0.6031351707668833,0.08755367994308472,1.3702685,-60.31351707668832,-66.36140605466343,-0.98375326,1.1116861176917634,-10.897774305773545,-67.123764,4.484837,47500,0.6227188160119113,0.99154997,-60.31351707668832,0.37750122,0.15482108702417463,-412.281221381489,0.053614274,1.2032345978031962,-24.099865,-67.73685,-0.026325465175986044,0.22308268,1.058986,0.002025077003054321,0.88643986,-2.4046247,-67.658,4.457971,-0.62445414,-2.0917902,100.0,-0.1267060515944312,8.797865,-1.5699129,100
10200,-0.0325348,57.58168329289765,2.8864288,0.0,0.1966361,25.028252,-24.99905,-1.3159677,7.636147,-32.44877803463752,0.006767982005840167,-25.011265,100,-74.98181595572805,100,-9.386698550557815,15.597993304487897,102,500,-2.7914888858795166,-12.54341394791879,0.0031797470001038164,19,-20.831213,11.508061,0.9989854,-56.37082873454881,13.994818115354283,100.0,0.0,-0.9937985,25,-0.5637082873454881,2.0573580990021583,5,0.024509832,2.835506337985862,100,11.9023905,-0.38021004,10200,-20.830654,-0.30973040574429256,0.07789400219917297,1.7476205,-30.97304057442926,-56.37082873454881,-0.987836,1.248998179648548,-9.782588262694768,-87.24585,4.817074,50000,0.6020031869993545,0.9921149,-30.97304057442926,0.346772,0.15623476597829722,-64.12685001651353,0.035849657,0.946467600970774,-25.059464,-87.240326,-0.025787557548660384,0.27233315,0.9062329,0.009962557000108063,0.91042405,-2.7324266,-87.33282,4.783487,-1.0234017,-4.2844825,100.0,-0.03537854881443976,11.501189,-1.6086907,100
