trainer/Policy log std Min,replay_buffer/size,evaluation/Actions Max,trainer/QF1 Loss,exploration/path length Min,trainer/Q Targets Std,evaluation/path length Mean,trainer/Log Pis Min,evaluation/path length Std,evaluation/path length Min,trainer/Alpha Loss,trainer/Q2 Predictions Max,evaluation/Average Returns,evaluation/num paths total,trainer/Q1 Predictions Mean,exploration/Rewards Std,time/logging (s),exploration/Returns Std,trainer/Q2 Predictions Min,evaluation/Returns Max,trainer/Log Pis Mean,exploration/Rewards Max,exploration/num steps total,trainer/Policy mu Std,exploration/Returns Max,trainer/Policy log std Std,evaluation/Actions Mean,exploration/num paths total,evaluation/Rewards Mean,evaluation/Num Paths,exploration/Returns Mean,time/evaluation sampling (s),evaluation/Rewards Min,exploration/Actions Max,exploration/Average Returns,time/total (s),trainer/Alpha,trainer/Q Targets Max,exploration/path length Std,exploration/Rewards Min,time/saving (s),exploration/Rewards Mean,evaluation/num steps total,trainer/Q2 Predictions Std,trainer/Policy log std Mean,Epoch,evaluation/Returns Std,trainer/Q1 Predictions Std,evaluation/Actions Min,time/exploration sampling (s),exploration/Actions Std,exploration/Returns Min,time/training (s),trainer/Policy mu Mean,evaluation/Returns Min,trainer/Q Targets Min,trainer/Q1 Predictions Max,exploration/path length Max,trainer/Policy Loss,trainer/Q1 Predictions Min,trainer/Log Pis Max,trainer/Q Targets Mean,trainer/Q2 Predictions Mean,evaluation/path length Max,trainer/Policy mu Min,trainer/QF2 Loss,exploration/Actions Min,trainer/Policy mu Max,evaluation/Actions Std,evaluation/Rewards Std,evaluation/Returns Mean,exploration/Actions Mean,time/data storing (s),time/epoch (s),trainer/Policy log std Max,exploration/path length Mean,evaluation/Rewards Max,trainer/Log Pis Std,exploration/Num Paths
-0.7393268,2400,0.889346,1.092174,100,10.2553215,100.0,-5.6004496,0.0,100,-1.3708982467651367,-28.153564,-315.244468674195,110,-40.07257,0.9317851319972952,0.0033810859895311296,22.873498043629866,-76.90393,-266.92077383874374,-0.4854149,-1.5021530398229532,2400,0.7960988,-304.8238779988816,0.079911165,-0.0042592552,24,-3.152444686741949,10,-327.69737604251145,0.2206291600014083,-8.823595307469574,0.9678947,-327.69737604251145,12.041031564847799,0.5758873820304871,-28.229391,0.0,-9.196491101002714,0.001988589996472001,-3.276973760425114,11000,10.370076,-0.48465595,10,36.767545768718584,10.391197,-0.9099159,0.0644820739980787,0.49997407,-350.5708740861413,0.7453428669832647,-0.09160581,-358.76831548579014,-72.8887,-28.0258,100,38.205326,-77.039474,3.313016,-40.541428,-40.06711,100,-1.7747135,1.0796912,-0.9947126,1.7585655,0.1449174,0.5461465687676637,-315.244468674195,-0.034826208,0.001309540995862335,1.0371333179646172,-0.3027572,100.0,-2.2287048666110554,1.3983253,2
-0.7126657,2600,0.9199039,18.795116,100,11.141387,100.0,-2.5740645,0.0,100,-1.329005241394043,-30.235647,-326.9980734772218,120,-42.007706,0.8280244887013508,0.0034127839899156243,57.75726052488527,-76.483345,-251.38578978571854,-0.19666666,-0.9849057547817549,2600,0.77425855,-247.47912451469753,0.087257765,0.004439292,26,-3.269980734772218,10,-305.2363850395828,0.2319358839886263,-10.36809081477645,0.9768189,-305.2363850395828,13.108532002836,0.5459247827529907,-7.0167747,0.0,-5.089084645365038,0.001973416015971452,-3.0523638503958286,12000,10.262017,-0.472709,11,45.80748135074673,10.280301,-0.9414104,0.06663943800958805,0.51704717,-362.99364556446807,0.7580332919897046,-0.09836792,-374.1593425598964,-79.12735,-30.01039,100,40.3465,-76.632385,3.8288178,-42.121353,-41.954742,100,-1.8422552,18.36646,-0.9519829,1.6732994,0.12992512,0.7062932402232632,-326.9980734772218,0.014795137,0.001389835000736639,1.0633846489945427,-0.2973724,100.0,-2.4864597257840444,1.3485426,2
-0.6874681,2800,0.94213575,68.04086,100,12.9944725,100.0,-3.9703813,0.0,100,-1.4729700088500977,-31.983086,-296.5587857030961,130,-44.641743,0.5942151760883732,0.0033700339845381677,30.44353758949724,-85.12719,-249.3249236203257,-0.23597306,-1.3273654989128496,2800,0.77218115,-249.06801189450456,0.09882818,-0.005474003,28,-2.9655878570309615,10,-279.5115494840018,0.22252785300952382,-11.13350788183948,0.9606602,-279.5115494840018,14.166684463794809,0.5173560380935669,-4.6484103,0.0,-4.200032673400364,0.0019409589876886457,-2.7951154948400174,13000,12.451644,-0.4964462,12,28.43622533417119,12.466587,-0.9530942,0.06461964099435136,0.5111918,-309.95508707349904,0.7604413109947927,-0.001768651,-347.2780965617765,-81.30052,-31.767944,100,43.0177,-85.07749,2.6826663,-43.97904,-44.649654,100,-1.8783563,68.02712,-0.97074753,1.8341041,0.16077179,0.8929036786280222,-296.5587857030961,0.007845278,0.001233048998983577,1.0541328469698783,-0.31155306,100.0,-1.5490816344377645,1.2682163,2
-0.7525294,3000,0.9177573,1.1415297,100,12.68165,100.0,-3.270602,0.0,100,-1.4790633916854858,-33.890873,-271.87275974547674,140,-46.27679,1.0615428120838506,0.003382177004823461,17.692987998057262,-85.03008,-210.82584369103907,-0.07447192,-0.5833721497475305,3000,0.7930301,-223.18488672240065,0.08652533,-0.012025589,30,-2.7187275974547673,10,-240.8778747204579,0.22605383800691925,-8.160244134278491,0.94864196,-240.8778747204579,15.229689423780655,0.4900470972061157,-34.04462,0.0,-9.569875238404599,0.0019635249918792397,-2.4087787472045794,14000,12.349341,-0.54037386,13,48.88828568630712,12.339899,-0.95125085,0.06529498400050215,0.5025717,-258.5708627185152,0.7610017429979052,-0.124616526,-332.63392939321966,-87.878044,-33.89053,100,44.764793,-85.11004,3.8171368,-46.74944,-46.311417,100,-1.8616543,1.0395494,-0.99317646,1.6975156,0.13250674,0.6805008765038828,-271.87275974547674,-0.03241789,0.0012443609884940088,1.0589406279905234,-0.35056978,100.0,-0.7667630268324935,1.262393,2
-0.7557461,3200,0.96305805,12.122636,100,12.731777,100.0,-4.3484416,0.0,100,-1.8208297491073608,-35.27767,-286.8064111690789,150,-47.06554,0.9598823704782828,0.0033107259951066226,9.573370232257275,-87.16421,-244.30197025257453,-0.37365162,-2.01857044192445,3200,0.75760823,-324.3409549880774,0.087796405,-0.008633582,32,-2.8680641116907886,10,-333.91432522033466,0.2216362930194009,-10.441346903566293,0.9599168,-333.91432522033466,16.293072627828224,0.4642321467399597,-2.14368,0.0,-8.72802766530911,0.0019747689948417246,-3.339143252203346,15000,11.825168,-0.5530182,14,29.65248826208114,11.785436,-0.9516827,0.06326343599357642,0.5232513,-343.48769545259194,0.7679722270113416,-0.07971158,-336.5049705508075,-87.41743,-35.348732,100,45.481583,-87.141396,3.2572994,-46.9905,-46.996876,100,-1.8518673,12.24397,-0.96599966,1.8771727,0.16769397,0.7371399278547537,-286.8064111690789,0.003375392,0.0012252590095158666,1.0593827100237831,-0.35939837,100.0,-1.0473387682984745,1.3013546,2
-0.8490896,3400,0.9633118,13.628389,100,14.429841,100.0,-5.2931085,0.0,100,-1.7025913000106812,-37.22667,-316.76413893351184,160,-51.919716,0.5822949356627272,0.0025112960138358176,9.113724148810093,-91.10086,-232.7680798986096,-0.07375122,-1.1465740041496286,3400,0.8886331,-220.06220061865318,0.10100731,0.016388506,34,-3.1676413893351185,10,-229.17592476746327,0.2204521380190272,-11.457062996082058,0.9359595,-229.17592476746327,17.329000473837368,0.4398639500141144,-2.1384656,0.0,-5.917576652645477,0.0019408600055612624,-2.291759247674633,16000,13.435342,-0.5826385,15,30.795179586093056,13.425542,-0.9433435,0.06394290999742225,0.4829329,-238.28964891627336,0.7418538549973164,-0.08921143,-345.72970865570454,-92.20898,-37.270477,100,49.908146,-91.05914,4.329941,-51.90995,-51.908802,100,-2.0523677,13.732006,-0.9837055,1.9197707,0.1664513,0.8987541969262188,-316.76413893351184,-0.009342415,0.0012208829866722226,1.0319219420198351,-0.36856443,100.0,-2.2499396977482338,1.7219292,2
-0.85342795,3600,0.95896316,0.8509216,100,12.425092,100.0,-5.6090045,0.0,100,-1.8315271139144897,-38.446274,-277.2189285456078,170,-51.97768,0.8234019766153093,0.0033993170072790235,31.73797628473598,-98.19305,-235.8581077452353,-0.09246424,-1.4177431871813164,3600,0.81268805,-250.551885272014,0.10860838,0.003971104,36,-2.7721892854560775,10,-282.28986155675,0.22443512198515236,-9.70560088867817,0.9566085,-282.28986155675,18.373502208851278,0.4166225790977478,-39.054653,0.0,-6.965697053400835,0.0019734700035769492,-2.8228986155674995,17000,12.414538,-0.58847445,16,30.83360132070533,12.404553,-0.9344581,0.06557206599973142,0.4998012,-314.02783784148596,0.7440451720030978,0.022402277,-323.24318008568247,-99.01723,-38.41261,100,50.12425,-98.04993,4.826686,-52.450787,-51.96435,100,-1.929391,0.9652683,-0.9804031,1.9451071,0.15525977,0.6727620046447456,-277.2189285456078,-0.022599757,0.0014825800026301295,1.0409077270014677,-0.39068738,100.0,-0.18223297299036278,1.4613451,2
-0.797126,3800,0.9558605,16.546726,100,13.810702,100.0,-2.7271361,0.0,100,-1.9800862073898315,-39.965977,-266.22153112389424,180,-52.703144,0.6063655444205134,0.003458364983089268,16.612801350405903,-100.291954,-233.44554993446584,-0.12912387,-1.2776437969811603,3800,0.8109219,-250.10067047509244,0.11852937,0.0069135064,38,-2.662215311238943,10,-266.71347182549835,0.21687074299552478,-9.175543319224374,0.9448532,-266.71347182549835,19.4404477578355,0.39444500207901,-2.0876365,0.0,-5.066893875725464,0.0020200280123390257,-2.6671347182549834,18000,12.63609,-0.56102335,17,26.357455334607398,12.624718,-0.96790355,0.06486766299349256,0.49741516,-283.32627317590425,0.774389092985075,0.043500423,-304.17059795521277,-98.18197,-39.964962,100,50.942005,-100.47645,3.2346516,-52.990498,-52.707077,100,-1.9687082,16.418322,-0.9774696,1.9921309,0.16665085,0.7488055250691613,-266.22153112389424,-0.00371609,0.001213057985296473,1.062818949954817,-0.3104318,100.0,-2.209765667185858,1.3194628,2
-0.84835577,4000,0.957771,16.571,100,13.37614,100.0,-4.0782814,0.0,100,-2.120091199874878,-41.029453,-274.12825999046265,190,-53.842728,1.1440551438559192,0.002508850011508912,46.70778222990896,-98.23064,-226.67702063693207,-0.15235817,-1.3417638766408617,4000,0.79286546,-256.72646729870394,0.12213048,-0.00221962,40,-2.7412825999046264,10,-303.4342495286129,0.2217908129969146,-9.570039167181545,0.9917559,-303.4342495286129,20.502279032865772,0.37333762645721436,-3.3678699,0.0,-9.741843349144451,0.0015877019905019552,-3.034342495286129,19000,12.531515,-0.6183789,18,41.904951907422884,12.50791,-0.9763552,0.06376777097466402,0.5264905,-350.14203175852185,0.7674902089929674,-0.107266866,-334.4065676154325,-96.10765,-41.138554,100,52.291958,-97.55917,2.4830256,-53.84323,-53.858833,100,-2.1353378,16.334513,-0.9774986,1.9561398,0.1521475,0.7886552966688387,-274.12825999046265,-0.028979847,0.0012394419754855335,1.0583847869420424,-0.3861163,100.0,-2.0457381185516574,1.163958,2
-0.915451,4200,0.96237594,34.080494,100,13.768636,100.0,-3.538147,0.0,100,-2.2563188076019287,-42.28275,-255.681702484049,200,-53.550743,1.2202216875142724,0.0033898029942065477,39.20368474453413,-91.105194,-206.44357742135608,-0.17050913,-1.0460587615868684,4200,0.77000755,-225.20883204576572,0.13232477,-0.009018934,42,-2.55681702484049,10,-264.41251679029983,0.22550028000841849,-10.27372486747781,0.9879501,-264.41251679029983,21.571953169826884,0.3535182476043701,-1.7791979,0.0,-9.884146524747745,0.0019893859862349927,-2.644125167902997,20000,11.654968,-0.65823424,19,43.47847905769893,11.648463,-0.98003834,0.0642809999990277,0.48019615,-303.616201534834,0.7700266060128342,-0.111459285,-319.83196296593707,-92.09456,-42.36448,100,52.45681,-90.97948,4.3874073,-53.414284,-53.550957,100,-2.3072042,34.016747,-0.99192375,1.7412546,0.14664654,0.7002057753729599,-255.681702484049,0.0040649963,0.0012166369997430593,1.066403712000465,-0.35828695,100.0,-1.9829833112461888,1.2529173,2
