trainer/Q1 Predictions Std,trainer/Log Pis Mean,exploration/Returns Mean,exploration/Actions Max,trainer/QF2 Loss,time/saving (s),exploration/Actions Std,time/evaluation sampling (s),exploration/Returns Std,time/exploration sampling (s),evaluation/Actions Max,exploration/Rewards Min,trainer/Q Targets Max,trainer/Q1 Predictions Min,time/data storing (s),trainer/Log Pis Max,trainer/Q2 Predictions Std,evaluation/Rewards Max,evaluation/path length Max,replay_buffer/size,trainer/Q2 Predictions Mean,trainer/Policy mu Mean,evaluation/Rewards Min,exploration/Actions Min,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy Loss,evaluation/path length Mean,evaluation/Average Returns,exploration/num steps total,exploration/path length Mean,trainer/Policy log std Max,evaluation/Actions Min,trainer/Q2 Predictions Max,time/logging (s),evaluation/num paths total,exploration/Returns Max,trainer/Q Targets Mean,exploration/num paths total,trainer/Alpha Loss,exploration/Num Paths,trainer/Q Targets Std,evaluation/path length Std,evaluation/Returns Mean,Epoch,trainer/Q1 Predictions Max,trainer/Alpha,evaluation/Rewards Std,trainer/Policy mu Max,trainer/Policy mu Std,evaluation/path length Min,evaluation/Returns Std,trainer/Q1 Predictions Mean,trainer/Log Pis Std,evaluation/Rewards Mean,exploration/Returns Min,exploration/Rewards Std,time/epoch (s),trainer/Q2 Predictions Min,exploration/Rewards Max,exploration/Actions Mean,evaluation/Returns Min,trainer/QF1 Loss,trainer/Policy log std Min,trainer/Q Targets Min,trainer/Policy mu Min,exploration/path length Std,evaluation/Actions Std,time/total (s),evaluation/Num Paths,evaluation/num steps total,evaluation/Returns Max,exploration/path length Max,exploration/Rewards Mean,exploration/Average Returns,evaluation/Actions Mean,exploration/path length Min,time/training (s),trainer/Policy log std Std
0.00090725615,-1.2578772,-834.5200820818889,0.99625933,64.63718,0.0022424760027206503,0.6235114,0.320452606996696,184.95993429945005,0.16187052099849097,0.0017824703,-12.911270385310969,-2.2365308,0.0038774179,0.0029985289947944693,-0.6550772,0.001033024,-1.2106870018087077,100,700,-0.00041932263,0.0005637239,-10.476415507214382,-0.9976916,-1.8068938,0.000534619,-1.2574399,100.0,-635.6085976715029,700,100.0,0.0015702696,-0.00034502556,0.0024102195,0.005624533994705416,15,-549.4932845438123,-7.5874662,7,-0.0,5,2.6593711,0.0,-635.6085976715029,0,0.0077648987,0.9997000694274902,2.8876834436557943,0.002018316,0.00059652375,100,288.7599232550487,0.005392354,0.30364174,-6.35608597671503,-1048.0247882758217,2.417744475311506,2.626205974993354,-0.002751247,-1.621353806909517,0.0003027296,-1043.4478294876083,64.72478,-0.00010470452,-12.790714,-0.0004448027,0.0,0.0005160049,2.8641687700073817,15,1500,-125.59159165281237,100,-8.345200820818889,-834.5200820818889,0.00058063626,100,2.1330173080059467,0.00039793638
5.2330184,-1.0523727,-277.67995069003507,0.97094697,0.8639439,0.007796548001351766,0.5756371,0.3825214190001134,34.28941844179907,0.16616266799974255,0.044691417,-8.888467677476363,-1.2144089,-25.537802,0.002999397001985926,0.7690686,5.147049,-0.11518055515400981,100,1200,-12.382794,-0.3825935,-11.02518119410933,-0.9976513,-3.0481544,-0.21266788,10.878726,100.0,-282.10806490077505,1200,100.0,-0.13855375,-0.6659378,-6.111501,0.0048279549955623224,30,-234.81179502771238,-12.221907,12,-0.4465906620025635,5,5.502841,0.0,-282.10806490077505,1,-5.944749,0.8636529445648193,1.2718816662401076,0.058554925,0.2502564,100,94.34786673913212,-12.296045,0.72406584,-2.8210806490077482,-335.3906186378925,1.415004270337526,2.6875330219991156,-25.786898,-0.02819238635219617,-0.10942419,-536.414256152471,0.84439206,-0.34738037,-26.472813,-0.81596637,0.0,0.12391103,5.5566164910269435,15,3000,-192.48237457130483,100,-2.77679950690035,-277.67995069003507,-0.1945588,100,2.1232250350003596,0.05265449
8.98314,-0.8682599,-155.608430543059,0.9920805,0.6536007,0.0020203009989927523,0.5600369,0.35501276399736525,14.790939849766191,0.16237854299833998,0.7054417,-8.423244257069365,-8.84382,-45.78733,0.0029844119999324903,1.9985082,8.969288,-0.11752437459139448,100,1700,-16.525297,-0.22608505,-8.261459042298059,-0.9942607,-5.114051,-0.30780834,14.654327,100.0,-95.98488911615713,1700,100.0,-0.15065569,-0.8505621,-9.481252,0.0049721229952410795,45,-134.90631319145857,-16.565994,17,-0.8042547106742859,5,8.862089,0.0,-95.98488911615713,2,-9.456319,0.7552906274795532,0.7819694806959805,0.94979763,0.59966093,100,12.413307864716783,-16.49921,1.0336763,-0.9598488911615713,-176.9893589482552,0.9726619024947216,2.682280719986011,-46.145832,-0.0881740472656081,-0.024855375,-114.26435600252164,0.66172546,-0.5035248,-43.33393,-1.3999287,0.0,0.1360298,8.243906368013995,15,4500,-75.65453504766955,100,-1.5560843054305902,-155.608430543059,-0.02273528,100,2.1549125769961393,0.09721257
10.368801,-0.5020037,-167.51001905265602,0.982505,0.5919062,0.001971648001926951,0.5722669,0.35644488200341584,22.20527410907753,0.16946100600034697,0.74904233,-11.675103247157596,-10.871959,-52.51016,0.003297320996352937,3.030954,10.388644,-0.15179034684529621,100,2200,-19.117332,-0.16642706,-9.935579580019912,-0.9939713,-3.3211546,-0.3872933,17.343779,100.0,-118.71926825155502,2200,100.0,-0.21818839,-0.9298164,-11.591607,0.005459314001200255,60,-136.4407068116816,-19.294693,22,-1.0247516632080078,5,10.582963,0.0,-118.71926825155502,3,-11.552269,0.6637692451477051,0.9191042645818764,1.1359823,0.72094744,100,14.53269156149128,-19.151695,1.2628455,-1.1871926825155505,-192.79251861948373,1.4715188383820719,2.6777420330035966,-52.69544,-0.08472325206025953,-0.05434751,-142.86593320495726,0.59584725,-0.6132484,-54.268547,-1.6260216,0.0,0.16257168,10.92570380801044,15,6000,-95.39397667707635,100,-1.6751001905265603,-167.51001905265602,-0.028565736,100,2.1411078620003536,0.09560777
14.259589,-0.27460244,-118.43219591394227,0.9777928,4.892051,0.001992349003558047,0.5094376,0.3491673019962036,21.164252403085047,0.16055813799903262,0.8276897,-9.817915798787702,-1.8539908,-71.16303,0.003520521000609733,4.199767,14.226783,-0.7774589221852104,100,2700,-24.030756,-0.32948884,-10.809839869488636,-0.9963203,-3.9707565,-0.490103,21.733435,100.0,-109.02016526054709,2700,100.0,-0.26415202,-0.9369342,-13.629474,0.005572376001509838,75,-92.11974547077341,-23.788708,27,-1.2269870042800903,5,14.660983,0.0,-109.02016526054709,4,-13.62613,0.5829321146011353,0.9449731737150487,1.321272,0.83218646,100,13.77752003476098,-24.072397,1.392191,-1.0902016526054712,-153.38026462364914,0.9762916226440761,2.6468832780010416,-71.270035,-0.06419558894335582,-0.03178946,-138.0056597114119,4.963828,-0.65412825,-73.79281,-1.7777637,0.0,0.16894168,13.577051561020198,15,7500,-88.21346973424755,100,-1.1843219591394227,-118.43219591394227,-0.028912831,100,2.1260725920001278,0.09839797
12.73747,-0.3452155,-110.4299763478983,0.9959244,0.719467,0.00198106600146275,0.50595295,0.35760271300387103,10.98265075794991,0.16866195799957495,0.81259644,-5.745090988363661,-14.998362,-67.67525,0.0031034839994390495,3.888628,12.735947,-0.28792223481125395,100,3200,-22.397171,-0.12809697,-9.990125582291295,-0.9909037,-3.3216944,-0.52802795,20.668806,100.0,-91.76684924195793,3200,100.0,-0.2830029,-0.9641139,-15.426611,0.004208461999951396,90,-94.3434341102502,-22.482847,32,-1.5805463790893555,5,12.771488,0.0,-91.76684924195793,5,-15.446983,0.5095574855804443,0.8169961033449956,1.4789536,0.75599325,100,12.917847374943186,-22.396196,1.3095822,-0.9176684924195793,-121.69027053700046,0.6845774905684419,2.8726712640054757,-67.45182,-0.026861583642110463,-0.019855754,-123.98530960530063,0.68915564,-0.66408604,-69.964584,-1.9981438,0.0,0.15595956,16.454356156005815,15,9000,-73.25243920934314,100,-1.104299763478983,-110.4299763478983,-0.027615165,100,2.3371135810011765,0.11340215
11.310864,-0.15330105,-89.54704812126299,0.9599759,2.9356673,0.0019835389975924045,0.49842343,0.3675870950028184,9.528005519368573,0.1836085609975271,0.8971203,-7.737454646664564,-1.4878726,-70.92627,0.004139500000746921,4.7029886,11.282168,-0.12729383325229082,100,3700,-23.208677,-0.20975843,-11.559515188448872,-0.98834527,-3.7429655,-0.60063,21.512182,100.0,-55.42047602926188,3700,100.0,-0.3368169,-0.9715411,-16.801485,0.004811450002307538,105,-79.43777101746736,-23.11906,37,-1.7499920129776,5,11.72353,0.0,-55.42047602926188,6,-16.799976,0.44353410601615906,0.9532381208053994,1.5321746,0.81514084,100,16.836699846892643,-23.20467,1.6161821,-0.5542047602926189,-106.11991017888984,0.7808571149733664,2.8584581579998485,-70.64013,-0.03849522691381921,-0.021900116,-92.71863120248479,2.9040306,-0.73004794,-72.08827,-2.1077175,0.0,0.1691734,19.317680365013075,15,10500,-36.60354446326603,100,-0.89547048121263,-89.54704812126299,-0.02912098,100,2.296328012998856,0.100334376
12.221682,-0.09778367,-86.69841810313503,0.96633726,0.700379,0.001996953993511852,0.4993342,0.3588028590020258,9.919580959237642,0.16314186400268227,0.90247864,-7.677166908584001,-17.7161,-87.576965,0.003001623001182452,4.3802404,12.189231,-0.07304956767158542,100,4200,-23.286022,-0.327631,-9.141731172084558,-0.9880808,-3.7397952,-0.63319576,21.866745,100.0,-25.935398251938988,4200,100.0,-0.35073054,-0.9710919,-17.799131,0.005551832000492141,120,-69.96277787437269,-23.431372,42,-1.999418020248413,5,11.869224,0.0,-25.935398251938988,7,-17.822384,0.38543152809143066,0.7757992741009999,1.5195047,0.7403658,100,13.393074550980838,-23.285154,1.4712379,-0.2593539825193898,-100.85013231965515,0.9095881352253835,2.7344699460008997,-87.472885,-0.05843060899611447,-0.034897342,-60.16839495687955,0.71852696,-0.7765653,-82.95021,-2.0809858,0.0,0.14409485,22.057433052003034,15,12000,-11.656794586880535,100,-0.8669841810313503,-86.69841810313503,-0.021350784,100,2.201974814001005,0.102519356
9.460935,-0.16377136,-85.22124911170548,0.96775436,4.9988503,0.0019887949965777807,0.4782954,0.35888644400256453,19.44384326297112,0.16360349299793597,0.9027921,-10.68695896370848,-1.554417,-61.32309,0.0036573649995261803,4.5189843,9.472996,-0.043292549968962646,100,4700,-23.803082,-0.20307907,-10.926956006213803,-0.9889439,-3.5802875,-0.6979214,22.516567,100.0,-33.183586710201425,4700,100.0,-0.44925022,-0.97300625,-18.774,0.004847010000958107,135,-62.7909341497976,-23.816767,47,-2.3655381202697754,5,9.977687,0.0,-33.183586710201425,8,-18.757402,0.33503347635269165,0.9151957790539503,1.6531273,0.8107922,100,17.06798396427902,-23.801704,1.350802,-0.3318358671020143,-108.44471215266779,1.077447132085342,2.672810878997552,-61.35524,-0.02668352111317017,-0.03254656,-69.37426544812752,4.975914,-0.8909669,-63.02146,-2.185114,0.0,0.16119573,24.734747152004275,15,13500,-15.888395147556253,100,-0.8522124911170549,-85.22124911170548,-0.029574407,100,2.1398277719999896,0.11564655
8.141791,-0.13554296,-75.28768450249082,0.9392757,0.3851697,0.002003724999667611,0.45729065,0.3508634030004032,19.277951480719835,0.15939359199546743,0.8948634,-9.549814233318829,-19.341156,-61.846527,0.003724857000634074,4.8774652,8.134317,-0.013378649203295732,100,5200,-23.464472,-0.27664462,-9.667592134594074,-0.9944799,-5.9441686,-0.7472435,22.406784,100.0,-42.04126358937275,5200,100.0,-0.5085472,-0.9793717,-19.420303,0.005665187003614847,150,-53.33411637530665,-23.718718,52,-2.631335973739624,5,8.186969,0.0,-42.04126358937275,9,-19.464222,0.29157936573028564,1.2608104556309365,1.7333121,0.74618703,100,16.55038161601135,-23.496433,1.5678079,-0.42041263589372746,-104.79789452280696,1.0635399286543146,2.649832985000103,-61.77181,-0.018536502678337608,-0.038182724,-64.34829706304672,0.37628683,-0.9503086,-61.793507,-2.2374396,0.0,0.19416068,27.389146106004773,15,15000,-13.236317433859972,100,-0.7528768450249083,-75.28768450249082,-0.04104973,100,2.1281822210003156,0.11079351
