exploration/Average Returns,time/epoch (s),evaluation/Average Returns,trainer/Policy mu Min,trainer/Policy Loss,trainer/Policy mu Max,exploration/Actions Std,exploration/Rewards Mean,time/evaluation sampling (s),exploration/Rewards Std,evaluation/Actions Min,exploration/Actions Min,Epoch,time/exploration sampling (s),time/logging (s),evaluation/Returns Mean,evaluation/Returns Min,exploration/Num Paths,exploration/num paths total,exploration/path length Mean,trainer/Log Pis Max,exploration/Returns Std,exploration/path length Std,trainer/Alpha,time/saving (s),trainer/Q2 Predictions Max,trainer/Policy mu Mean,evaluation/num steps total,trainer/Q Targets Min,trainer/Q1 Predictions Min,trainer/Log Pis Mean,evaluation/Actions Max,exploration/path length Max,exploration/path length Min,evaluation/Rewards Std,trainer/Q Targets Max,trainer/Q1 Predictions Max,trainer/Q2 Predictions Std,exploration/Rewards Min,time/training (s),trainer/Q2 Predictions Mean,time/data storing (s),evaluation/Actions Mean,trainer/QF1 Loss,evaluation/Actions Std,trainer/QF2 Loss,trainer/Log Pis Min,trainer/Q2 Predictions Min,exploration/Actions Max,evaluation/Returns Std,exploration/Actions Mean,exploration/Returns Min,evaluation/path length Mean,evaluation/Rewards Min,trainer/Alpha Loss,evaluation/num paths total,trainer/Log Pis Std,trainer/Policy log std Min,evaluation/path length Max,exploration/num steps total,time/total (s),trainer/Q1 Predictions Mean,exploration/Returns Mean,trainer/Policy mu Std,trainer/Policy log std Max,trainer/Policy log std Mean,exploration/Returns Max,trainer/Q Targets Mean,trainer/Policy log std Std,exploration/Rewards Max,trainer/Q Targets Std,evaluation/Rewards Mean,replay_buffer/size,evaluation/Num Paths,evaluation/Returns Max,trainer/Q1 Predictions Std,evaluation/path length Std,evaluation/path length Min,evaluation/Rewards Max
-110.9800036587173,1.2981964109931141,-48.73780876759393,-1.6457589,12.675677,1.8193301,0.5314117,-1.1098000365871732,0.25033251399872825,1.289477414291487,-0.9055598,-0.9809294,10,0.06931299599818885,0.003424334980081767,-48.73780876759393,-77.98312508527422,2,24,100.0,3.3952918,27.247818528631235,0.0,0.5772291421890259,0.002379801997449249,-8.611126,0.12540601,11000,-64.45937,-67.42918,-0.6285593,0.9478401,100,100,1.246989575761585,-0.7358926,-8.59338,10.485248,-10.265383602440389,0.9714931970229372,-14.511482,0.001253566995728761,0.031006718,1.4705426,0.19266036,1.5141114,-2.9665265,-67.57933,0.98382306,17.559834623686758,0.027903039,-138.22782218734852,100.0,-10.530852123591915,-1.443711519241333,110,1.1732218,-0.6511115,100,2400,14.624638451845385,-14.478222,-110.9800036587173,0.7007342,-0.22626194,-0.49301398,-83.73218513008605,-14.375605,0.10882985,-0.06914298204389994,10.340633,-0.48737808767593926,2400,10,-23.566979703566147,10.450551,0.0,100,-0.15350270211412553
-82.13127732573747,1.30683970998507,-56.28027209033469,-1.5700562,14.856747,1.9091825,0.52090955,-0.8213127732573744,0.25661917598336004,0.7581707452231886,-0.9324322,-0.96521014,11,0.06710918201133609,0.003374986001290381,-56.28027209033469,-74.35163803398541,2,26,100.0,3.4692101,10.334422950110529,0.0,0.5465006828308105,0.0023350169940385967,-9.0652275,0.30553296,12000,-56.416935,-56.386005,-0.09001558,0.9531939,100,100,0.7356023239497533,-8.886825,-9.004626,11.699044,-6.660346392528571,0.9762132489995565,-16.338953,0.001188099995488301,0.024787404,1.0067296,0.17077829,1.1010982,-6.029707,-56.2456,0.99294513,9.842457658582058,0.030075582,-92.46570027584801,100.0,-7.916892674504754,-1.262268304824829,120,1.6114943,-0.68414783,100,2600,15.935559378820471,-16.275473,-82.13127732573747,0.7697034,-0.25763232,-0.5573987,-71.79685437562695,-16.214125,0.08576033,-0.03356339661741019,11.442172,-0.5628027209033469,2600,10,-45.344521052441905,11.724269,0.0,100,-0.06620572553643925
-105.12084895540357,1.307825885975035,-45.627058206268416,-1.6661332,14.825326,2.024601,0.5387997,-1.0512084895540355,0.2600261839979794,1.3720295352857026,-0.9291149,-0.96185994,12,0.06747298801201396,0.0034745550074148923,-45.627058206268416,-60.63412932194587,2,28,100.0,3.6931658,1.4688168362963268,0.0,0.5172029733657837,0.0019559359934646636,-9.594325,0.18388301,13000,-69.86042,-72.07252,-0.32314357,0.9646876,100,100,1.4341104811352428,-9.364401,-9.556447,11.789838,-8.768383100904058,0.9736988419899717,-16.556282,0.0011973809741903096,0.03529471,0.744236,0.20779102,0.7748996,-4.095623,-72.2185,0.9796162,11.955581387182987,0.042586748,-106.5896657916999,100.0,-9.542929351234502,-1.531043291091919,130,1.403605,-0.7055089,100,2800,17.247455590812024,-16.524265,-105.12084895540357,0.7781959,-0.2561611,-0.53792757,-103.65203211910725,-16.64257,0.094093315,-0.05098166048314946,11.76512,-0.45627058206268417,2800,10,-19.096294068880372,11.770225,0.0,100,-0.06936353516652535
-68.96782289254155,1.2899833639676217,-24.137018590839254,-1.6800885,13.973682,2.0202646,0.5155569,-0.6896782289254155,0.25237823199131526,0.45363314680946476,-0.93487966,-0.9592628,13,0.06914725099341013,0.003472383978078142,-24.137018590839254,-59.35371341474992,2,30,100.0,3.648379,2.3937464532959467,0.0,0.4890112578868866,0.0023165169986896217,-9.900305,0.16864689,14000,-64.27374,-62.754272,-0.25261503,0.96824604,100,100,0.8640127038561702,-3.0962174,-10.03339,9.865495,-4.114519871392039,0.9612888759875204,-15.499211,0.0013801040186081082,0.020288762,3.205641,0.16601208,3.3091316,-2.7399025,-62.400608,0.97176707,13.852574636019513,0.029245138,-71.3615693458375,100.0,-9.68948552284512,-1.6108274459838867,140,1.2425474,-0.71694607,100,3000,18.54152277877438,-15.580691,-68.96782289254155,0.7570646,-0.28968382,-0.5748804,-66.5740764392456,-15.445592,0.07978597,-0.07334698729520624,9.754537,-0.2413701859083926,3000,10,-7.749795705690342,9.849873,0.0,100,-0.06927335467774405
-76.83564450431145,1.306505209999159,-28.144763212992665,-1.8682363,14.413012,1.9549273,0.49788678,-0.7683564450431146,0.27355688900570385,0.8561066710671248,-0.94704753,-0.9602913,14,0.06686412601266056,0.0034298849932383746,-28.144763212992665,-67.53369732352024,2,32,100.0,3.7253165,2.558010970465361,0.0,0.4623401165008545,0.010197516006883234,-10.128184,0.24911763,15000,-49.373276,-49.50728,-0.46016845,0.9605802,100,100,0.9245012121866121,-0.23463589,-10.163129,9.85746,-6.302295278470751,0.9511703669850249,-16.14772,0.0012864269956480712,0.019765137,1.6025459,0.16204518,1.603383,-3.4406512,-49.673737,0.98170376,17.59654446188602,0.021033634,-79.3936554747768,100.0,-10.081841230325349,-1.897233486175537,150,1.2581099,-0.7606644,100,3200,19.852083240810316,-16.1764,-76.83564450431145,0.7479519,-0.30211696,-0.61800134,-74.27763353384609,-16.15749,0.097612664,-0.04450188018562551,9.8321295,-0.2814476321299267,3200,10,-11.378890168083581,9.907378,0.0,100,-0.041815469250235854
-89.61180751527966,1.2996278099890333,-35.88137259522171,-1.7735448,14.005279,2.134842,0.51556695,-0.896118075152797,0.25125702799414285,1.2797715179458085,-0.9149135,-0.9856262,15,0.07023030600976199,0.004093702998943627,-35.88137259522171,-52.4733455396962,2,34,100.0,3.3138614,8.976336243911362,0.0,0.4370284080505371,0.0026789180119521916,-10.57103,0.17635678,16000,-68.65231,-66.95234,-0.41935351,0.9670301,100,100,1.1185338688886877,-0.39290154,-10.528306,10.606619,-8.729408943404371,0.9701504579861648,-15.2909155,0.001217396988067776,0.03883005,1.5554216,0.18600422,1.5708255,-3.2089896,-66.94553,0.997857,14.76870682994824,0.01868617,-98.58814375919103,100.0,-9.241774680722038,-2.001950263977051,160,1.2381773,-0.82206696,100,3400,21.155892346811015,-15.300825,-89.61180751527966,0.66253424,-0.26823327,-0.6243761,-80.6354712713683,-15.487112,0.13152122,-0.08634285776803284,10.831356,-0.35881372595221717,3400,10,-12.17149642804995,10.604213,0.0,100,-0.007739784318529897
-86.21920476877,1.316502045985544,-37.913188798266106,-1.7653408,15.479645,1.9613557,0.5162309,-0.8621920476877,0.2604181889910251,1.176483281049489,-0.9273571,-0.98284286,16,0.06859672701102681,0.003422860987484455,-37.913188798266106,-65.29125228674417,2,36,100.0,4.019643,14.894831563950312,0.0,0.4128214120864868,0.002448621002258733,-11.135199,0.21665691,17000,-54.593414,-54.46312,-0.30736378,0.9614145,100,100,1.278500213900496,-0.3454017,-11.125555,9.630742,-8.921418946417413,0.9804336079978384,-17.15419,0.0011820399959105998,0.024574393,2.227036,0.19457075,2.3186214,-3.407946,-54.89722,0.97778356,20.747382764924534,0.024671186,-101.11403633272032,100.0,-10.212174968893525,-2.0407471656799316,170,1.3613504,-0.7616864,100,3600,22.47712801481248,-17.147682,-86.21920476877,0.7792056,-0.27149037,-0.58230555,-71.3243732048197,-17.297361,0.119644426,-0.024009124305972053,9.8326645,-0.37913188798266106,3600,10,-12.042523081570314,9.677627,0.0,100,-0.037977655006726466
-86.68001368483151,1.2933498509810306,-40.884683331491374,-1.7051724,15.743472,2.2712512,0.500949,-0.8668001368483153,0.25765518099069595,1.2750544839808329,-0.94504607,-0.9591646,17,0.06976481599849649,0.002585170994279906,-40.884683331491374,-67.20249371718297,2,38,100.0,3.8522282,20.085692340438854,0.0,0.38981926441192627,0.0023293230042327195,-11.458675,0.2673106,18000,-75.31302,-72.55501,-0.4129879,0.9768938,100,100,1.034617867084669,-11.195417,-11.515753,11.901685,-9.793464804594032,0.9596727459866088,-17.488197,0.001342614006716758,0.026184272,0.5015737,0.18869253,0.5185684,-3.3705018,-72.54498,0.99355483,15.065060349194741,0.03511584,-106.76570602527036,100.0,-10.233046609302829,-2.2725090980529785,180,1.2964629,-0.76715267,100,3800,23.774593855807325,-17.484932,-86.68001368483151,0.74700975,-0.3224349,-0.6132762,-66.59432134439265,-17.779364,0.09405499,-0.0608333505012899,12.207366,-0.4088468333149137,3800,10,-23.969006438133626,11.926886,0.0,100,-0.10964083580684916
-82.61556275419285,1.2960460350150242,-41.65768559984194,-1.8548623,18.897907,2.270152,0.46885788,-0.8261556275419288,0.25405546597903594,1.1544549322403974,-0.906415,-0.9496284,18,0.06729002500651404,0.003416451014345512,-41.65768559984194,-68.53124897321531,2,40,100.0,4.137787,26.64421680327956,0.0,0.36797088384628296,0.0023153240035753697,-11.984107,0.28329507,19000,-76.483734,-79.44834,-0.026384007,0.9787331,100,100,0.9600295917237559,-0.43675864,-12.040112,15.935306,-9.507983059619862,0.9676663120044395,-20.834856,0.0013024570071138442,0.03012925,4.194846,0.17063417,4.623086,-5.734516,-79.72617,0.9912766,15.37535089292113,0.04560134,-109.25977955747241,100.0,-9.279507684580743,-2.0253000259399414,190,1.6280819,-0.77269214,100,4000,25.07401470383047,-20.761143,-82.61556275419285,0.8755136,-0.3636766,-0.64605176,-55.971345950913296,-20.464571,0.08061823,-0.06212320575606921,15.695531,-0.4165768559984194,4000,10,-22.88701469337041,15.805004,0.0,100,-0.022104237475057083
-69.85060613965284,1.296242035983596,-33.000093916805454,-1.9048405,14.967046,2.0568054,0.50290096,-0.6985060613965284,0.25266870099585503,0.6987944750870017,-0.9515385,-0.9590042,19,0.06807374299387448,0.00346886197803542,-33.000093916805454,-69.05956335467769,2,42,100.0,3.9326308,10.160897891646268,0.0,0.34749531745910645,0.002318078011739999,-12.180512,0.08169844,20000,-49.25106,-49.249115,-0.247552,0.9760488,100,100,1.0451173897650765,-11.988992,-12.277539,8.049187,-6.051378261799921,0.9685558160126675,-16.143686,0.001156835991423577,0.02120965,0.27761808,0.17994311,0.2722121,-4.1248503,-49.479725,0.9793376,16.349840821629307,0.03002359,-80.01150403129911,100.0,-10.142469549326313,-2.3750388622283936,200,1.2376909,-0.8444743,100,4200,26.374355111824116,-16.163378,-69.85060613965284,0.72026646,-0.3855056,-0.6651936,-59.689708248006575,-16.104565,0.09852732,-0.05734654284195342,8.00224,-0.3300009391680545,4200,10,-11.76911030905322,8.0167465,0.0,100,-0.0757072783270302
