evaluation/Returns Max,exploration/Actions Min,trainer/QF1 Loss,evaluation/Returns Std,trainer/Alpha,exploration/Rewards Min,trainer/Q1 Predictions Max,trainer/Log Pis Std,exploration/path length Max,evaluation/path length Max,trainer/Alpha Loss,trainer/Policy mu Mean,trainer/Q1 Predictions Std,evaluation/Num Paths,evaluation/Actions Mean,evaluation/path length Mean,time/total (s),evaluation/Returns Min,evaluation/path length Std,time/logging (s),trainer/Policy mu Min,trainer/Q1 Predictions Min,trainer/Policy mu Max,trainer/Policy log std Max,Epoch,trainer/Q Targets Min,exploration/Actions Mean,trainer/Q2 Predictions Mean,trainer/Q Targets Std,trainer/Q2 Predictions Min,trainer/Policy mu Std,evaluation/Average Returns,exploration/path length Min,exploration/Rewards Max,time/saving (s),evaluation/num steps total,evaluation/Actions Max,trainer/Q2 Predictions Std,trainer/Policy log std Min,trainer/Policy log std Mean,trainer/Q1 Predictions Mean,exploration/Returns Std,evaluation/Returns Mean,trainer/Policy log std Std,trainer/QF2 Loss,trainer/Log Pis Max,exploration/num paths total,exploration/Returns Mean,exploration/Num Paths,exploration/Rewards Mean,time/exploration sampling (s),evaluation/path length Min,exploration/Returns Max,evaluation/Actions Std,trainer/Q Targets Max,evaluation/Rewards Max,exploration/path length Std,exploration/num steps total,trainer/Policy Loss,evaluation/Rewards Mean,exploration/Actions Std,exploration/Actions Max,trainer/Log Pis Min,evaluation/Rewards Min,time/evaluation sampling (s),evaluation/num paths total,time/training (s),time/data storing (s),evaluation/Actions Min,time/epoch (s),evaluation/Rewards Std,trainer/Log Pis Mean,exploration/Rewards Std,exploration/path length Mean,trainer/Q Targets Mean,exploration/Returns Min,replay_buffer/size,trainer/Q2 Predictions Max,exploration/Average Returns
-220.24744900693796,-0.9966125,47.408527,279.863571030366,0.9997000694274902,-12.579829669451534,0.00089824316,0.30157155,100,100,-0.0,0.0010107192,0.0013635567,15,0.0010195379,100.0,3.0465926859833417,-1358.8909394702696,0.0,0.004520870999840554,-0.0004141872,-0.0042053247,0.0027159736,0.0025911152,0,-11.731921,0.0014100648,0.0020670125,2.849811,-0.0003438458,0.00072722445,-720.7760144135465,100,-0.09973771062821934,0.0023460079974029213,1500,0.0029244425,0.001148211,-0.0028707234,0.00030902878,-0.0013836379,210.03306701910105,-720.7760144135465,0.0013126882,47.455894,-0.6068119,7,-669.462927021641,5,-6.694629270216411,0.1627410820001387,100,-395.71234187437295,0.00081437937,-0.7720169,-2.01040881739315,0.0,700,-1.3467264,-7.207760144135466,0.62993103,0.9911347,-1.8334968,-13.589104939460114,0.3332026110001607,15,2.299608035995334,0.00319627200224204,-0.00019090174,2.805614879995119,2.7988912667297527,-1.348165,2.9206803798106478,100.0,-6.269852,-949.7213866702808,700,0.0044802576,-669.462927021641
-316.5704868079416,-0.9954737,1.2687109,102.7449760723183,0.8633439540863037,-7.856624807323222,-4.404996,0.7674659,100,100,-0.45787957310676575,-0.39444843,5.738311,15,-0.28229433,100.0,5.8603810709828394,-714.2561477746918,0.0,0.0060461120010586455,-0.8818887,-23.92748,0.05840375,-0.15531152,1,-22.232563,-0.19336648,-11.395844,5.3742094,-23.807953,0.24473985,-387.8571125002227,100,-0.5965024041352118,0.011824852001154795,3000,0.03235006,5.676989,-0.3083303,-0.21489921,-11.314073,34.91001603146465,-387.8571125002227,0.037281718,1.1521705,0.5757593,12,-347.1642432684157,5,-3.471642432684158,0.1743555059947539,100,-305.6478506578081,0.11017689,-3.3644257,-0.29612417394120294,0.0,1200,9.793972,-3.878571125002227,0.55904514,0.9776975,-3.4280465,-10.699968860642585,0.41727355400507804,30,2.1963249699983862,0.0030069710046518594,-0.6836327,2.8088319650050835,1.214892666616295,-1.1220192,1.061925227137628,100.0,-11.999767,-405.9071002347619,1200,-4.4088373,-347.1642432684157
-7.213937193776095,-0.99242467,0.7895549,22.745239794874408,0.7525325417518616,-9.2313425390118,-8.413717,1.0408281,100,100,-0.8093321323394775,-0.26840115,9.105912,15,-0.03677814,100.0,8.658528510975884,-79.21572417160499,0.0,0.004883506000624038,-1.3506467,-41.217724,0.636297,-0.14497381,2,-42.081413,-0.050130423,-17.296759,9.380921,-41.267223,0.60923076,-39.515543238054946,100,-0.06429524589068122,0.0022265689985943027,4500,0.498761,9.139713,-0.53021276,-0.29768777,-17.325903,37.66363386700974,-39.515543238054946,0.107924804,0.7351951,1.5806605,17,-153.9593249383169,5,-1.5395932493831692,0.17289136500039604,100,-108.15233129276822,0.15328123,-7.9222507,-0.0182900928408962,0.0,1700,15.56275,-0.39515543238054945,0.5911556,0.9947119,-3.262198,-11.45552005098454,0.37859713199577527,45,2.231764126001508,0.0031916000007186085,-0.8716359,2.7935542979976162,1.2763301877346653,-0.8492732,1.2673842419780401,100.0,-17.477179,-205.89313030065867,1700,-8.450861,-153.9593249383169
-90.14951095990509,-0.99205536,1.1233464,14.116503740573025,0.6601283550262451,-9.634548930796367,-10.549887,1.0606016,100,100,-1.114473581314087,-0.06675745,10.201984,15,-0.032747757,100.0,11.603245674981736,-139.5871259230459,0.0,0.006434273003833368,-1.6046091,-51.188805,1.0568115,-0.16164564,3,-53.37325,-0.033250276,-17.949547,10.757202,-51.574604,0.6988169,-115.08450111432018,100,-0.07126935561513514,0.0023844989991630428,6000,0.755514,10.171748,-0.60329986,-0.35595652,-17.958088,13.146515523765634,-115.08450111432018,0.107380696,1.1221529,2.5133438,22,-135.66715277696593,5,-1.3566715277696595,0.17954644600104075,100,-114.51671156941411,0.17195548,-9.873322,-0.2672115187506569,0.0,2200,16.03136,-1.1508450111432018,0.55541897,0.98391706,-4.174962,-10.755645209357583,0.3752848029980669,60,2.3728889010017156,0.003529904002789408,-0.91045594,2.940068826006609,1.0458677954359186,-0.6850445,1.1398422520945088,100.0,-18.131926,-152.6229869418881,2200,-10.429193,-135.66715277696593
-91.53524752883497,-0.9823525,5.3077555,15.656343590360642,0.5779062509536743,-9.108331037842236,-12.434811,1.3177255,100,100,-1.255233645439148,-0.14981082,12.709643,15,-0.031950302,100.0,14.35369398198236,-146.87240882321336,0.0,0.004877065999608021,-1.8329017,-59.243,1.2257752,-0.22825533,4,-62.94287,-0.033385217,-21.296753,13.419285,-59.333225,0.8054594,-113.08185996326749,100,-0.06513862470105367,0.0019525960015016608,7500,0.80574566,12.709814,-0.641542,-0.44329262,-21.313946,8.550182573000832,-113.08185996326749,0.10688718,5.3835874,3.448204,27,-140.52642035067336,5,-1.4052642035067333,0.16558624000026612,100,-132.6290369490697,0.17073101,-0.9821139,-0.32489925295561733,0.0,2700,19.51472,-1.130818599632675,0.54451877,0.9890191,-4.167353,-11.734359348296737,0.36859624500357313,75,2.200435970000399,0.0030304910033009946,-0.94615734,2.7444786080086487,0.982076333080473,-0.29022142,1.0184386577043965,100.0,-21.245125,-155.11156430601406,2700,-12.452264,-140.52642035067336
-92.02807798978755,-0.9928517,16.575504,14.669443489573636,0.5039424300193787,-11.6203942476931,-14.314832,1.2591392,100,100,-1.6198452711105347,-0.074117996,12.215783,15,-0.03416207,100.0,17.150529487989843,-144.5669940879879,0.0,0.004858241001784336,-1.789046,-64.44289,1.3425705,-0.23343241,5,-66.24512,-0.037070084,-22.046003,13.284747,-64.11544,0.7868483,-109.8677776952368,100,-0.03442143948377685,0.0019626740031526424,9000,0.7552444,12.186644,-0.631915,-0.44396198,-22.050127,14.931122029190036,-109.8677776952368,0.09234721,16.561577,3.2908223,32,-148.28459895023988,5,-1.482845989502399,0.1660147130023688,100,-136.9419322192474,0.16189516,-0.6305994,-0.8588139259312627,0.0,3200,20.01095,-1.098677776952368,0.54347503,0.9770377,-3.1018927,-11.608044473896255,0.35507236899866257,90,2.260778752002807,0.0031039109962875955,-0.9546353,2.791790660005063,0.9185794919735386,-0.36467865,1.3030326735579487,100.0,-21.786613,-177.25593050536082,3200,-14.252183,-148.28459895023988
-72.58764056388445,-0.9840223,0.8146433,14.1108183903439,0.4380762279033661,-5.748038414697087,-16.28105,1.4212103,100,100,-2.050790786743164,-0.106634654,13.186717,15,-0.030252019,100.0,19.977785938004672,-124.27948176771618,0.0,0.004744958998344373,-1.9089094,-70.825424,1.4068652,-0.31999707,6,-72.131035,-0.010315834,-23.423904,13.356822,-70.60918,0.7804336,-91.37437108889807,100,-0.043094972820782035,0.0035252390007372014,10500,0.78215903,13.178055,-0.72737116,-0.54302263,-23.431807,5.933829635451201,-91.37437108889807,0.08433927,0.8310036,4.012099,37,-103.75987190589078,5,-1.037598719058908,0.17763155599823222,100,-94.85872119067128,0.16062886,-15.673313,-0.3321111942106427,0.0,3700,21.599693,-0.9137437108889808,0.5095712,0.9728005,-3.6920974,-11.004018804172453,0.3903654239984462,105,2.2421182980033336,0.0032072220055852085,-0.9587699,2.821592698004679,0.8852474440967301,-0.48557433,0.6172715123357807,100.0,-23.593515,-112.19871679112083,3700,-16.13243,-103.75987190589078
-33.10748500909531,-0.9927562,9.692933,18.033511353931722,0.3796654939651489,-7.784290053823946,-17.869286,1.6000906,100,100,-2.1397511959075928,-0.24635799,11.417545,15,-0.036567934,100.0,23.052950030010834,-84.369862473061,0.0,0.004854448001424316,-2.110721,-78.28297,1.4503491,-0.3004035,7,-76.89554,-0.032398697,-23.877274,11.981347,-78.23846,0.8206071,-54.66696585745293,100,-0.01995813296352171,0.0016614000051049516,12000,0.88349074,11.430309,-0.6952626,-0.5340566,-23.86303,8.623122684733936,-54.66696585745293,0.07264554,9.5471525,4.3437934,42,-90.29956980904812,5,-0.9029956980904813,0.20899772200209554,100,-79.98797875225496,0.17348522,-0.49497235,-0.31146721002197,0.0,4200,22.155237,-0.5466696585745293,0.52859443,0.98642474,-3.8073044,-11.011493292618802,0.383225110002968,120,2.4678148859966313,0.004087292996700853,-0.97426784,3.070640859004925,1.0684946400534157,-0.21006736,0.8136492958590293,100.0,-23.54426,-104.96205961578742,4200,-17.717255,-90.29956980904812
-14.425476636813784,-0.99227583,27.680067,13.142419927857292,0.32903149724006653,-7.588825130994832,-19.113525,1.3100144,100,100,-2.638150930404663,-0.18141168,11.436942,15,-0.03781277,100.0,25.907113501016283,-55.043846650818196,0.0,0.00556787800451275,-2.0860207,-63.03271,1.470007,-0.31730473,8,-59.77916,-0.027183823,-24.570452,10.79244,-62.81918,0.74616957,-37.72841537303498,100,-0.05373891862543652,0.0019677849995787255,13500,0.8133281,11.40039,-0.68212646,-0.55405277,-24.5734,11.03670963798214,-37.72841537303498,0.06221028,27.32105,4.5005364,47,-80.2917594971352,5,-0.802917594971352,0.18091584400099237,100,-66.43498804538537,0.17869309,-0.39407966,-0.13255580865491104,0.0,4700,22.997644,-0.3772841537303496,0.50622267,0.98159754,-3.671195,-9.20835647538197,0.4011150010046549,135,2.256388018002326,0.0036143100005574524,-0.9770445,2.8495688360126223,1.0499382672149453,-0.3738974,0.8033896867904385,100.0,-23.78272,-99.5277006498569,4700,-19.02485,-80.2917594971352
-12.160819761050998,-0.9979397,0.48949203,14.707430505644739,0.28581371903419495,-10.629740789281858,-20.122118,1.175115,100,100,-2.6851611137390137,-0.15025358,7.4085617,15,-0.023402028,100.0,28.565148875997693,-61.78802759163595,0.0,0.0035740519961109385,-2.1816351,-59.870205,1.5587317,-0.4456207,9,-59.91898,-0.041865733,-23.66202,7.6512394,-60.234455,0.78090554,-25.858559945590848,100,-0.04462267584101843,0.001928695994138252,15000,0.9109319,7.448557,-0.74311453,-0.6434473,-23.660852,15.39595989336191,-25.858559945590848,0.06484749,0.46638793,4.2112293,52,-87.64931707413906,5,-0.8764931707413907,0.16695081099896925,100,-71.5190736579372,0.16523936,-19.761765,-0.08398467604043255,0.0,5200,22.591398,-0.2585855994559085,0.5088777,0.9753084,-2.2082508,-10.059393747142638,0.36616897999920184,150,2.1123575839956175,0.003006357997946907,-0.97712266,2.6539864809819846,0.8341331669470416,-0.14446886,1.11421934830047,100.0,-23.925966,-112.89785798761139,5200,-20.05023,-87.64931707413906
-16.815053068787,-0.996512,13.115767,18.15052679833932,0.2492145150899887,-8.574297755324508,-20.820461,1.6380386,100,100,-2.731773614883423,-0.15121269,10.362076,15,-0.024556056,100.0,31.214968882988614,-67.0176844847353,0.0,0.004894653000519611,-2.320462,-67.53801,1.6024071,-0.49826723,10,-69.69589,-0.029839661,-25.828058,11.280199,-67.23004,0.86019987,-33.67563694866856,100,-0.028625566559279617,0.0016080200002761558,16500,0.8367869,10.348441,-0.8349512,-0.71761155,-25.824905,18.96299863786779,-33.67563694866856,0.058752082,13.211026,4.4644375,57,-72.43577896649879,5,-0.7243577896649879,0.166160859997035,100,-53.12602814229033,0.16301055,-0.22645162,-0.018270954141323806,0.0,5700,24.69793,-0.3367563694866856,0.4807274,0.9815414,-3.270793,-10.972406248995517,0.3511729820020264,165,2.117809301998932,0.003028092993190512,-0.983136,2.6446739099919796,0.9438005464791301,0.033518422,0.960028837790979,100.0,-25.223566,-96.68032275099665,5700,-20.794952,-72.43577896649879
-14.50637712447922,-0.99839246,0.29018822,12.795703805471623,0.2181377410888672,-8.174898520973278,-21.27869,1.5912122,100,100,-2.734724998474121,-0.365992,7.06067,15,-0.038089808,100.0,33.85723771597986,-54.557147166479126,0.0,0.004277227999409661,-2.3600054,-58.219517,1.6377829,-0.513125,11,-58.297653,-0.040619437,-24.541086,6.9957433,-58.268353,0.80277866,-33.34734000865688,100,-0.005010057223069557,0.0018951680031022988,18000,0.91428995,7.064236,-0.9136046,-0.7965747,-24.545343,10.510613416185702,-33.34734000865688,0.081090264,0.26849604,5.730719,62,-67.71685655179996,5,-0.6771685655179995,0.15898465699865483,100,-51.780306185160114,0.19210058,-20.978544,-0.011278205163741041,0.0,6200,23.843943,-0.33347340008656884,0.4703168,0.9269038,-2.5718455,-9.802551181413804,0.35039464500005124,180,2.1187940379968495,0.0032136029985849746,-0.98499125,2.6375593389966525,0.9803202181453691,0.2036382,0.9770169422903101,100.0,-24.757889,-84.19814558611729,6200,-21.203936,-67.71685655179996
